(at-robby rooma), layer: 0
(free left), layer: 0
(free right), layer: 0
(at ball4 rooma), layer: 0
(at ball3 rooma), layer: 0
(at ball2 rooma), layer: 0
(at ball1 rooma), layer: 0
(at-robby roomb), layer: 1
(carry ball4 left), layer: 1
(carry ball3 left), layer: 1
(carry ball2 left), layer: 1
(carry ball1 left), layer: 1
(carry ball4 right), layer: 1
(carry ball3 right), layer: 1
(carry ball2 right), layer: 1
(carry ball1 right), layer: 1
(at ball4 roomb), layer: 2
(at ball3 roomb), layer: 2
(at ball2 roomb), layer: 2
(at ball1 roomb), layer: 2
(room rooma), layer: 0
(room roomb), layer: 0
(ball ball4), layer: 0
(ball ball3), layer: 0
(ball ball2), layer: 0
(ball ball1), layer: 0
(gripper left), layer: 0
(gripper right), layer: 0
