(at plane2 city4-2), layer: 0
(at plane1 city4-2), layer: 0
(at truck6 city6-1), layer: 0
(at truck5 city5-1), layer: 0
(at truck4 city4-1), layer: 0
(at truck3 city3-1), layer: 0
(at truck2 city2-1), layer: 0
(at truck1 city1-1), layer: 0
(at package6 city3-1), layer: 0
(at package5 city4-2), layer: 0
(at package4 city1-1), layer: 0
(at package3 city1-1), layer: 0
(at package2 city1-2), layer: 0
(at package1 city2-1), layer: 0
(in package6 truck3), layer: 1
(in package4 truck1), layer: 1
(in package3 truck1), layer: 1
(in package1 truck2), layer: 1
(in package5 plane2), layer: 1
(in package5 plane1), layer: 1
(at truck6 city6-2), layer: 1
(at truck5 city5-2), layer: 1
(at truck4 city4-2), layer: 1
(at truck3 city3-2), layer: 1
(at truck2 city2-2), layer: 1
(at truck1 city1-2), layer: 1
(at plane2 city6-2), layer: 1
(at plane2 city5-2), layer: 1
(at plane2 city3-2), layer: 1
(at plane2 city2-2), layer: 1
(at plane2 city1-2), layer: 1
(at plane1 city6-2), layer: 1
(at plane1 city5-2), layer: 1
(at plane1 city3-2), layer: 1
(at plane1 city2-2), layer: 1
(at plane1 city1-2), layer: 1
(in package5 truck4), layer: 2
(in package2 truck1), layer: 2
(in package2 plane2), layer: 2
(in package2 plane1), layer: 2
(at package6 city3-2), layer: 2
(at package4 city1-2), layer: 2
(at package3 city1-2), layer: 2
(at package1 city2-2), layer: 2
(at package5 city6-2), layer: 2
(at package5 city5-2), layer: 2
(at package5 city3-2), layer: 2
(at package5 city2-2), layer: 2
(at package5 city1-2), layer: 2
(obj package6), layer: 0
(obj package5), layer: 0
(obj package4), layer: 0
(obj package3), layer: 0
(obj package2), layer: 0
(obj package1), layer: 0
(city city6), layer: 0
(city city5), layer: 0
(city city4), layer: 0
(city city3), layer: 0
(city city2), layer: 0
(city city1), layer: 0
(truck truck6), layer: 0
(truck truck5), layer: 0
(truck truck4), layer: 0
(truck truck3), layer: 0
(truck truck2), layer: 0
(truck truck1), layer: 0
(airplane plane2), layer: 0
(airplane plane1), layer: 0
(location city6-1), layer: 0
(location city5-1), layer: 0
(location city4-1), layer: 0
(location city3-1), layer: 0
(location city2-1), layer: 0
(location city1-1), layer: 0
(airport city6-2), layer: 0
(location city6-2), layer: 0
(airport city5-2), layer: 0
(location city5-2), layer: 0
(airport city4-2), layer: 0
(location city4-2), layer: 0
(airport city3-2), layer: 0
(location city3-2), layer: 0
(airport city2-2), layer: 0
(location city2-2), layer: 0
(airport city1-2), layer: 0
(location city1-2), layer: 0
(in-city city6-2 city6), layer: 0
(in-city city6-1 city6), layer: 0
(in-city city5-2 city5), layer: 0
(in-city city5-1 city5), layer: 0
(in-city city4-2 city4), layer: 0
(in-city city4-1 city4), layer: 0
(in-city city3-2 city3), layer: 0
(in-city city3-1 city3), layer: 0
(in-city city2-2 city2), layer: 0
(in-city city2-1 city2), layer: 0
(in-city city1-2 city1), layer: 0
(in-city city1-1 city1), layer: 0
