(craves prostatitis-13 pepper), layer: 0
(harmony triumph pluto), layer: 0
(craves expectation beef), layer: 0
(craves loneliness snickers), layer: 0
(craves satisfaction ham), layer: 0
(locale kale quebec), layer: 0
(locale ham alsace), layer: 0
(craves laceration-11 hamburger), layer: 0
(craves aesthetics flounder), layer: 0
(craves anger popover), layer: 0
(craves anxiety-25 arugula), layer: 0
(craves boils-15 pepper), layer: 0
(harmony satisfaction neptune), layer: 0
(craves jealousy melon), layer: 0
(locale potato quebec), layer: 0
(craves stimulation melon), layer: 0
(locale grapefruit oregon), layer: 0
(harmony expectation pluto), layer: 0
(craves dread-31 cantelope), layer: 0
(craves anger-7 orange), layer: 0
(craves dread beef), layer: 0
(craves loneliness-9 hamburger), layer: 0
(craves hangover-6 ham), layer: 0
(craves grief lamb), layer: 0
(craves boils-32 cantelope), layer: 0
(craves love orange), layer: 0
(locale tofu surrey), layer: 0
(craves depression snickers), layer: 0
(craves angina-30 cantelope), layer: 0
(craves jealousy-16 kale), layer: 0
(craves anxiety potato), layer: 0
(craves learning pepper), layer: 0
(locale orange quebec), layer: 0
(harmony aesthetics neptune), layer: 0
(harmony rest mars), layer: 0
(craves prostatitis popover), layer: 0
(craves intoxication grapefruit), layer: 0
(craves abrasion pork), layer: 0
(locale hamburger quebec), layer: 0
(locale snickers alsace), layer: 0
(locale pork kentucky), layer: 0
(craves boils melon), layer: 0
(harmony love mars), layer: 0
(craves hangover popover), layer: 0
(craves grief-26 arugula), layer: 0
(craves angina-3 bacon), layer: 0
(harmony stimulation pluto), layer: 0
(craves laceration snickers), layer: 0
(craves sciatica melon), layer: 0
(craves jealousy-28 grapefruit), layer: 0
(harmony learning mars), layer: 0
(craves loneliness-1 pork), layer: 0
(craves laceration-27 grapefruit), layer: 0
(craves depression-14 pepper), layer: 0
(craves hangover-29 grapefruit), layer: 0
(locale beef moravia), layer: 0
(craves rest pork), layer: 0
(locale bacon alsace), layer: 0
(locale cantelope quebec), layer: 0
(locale flounder moravia), layer: 0
(craves dread-8 bacon), layer: 0
(craves prostatitis-24 arugula), layer: 0
(craves abrasion-5 ham), layer: 0
(locale arugula moravia), layer: 0
(craves angina popover), layer: 0
(locale wurst alsace), layer: 0
(craves triumph tofu), layer: 0
(locale pepper oregon), layer: 0
(craves anxiety-12 pepper), layer: 0
(locale melon alsace), layer: 0
(craves grief-2 pork), layer: 0
(craves anger-10 hamburger), layer: 0
(craves sciatica-4 bacon), layer: 0
(locale popover oregon), layer: 0
(locale lamb moravia), layer: 0
(harmony intoxication neptune), layer: 0
(fears prostatitis-13 learning), layer: 1
(harmony learning mercury), layer: 1
(fears boils-15 learning), layer: 1
(fears jealousy stimulation), layer: 1
(harmony stimulation neptune), layer: 1
(fears anger-7 love), layer: 1
(harmony love mercury), layer: 1
(fears dread expectation), layer: 1
(harmony expectation neptune), layer: 1
(fears hangover-6 satisfaction), layer: 1
(harmony satisfaction mars), layer: 1
(fears abrasion rest), layer: 1
(harmony rest mercury), layer: 1
(fears boils stimulation), layer: 1
(fears sciatica stimulation), layer: 1
(fears jealousy-28 intoxication), layer: 1
(harmony intoxication mars), layer: 1
(fears loneliness-1 rest), layer: 1
(fears laceration-27 intoxication), layer: 1
(fears depression-14 learning), layer: 1
(fears hangover-29 intoxication), layer: 1
(fears abrasion-5 satisfaction), layer: 1
(fears anxiety-12 learning), layer: 1
(fears grief-2 rest), layer: 1
(craves expectation snickers), layer: 1
(locale beef surrey), layer: 1
(craves expectation orange), layer: 1
(craves expectation ham), layer: 1
(craves expectation arugula), layer: 1
(craves satisfaction beef), layer: 1
(locale ham oregon), layer: 1
(craves satisfaction pork), layer: 1
(craves aesthetics kale), layer: 1
(locale flounder surrey), layer: 1
(craves aesthetics cantelope), layer: 1
(craves stimulation popover), layer: 1
(locale melon oregon), layer: 1
(craves stimulation potato), layer: 1
(craves love beef), layer: 1
(locale orange moravia), layer: 1
(craves love pork), layer: 1
(craves love bacon), layer: 1
(craves learning cantelope), layer: 1
(locale pepper quebec), layer: 1
(craves learning grapefruit), layer: 1
(craves intoxication pepper), layer: 1
(locale grapefruit quebec), layer: 1
(craves intoxication wurst), layer: 1
(craves rest bacon), layer: 1
(locale pork alsace), layer: 1
(craves rest orange), layer: 1
(craves rest ham), layer: 1
(locale kale moravia), layer: 1
(locale ham kentucky), layer: 1
(locale potato oregon), layer: 1
(locale grapefruit alsace), layer: 1
(locale tofu moravia), layer: 1
(locale orange oregon), layer: 1
(locale hamburger oregon), layer: 1
(locale snickers kentucky), layer: 1
(locale beef quebec), layer: 1
(locale bacon kentucky), layer: 1
(locale cantelope oregon), layer: 1
(locale flounder quebec), layer: 1
(locale arugula quebec), layer: 1
(locale wurst kentucky), layer: 1
(locale pepper alsace), layer: 1
(locale melon kentucky), layer: 1
(locale popover alsace), layer: 1
(locale lamb quebec), layer: 1
(locale kale oregon), layer: 1
(locale potato moravia), layer: 1
(locale hamburger moravia), layer: 1
(locale snickers oregon), layer: 1
(locale bacon oregon), layer: 1
(locale cantelope moravia), layer: 1
(locale wurst oregon), layer: 1
(locale popover quebec), layer: 1
(fears prostatitis-13 intoxication), layer: 2
(harmony intoxication mercury), layer: 2
(fears loneliness expectation), layer: 2
(harmony expectation mars), layer: 2
(fears anger stimulation), layer: 2
(harmony stimulation mars), layer: 2
(fears anxiety-25 expectation), layer: 2
(fears boils-15 intoxication), layer: 2
(fears dread-31 learning), layer: 2
(fears dread-31 aesthetics), layer: 2
(harmony aesthetics mars), layer: 2
(fears anger-7 expectation), layer: 2
(fears anger-7 rest), layer: 2
(fears dread love), layer: 2
(fears dread satisfaction), layer: 2
(harmony satisfaction mercury), layer: 2
(fears hangover-6 expectation), layer: 2
(fears hangover-6 rest), layer: 2
(fears boils-32 learning), layer: 2
(fears boils-32 aesthetics), layer: 2
(fears depression expectation), layer: 2
(fears angina-30 learning), layer: 2
(fears angina-30 aesthetics), layer: 2
(fears jealousy-16 aesthetics), layer: 2
(fears anxiety stimulation), layer: 2
(fears prostatitis stimulation), layer: 2
(fears abrasion love), layer: 2
(fears abrasion satisfaction), layer: 2
(fears hangover stimulation), layer: 2
(fears grief-26 expectation), layer: 2
(fears angina-3 rest), layer: 2
(fears angina-3 love), layer: 2
(fears laceration expectation), layer: 2
(fears jealousy-28 learning), layer: 2
(fears loneliness-1 love), layer: 2
(fears loneliness-1 satisfaction), layer: 2
(fears laceration-27 learning), layer: 2
(fears depression-14 intoxication), layer: 2
(fears hangover-29 learning), layer: 2
(fears dread-8 rest), layer: 2
(fears dread-8 love), layer: 2
(fears prostatitis-24 expectation), layer: 2
(fears abrasion-5 expectation), layer: 2
(fears abrasion-5 rest), layer: 2
(fears angina stimulation), layer: 2
(fears anxiety-12 intoxication), layer: 2
(fears grief-2 love), layer: 2
(fears grief-2 satisfaction), layer: 2
(fears sciatica-4 rest), layer: 2
(fears sciatica-4 love), layer: 2
(locale ham quebec), layer: 2
(locale melon quebec), layer: 2
(locale orange surrey), layer: 2
(locale pepper moravia), layer: 2
(locale grapefruit moravia), layer: 2
(locale pork oregon), layer: 2
(craves triumph popover), layer: 2
(craves triumph lamb), layer: 2
(craves expectation lamb), layer: 2
(locale snickers quebec), layer: 2
(craves expectation potato), layer: 2
(craves expectation pork), layer: 2
(craves expectation bacon), layer: 2
(locale arugula surrey), layer: 2
(craves expectation kale), layer: 2
(craves expectation hamburger), layer: 2
(craves expectation cantelope), layer: 2
(craves satisfaction snickers), layer: 2
(craves satisfaction orange), layer: 2
(craves satisfaction arugula), layer: 2
(craves satisfaction bacon), layer: 2
(locale kale surrey), layer: 2
(craves aesthetics arugula), layer: 2
(craves aesthetics pepper), layer: 2
(locale cantelope surrey), layer: 2
(craves aesthetics hamburger), layer: 2
(craves stimulation tofu), layer: 2
(locale popover moravia), layer: 2
(craves stimulation snickers), layer: 2
(locale potato surrey), layer: 2
(craves love snickers), layer: 2
(craves love ham), layer: 2
(craves love arugula), layer: 2
(locale bacon quebec), layer: 2
(craves learning hamburger), layer: 2
(craves learning flounder), layer: 2
(craves learning arugula), layer: 2
(craves learning wurst), layer: 2
(craves intoxication cantelope), layer: 2
(craves intoxication hamburger), layer: 2
(locale wurst quebec), layer: 2
(craves rest beef), layer: 2
(harmony learning neptune), layer: 2
(craves prostatitis-13 cantelope), layer: 2
(craves prostatitis-13 grapefruit), layer: 2
(craves boils-15 cantelope), layer: 2
(craves boils-15 grapefruit), layer: 2
(craves jealousy popover), layer: 2
(craves jealousy potato), layer: 2
(craves anger-7 beef), layer: 2
(harmony love neptune), layer: 2
(craves anger-7 pork), layer: 2
(craves anger-7 bacon), layer: 2
(craves dread snickers), layer: 2
(craves dread orange), layer: 2
(craves dread ham), layer: 2
(craves dread arugula), layer: 2
(craves hangover-6 beef), layer: 2
(harmony satisfaction pluto), layer: 2
(craves hangover-6 pork), layer: 2
(harmony rest neptune), layer: 2
(craves abrasion bacon), layer: 2
(craves abrasion orange), layer: 2
(craves abrasion ham), layer: 2
(craves boils popover), layer: 2
(craves boils potato), layer: 2
(craves sciatica popover), layer: 2
(craves sciatica potato), layer: 2
(craves jealousy-28 pepper), layer: 2
(harmony intoxication pluto), layer: 2
(craves jealousy-28 wurst), layer: 2
(craves loneliness-1 bacon), layer: 2
(craves loneliness-1 orange), layer: 2
(craves loneliness-1 ham), layer: 2
(craves laceration-27 pepper), layer: 2
(craves laceration-27 wurst), layer: 2
(craves depression-14 cantelope), layer: 2
(craves depression-14 grapefruit), layer: 2
(craves hangover-29 pepper), layer: 2
(craves hangover-29 wurst), layer: 2
(craves abrasion-5 beef), layer: 2
(craves abrasion-5 pork), layer: 2
(craves anxiety-12 cantelope), layer: 2
(craves anxiety-12 grapefruit), layer: 2
(craves grief-2 bacon), layer: 2
(craves grief-2 orange), layer: 2
(craves grief-2 ham), layer: 2
(locale potato alsace), layer: 2
(locale grapefruit kentucky), layer: 2
(locale tofu quebec), layer: 2
(locale orange alsace), layer: 2
(locale hamburger alsace), layer: 2
(locale beef oregon), layer: 2
(locale cantelope alsace), layer: 2
(locale flounder oregon), layer: 2
(locale arugula oregon), layer: 2
(locale pepper kentucky), layer: 2
