Diameter for move: inf
Diameter for pick: inf
Diameter for drop: inf
Init-to-goal-distance roomb - ball22: inf
Init-to-goal-distance roomb - ball21: inf
Init-to-goal-distance roomb - ball20: inf
Init-to-goal-distance roomb - ball19: inf
Init-to-goal-distance roomb - ball18: inf
Init-to-goal-distance roomb - ball17: inf
Init-to-goal-distance roomb - ball16: inf
Init-to-goal-distance roomb - ball15: inf
Init-to-goal-distance roomb - ball14: inf
Init-to-goal-distance roomb - ball13: inf
Init-to-goal-distance roomb - ball12: inf
Init-to-goal-distance roomb - ball11: inf
Init-to-goal-distance roomb - ball10: inf
Init-to-goal-distance roomb - ball9: inf
Init-to-goal-distance roomb - ball8: inf
Init-to-goal-distance roomb - ball7: inf
Init-to-goal-distance roomb - ball6: inf
Init-to-goal-distance roomb - ball5: inf
Init-to-goal-distance roomb - ball4: inf
Init-to-goal-distance roomb - ball3: inf
Init-to-goal-distance roomb - ball2: inf
Init-to-goal-distance roomb - ball1: inf
Init-to-goal-distance ball22 - ball21: 0
Init-to-goal-distance ball22 - ball20: 0
Init-to-goal-distance ball22 - ball19: 0
Init-to-goal-distance ball22 - ball18: 0
Init-to-goal-distance ball22 - ball17: 0
Init-to-goal-distance ball22 - ball16: 0
Init-to-goal-distance ball22 - ball15: 0
Init-to-goal-distance ball22 - ball14: 0
Init-to-goal-distance ball22 - ball13: 0
Init-to-goal-distance ball22 - ball12: 0
Init-to-goal-distance ball22 - ball11: 0
Init-to-goal-distance ball22 - ball10: 0
Init-to-goal-distance ball22 - ball9: 0
Init-to-goal-distance ball22 - ball8: 0
Init-to-goal-distance ball22 - ball7: 0
Init-to-goal-distance ball22 - ball6: 0
Init-to-goal-distance ball22 - ball5: 0
Init-to-goal-distance ball22 - ball4: 0
Init-to-goal-distance ball22 - ball3: 0
Init-to-goal-distance ball22 - ball2: 0
Init-to-goal-distance ball22 - ball1: 0
Init-to-goal-distance ball21 - ball20: 0
Init-to-goal-distance ball21 - ball19: 0
Init-to-goal-distance ball21 - ball18: 0
Init-to-goal-distance ball21 - ball17: 0
Init-to-goal-distance ball21 - ball16: 0
Init-to-goal-distance ball21 - ball15: 0
Init-to-goal-distance ball21 - ball14: 0
Init-to-goal-distance ball21 - ball13: 0
Init-to-goal-distance ball21 - ball12: 0
Init-to-goal-distance ball21 - ball11: 0
Init-to-goal-distance ball21 - ball10: 0
Init-to-goal-distance ball21 - ball9: 0
Init-to-goal-distance ball21 - ball8: 0
Init-to-goal-distance ball21 - ball7: 0
Init-to-goal-distance ball21 - ball6: 0
Init-to-goal-distance ball21 - ball5: 0
Init-to-goal-distance ball21 - ball4: 0
Init-to-goal-distance ball21 - ball3: 0
Init-to-goal-distance ball21 - ball2: 0
Init-to-goal-distance ball21 - ball1: 0
Init-to-goal-distance ball20 - ball19: 0
Init-to-goal-distance ball20 - ball18: 0
Init-to-goal-distance ball20 - ball17: 0
Init-to-goal-distance ball20 - ball16: 0
Init-to-goal-distance ball20 - ball15: 0
Init-to-goal-distance ball20 - ball14: 0
Init-to-goal-distance ball20 - ball13: 0
Init-to-goal-distance ball20 - ball12: 0
Init-to-goal-distance ball20 - ball11: 0
Init-to-goal-distance ball20 - ball10: 0
Init-to-goal-distance ball20 - ball9: 0
Init-to-goal-distance ball20 - ball8: 0
Init-to-goal-distance ball20 - ball7: 0
Init-to-goal-distance ball20 - ball6: 0
Init-to-goal-distance ball20 - ball5: 0
Init-to-goal-distance ball20 - ball4: 0
Init-to-goal-distance ball20 - ball3: 0
Init-to-goal-distance ball20 - ball2: 0
Init-to-goal-distance ball20 - ball1: 0
Init-to-goal-distance ball19 - ball18: 0
Init-to-goal-distance ball19 - ball17: 0
Init-to-goal-distance ball19 - ball16: 0
Init-to-goal-distance ball19 - ball15: 0
Init-to-goal-distance ball19 - ball14: 0
Init-to-goal-distance ball19 - ball13: 0
Init-to-goal-distance ball19 - ball12: 0
Init-to-goal-distance ball19 - ball11: 0
Init-to-goal-distance ball19 - ball10: 0
Init-to-goal-distance ball19 - ball9: 0
Init-to-goal-distance ball19 - ball8: 0
Init-to-goal-distance ball19 - ball7: 0
Init-to-goal-distance ball19 - ball6: 0
Init-to-goal-distance ball19 - ball5: 0
Init-to-goal-distance ball19 - ball4: 0
Init-to-goal-distance ball19 - ball3: 0
Init-to-goal-distance ball19 - ball2: 0
Init-to-goal-distance ball19 - ball1: 0
Init-to-goal-distance ball18 - ball17: 0
Init-to-goal-distance ball18 - ball16: 0
Init-to-goal-distance ball18 - ball15: 0
Init-to-goal-distance ball18 - ball14: 0
Init-to-goal-distance ball18 - ball13: 0
Init-to-goal-distance ball18 - ball12: 0
Init-to-goal-distance ball18 - ball11: 0
Init-to-goal-distance ball18 - ball10: 0
Init-to-goal-distance ball18 - ball9: 0
Init-to-goal-distance ball18 - ball8: 0
Init-to-goal-distance ball18 - ball7: 0
Init-to-goal-distance ball18 - ball6: 0
Init-to-goal-distance ball18 - ball5: 0
Init-to-goal-distance ball18 - ball4: 0
Init-to-goal-distance ball18 - ball3: 0
Init-to-goal-distance ball18 - ball2: 0
Init-to-goal-distance ball18 - ball1: 0
Init-to-goal-distance ball17 - ball16: 0
Init-to-goal-distance ball17 - ball15: 0
