(at-robby rooma), layer: 0
(free left), layer: 0
(free right), layer: 0
(at ball22 rooma), layer: 0
(at ball21 rooma), layer: 0
(at ball20 rooma), layer: 0
(at ball19 rooma), layer: 0
(at ball18 rooma), layer: 0
(at ball17 rooma), layer: 0
(at ball16 rooma), layer: 0
(at ball15 rooma), layer: 0
(at ball14 rooma), layer: 0
(at ball13 rooma), layer: 0
(at ball12 rooma), layer: 0
(at ball11 rooma), layer: 0
(at ball10 rooma), layer: 0
(at ball9 rooma), layer: 0
(at ball8 rooma), layer: 0
(at ball7 rooma), layer: 0
(at ball6 rooma), layer: 0
(at ball5 rooma), layer: 0
(at ball4 rooma), layer: 0
(at ball3 rooma), layer: 0
(at ball2 rooma), layer: 0
(at ball1 rooma), layer: 0
(at-robby roomb), layer: 1
(carry ball22 left), layer: 1
(carry ball21 left), layer: 1
(carry ball20 left), layer: 1
(carry ball19 left), layer: 1
(carry ball18 left), layer: 1
(carry ball17 left), layer: 1
(carry ball16 left), layer: 1
(carry ball15 left), layer: 1
(carry ball14 left), layer: 1
(carry ball13 left), layer: 1
(carry ball12 left), layer: 1
(carry ball11 left), layer: 1
(carry ball10 left), layer: 1
(carry ball9 left), layer: 1
(carry ball8 left), layer: 1
(carry ball7 left), layer: 1
(carry ball6 left), layer: 1
(carry ball5 left), layer: 1
(carry ball4 left), layer: 1
(carry ball3 left), layer: 1
(carry ball2 left), layer: 1
(carry ball1 left), layer: 1
(carry ball22 right), layer: 1
(carry ball21 right), layer: 1
(carry ball20 right), layer: 1
(carry ball19 right), layer: 1
(carry ball18 right), layer: 1
(carry ball17 right), layer: 1
(carry ball16 right), layer: 1
(carry ball15 right), layer: 1
(carry ball14 right), layer: 1
(carry ball13 right), layer: 1
(carry ball12 right), layer: 1
(carry ball11 right), layer: 1
(carry ball10 right), layer: 1
(carry ball9 right), layer: 1
(carry ball8 right), layer: 1
(carry ball7 right), layer: 1
(carry ball6 right), layer: 1
(carry ball5 right), layer: 1
(carry ball4 right), layer: 1
(carry ball3 right), layer: 1
(carry ball2 right), layer: 1
(carry ball1 right), layer: 1
(at ball22 roomb), layer: 2
(at ball21 roomb), layer: 2
(at ball20 roomb), layer: 2
(at ball19 roomb), layer: 2
(at ball18 roomb), layer: 2
(at ball17 roomb), layer: 2
(at ball16 roomb), layer: 2
(at ball15 roomb), layer: 2
(at ball14 roomb), layer: 2
(at ball13 roomb), layer: 2
(at ball12 roomb), layer: 2
(at ball11 roomb), layer: 2
(at ball10 roomb), layer: 2
(at ball9 roomb), layer: 2
(at ball8 roomb), layer: 2
(at ball7 roomb), layer: 2
(at ball6 roomb), layer: 2
(at ball5 roomb), layer: 2
(at ball4 roomb), layer: 2
(at ball3 roomb), layer: 2
(at ball2 roomb), layer: 2
(at ball1 roomb), layer: 2
(room rooma), layer: 0
(room roomb), layer: 0
(ball ball22), layer: 0
(ball ball21), layer: 0
(ball ball20), layer: 0
(ball ball19), layer: 0
(ball ball18), layer: 0
(ball ball17), layer: 0
(ball ball16), layer: 0
(ball ball15), layer: 0
(ball ball14), layer: 0
(ball ball13), layer: 0
(ball ball12), layer: 0
(ball ball11), layer: 0
(ball ball10), layer: 0
(ball ball9), layer: 0
(ball ball8), layer: 0
(ball ball7), layer: 0
(ball ball6), layer: 0
(ball ball5), layer: 0
(ball ball4), layer: 0
(ball ball3), layer: 0
(ball ball2), layer: 0
(ball ball1), layer: 0
(gripper left), layer: 0
(gripper right), layer: 0
