(movie-rewound), layer: 1
(counter-at-zero), layer: 1
(have-chips), layer: 1
(have-dip), layer: 1
(have-pop), layer: 1
(have-cheese), layer: 1
(have-crackers), layer: 1
(chips c5), layer: 0
(chips c4), layer: 0
(chips c3), layer: 0
(chips c2), layer: 0
(chips c1), layer: 0
(dip d5), layer: 0
(dip d4), layer: 0
(dip d3), layer: 0
(dip d2), layer: 0
(dip d1), layer: 0
(pop p5), layer: 0
(pop p4), layer: 0
(pop p3), layer: 0
(pop p2), layer: 0
(pop p1), layer: 0
(cheese z5), layer: 0
(cheese z4), layer: 0
(cheese z3), layer: 0
(cheese z2), layer: 0
(cheese z1), layer: 0
(crackers k5), layer: 0
(crackers k4), layer: 0
(crackers k3), layer: 0
(crackers k2), layer: 0
(crackers k1), layer: 0
(counter-at-other-than-two-hours), layer: 0
