(have-crackers), layer: 1
(movie-rewound), layer: 1
(counter-at-zero), layer: 1
(have-chips), layer: 1
(have-dip), layer: 1
(have-pop), layer: 1
(have-cheese), layer: 1
(chips c14), layer: 0
(chips c13), layer: 0
(chips c12), layer: 0
(chips c11), layer: 0
(chips c10), layer: 0
(chips c9), layer: 0
(chips c8), layer: 0
(chips c7), layer: 0
(chips c6), layer: 0
(chips c5), layer: 0
(chips c4), layer: 0
(chips c3), layer: 0
(chips c2), layer: 0
(chips c1), layer: 0
(dip d14), layer: 0
(dip d13), layer: 0
(dip d12), layer: 0
(dip d11), layer: 0
(dip d10), layer: 0
(dip d9), layer: 0
(dip d8), layer: 0
(dip d7), layer: 0
(dip d6), layer: 0
(dip d5), layer: 0
(dip d4), layer: 0
(dip d3), layer: 0
(dip d2), layer: 0
(dip d1), layer: 0
(pop p14), layer: 0
(pop p13), layer: 0
(pop p12), layer: 0
(pop p11), layer: 0
(pop p10), layer: 0
(pop p9), layer: 0
(pop p8), layer: 0
(pop p7), layer: 0
(pop p6), layer: 0
(pop p5), layer: 0
(pop p4), layer: 0
(pop p3), layer: 0
(pop p2), layer: 0
(pop p1), layer: 0
(cheese z14), layer: 0
(cheese z13), layer: 0
(cheese z12), layer: 0
(cheese z11), layer: 0
(cheese z10), layer: 0
(cheese z9), layer: 0
(cheese z8), layer: 0
(cheese z7), layer: 0
(cheese z6), layer: 0
(cheese z5), layer: 0
(cheese z4), layer: 0
(cheese z3), layer: 0
(cheese z2), layer: 0
(cheese z1), layer: 0
(crackers k14), layer: 0
(crackers k13), layer: 0
(crackers k12), layer: 0
(crackers k11), layer: 0
(crackers k10), layer: 0
(crackers k9), layer: 0
(crackers k8), layer: 0
(crackers k7), layer: 0
(crackers k6), layer: 0
(crackers k5), layer: 0
(crackers k4), layer: 0
(crackers k3), layer: 0
(crackers k2), layer: 0
(crackers k1), layer: 0
(counter-at-other-than-two-hours), layer: 0
