(locale okra guanabara), layer: 0
(locale pork quebec), layer: 0
(harmony rest venus), layer: 0
(craves depression flounder), layer: 0
(craves abrasion pork), layer: 0
(locale rice bosnia), layer: 0
(craves rest pork), layer: 0
(locale pear surrey), layer: 0
(craves hangover rice), layer: 0
(locale lamb pennsylvania), layer: 0
(locale flounder alsace), layer: 0
(fears abrasion rest), layer: 1
(harmony rest uranus), layer: 1
(craves rest okra), layer: 1
(locale pork alsace), layer: 1
(craves rest lamb), layer: 1
(harmony rest earth), layer: 2
(locale pork pennsylvania), layer: 2
(craves rest pear), layer: 2
(locale okra quebec), layer: 2
(craves rest flounder), layer: 2
(locale lamb surrey), layer: 2
(craves abrasion okra), layer: 2
(craves abrasion lamb), layer: 2
(food rice), layer: 0
(food pear), layer: 0
(food flounder), layer: 0
(food okra), layer: 0
(food pork), layer: 0
(food lamb), layer: 0
(pleasure rest), layer: 0
(pain hangover), layer: 0
(pain depression), layer: 0
(pain abrasion), layer: 0
(province kentucky), layer: 0
(province bosnia), layer: 0
(province surrey), layer: 0
(province pennsylvania), layer: 0
(province alsace), layer: 0
(province quebec), layer: 0
(province guanabara), layer: 0
(planet mars), layer: 0
(planet earth), layer: 0
(planet uranus), layer: 0
(planet venus), layer: 0
(eats lamb pork), layer: 0
(eats pork okra), layer: 0
(eats pork lamb), layer: 0
(eats lamb flounder), layer: 0
(eats okra pear), layer: 0
(eats rice rice), layer: 0
(eats rice flounder), layer: 0
(attacks kentucky bosnia), layer: 0
(attacks pennsylvania alsace), layer: 0
(attacks alsace quebec), layer: 0
(orbits mars earth), layer: 0
(eats flounder lamb), layer: 0
(orbits earth uranus), layer: 0
(attacks bosnia surrey), layer: 0
(attacks surrey pennsylvania), layer: 0
(eats flounder rice), layer: 0
(eats rice pear), layer: 0
(attacks quebec guanabara), layer: 0
(eats pear okra), layer: 0
(eats pear rice), layer: 0
(eats okra pork), layer: 0
(orbits uranus venus), layer: 0
