(lift-at f0), layer: 0
(boarded p2), layer: 1
(boarded p19), layer: 1
(lift-at f1), layer: 1
(lift-at f2), layer: 1
(lift-at f3), layer: 1
(lift-at f4), layer: 1
(lift-at f5), layer: 1
(lift-at f6), layer: 1
(lift-at f7), layer: 1
(lift-at f8), layer: 1
(lift-at f9), layer: 1
(lift-at f10), layer: 1
(lift-at f11), layer: 1
(lift-at f12), layer: 1
(lift-at f13), layer: 1
(lift-at f14), layer: 1
(lift-at f15), layer: 1
(lift-at f16), layer: 1
(lift-at f17), layer: 1
(lift-at f18), layer: 1
(lift-at f19), layer: 1
(lift-at f20), layer: 1
(lift-at f21), layer: 1
(lift-at f22), layer: 1
(lift-at f23), layer: 1
(lift-at f24), layer: 1
(lift-at f25), layer: 1
(lift-at f26), layer: 1
(lift-at f27), layer: 1
(lift-at f28), layer: 1
(lift-at f29), layer: 1
(lift-at f30), layer: 1
(lift-at f31), layer: 1
(lift-at f32), layer: 1
(lift-at f33), layer: 1
(lift-at f34), layer: 1
(lift-at f35), layer: 1
(lift-at f36), layer: 1
(lift-at f37), layer: 1
(lift-at f38), layer: 1
(lift-at f39), layer: 1
(lift-at f40), layer: 1
(lift-at f41), layer: 1
(lift-at f42), layer: 1
(lift-at f43), layer: 1
(lift-at f44), layer: 1
(lift-at f45), layer: 1
(lift-at f46), layer: 1
(lift-at f47), layer: 1
(lift-at f48), layer: 1
(lift-at f49), layer: 1
(lift-at f50), layer: 1
(lift-at f51), layer: 1
(lift-at f52), layer: 1
(lift-at f53), layer: 1
(lift-at f54), layer: 1
(lift-at f55), layer: 1
(lift-at f56), layer: 1
(lift-at f57), layer: 1
(lift-at f58), layer: 1
(lift-at f59), layer: 1
(boarded p9), layer: 2
(boarded p11), layer: 2
(boarded p21), layer: 2
(boarded p24), layer: 2
(boarded p0), layer: 2
(boarded p27), layer: 2
(boarded p14), layer: 2
(boarded p23), layer: 2
(boarded p20), layer: 2
(boarded p28), layer: 2
(boarded p16), layer: 2
(boarded p17), layer: 2
(boarded p15), layer: 2
(boarded p8), layer: 2
(boarded p26), layer: 2
(boarded p29), layer: 2
(boarded p22), layer: 2
(boarded p7), layer: 2
(boarded p13), layer: 2
(boarded p1), layer: 2
(boarded p12), layer: 2
(boarded p5), layer: 2
(boarded p4), layer: 2
(boarded p25), layer: 2
(boarded p18), layer: 2
(boarded p6), layer: 2
(boarded p10), layer: 2
(boarded p3), layer: 2
(served p19), layer: 2
(served p2), layer: 2
(above f0 f1), layer: 0
(above f0 f2), layer: 0
(above f0 f3), layer: 0
(above f0 f4), layer: 0
(above f0 f5), layer: 0
(above f0 f6), layer: 0
(above f0 f7), layer: 0
(above f0 f8), layer: 0
(above f0 f9), layer: 0
(above f0 f10), layer: 0
(above f0 f11), layer: 0
(above f0 f12), layer: 0
(above f0 f13), layer: 0
(above f0 f14), layer: 0
(above f0 f15), layer: 0
(above f0 f16), layer: 0
(above f0 f17), layer: 0
(above f0 f18), layer: 0
(above f0 f19), layer: 0
(above f0 f20), layer: 0
(above f0 f21), layer: 0
(above f0 f22), layer: 0
(above f0 f23), layer: 0
(above f0 f24), layer: 0
(above f0 f25), layer: 0
(above f0 f26), layer: 0
(above f0 f27), layer: 0
(above f0 f28), layer: 0
(above f0 f29), layer: 0
(above f0 f30), layer: 0
(above f0 f31), layer: 0
(above f0 f32), layer: 0
(above f0 f33), layer: 0
(above f0 f34), layer: 0
(above f0 f35), layer: 0
(above f0 f36), layer: 0
(above f0 f37), layer: 0
(above f0 f38), layer: 0
(above f0 f39), layer: 0
(above f0 f40), layer: 0
(above f0 f41), layer: 0
(above f0 f42), layer: 0
(above f0 f43), layer: 0
(above f0 f44), layer: 0
(above f0 f45), layer: 0
(above f0 f46), layer: 0
(above f0 f47), layer: 0
(above f0 f48), layer: 0
(above f0 f49), layer: 0
(above f0 f50), layer: 0
(above f0 f51), layer: 0
(above f0 f52), layer: 0
(above f0 f53), layer: 0
(above f0 f54), layer: 0
(above f0 f55), layer: 0
(above f0 f56), layer: 0
(above f0 f57), layer: 0
(above f0 f58), layer: 0
(above f0 f59), layer: 0
(above f1 f2), layer: 0
(above f1 f3), layer: 0
(above f1 f4), layer: 0
(above f1 f5), layer: 0
(above f1 f6), layer: 0
(above f1 f7), layer: 0
(above f1 f8), layer: 0
(above f1 f9), layer: 0
(above f1 f10), layer: 0
(above f1 f11), layer: 0
(above f1 f12), layer: 0
(above f1 f13), layer: 0
(above f1 f14), layer: 0
(above f1 f15), layer: 0
(above f1 f16), layer: 0
(above f1 f17), layer: 0
(above f1 f18), layer: 0
(above f1 f19), layer: 0
(above f1 f20), layer: 0
(above f1 f21), layer: 0
(above f1 f22), layer: 0
(above f1 f23), layer: 0
(above f1 f24), layer: 0
(above f1 f25), layer: 0
(above f1 f26), layer: 0
(above f1 f27), layer: 0
(above f1 f28), layer: 0
(above f1 f29), layer: 0
(above f1 f30), layer: 0
(above f1 f31), layer: 0
(above f1 f32), layer: 0
(above f1 f33), layer: 0
(above f1 f34), layer: 0
(above f1 f35), layer: 0
(above f1 f36), layer: 0
(above f1 f37), layer: 0
(above f1 f38), layer: 0
(above f1 f39), layer: 0
(above f1 f40), layer: 0
(above f1 f41), layer: 0
(above f1 f42), layer: 0
(above f1 f43), layer: 0
(above f1 f44), layer: 0
(above f1 f45), layer: 0
(above f1 f46), layer: 0
(above f1 f47), layer: 0
(above f1 f48), layer: 0
(above f1 f49), layer: 0
(above f1 f50), layer: 0
(above f1 f51), layer: 0
(above f1 f52), layer: 0
(above f1 f53), layer: 0
(above f1 f54), layer: 0
(above f1 f55), layer: 0
(above f1 f56), layer: 0
(above f1 f57), layer: 0
(above f1 f58), layer: 0
(above f1 f59), layer: 0
(above f2 f3), layer: 0
(above f2 f4), layer: 0
(above f2 f5), layer: 0
(above f2 f6), layer: 0
(above f2 f7), layer: 0
(above f2 f8), layer: 0
(above f2 f9), layer: 0
(above f2 f10), layer: 0
(above f2 f11), layer: 0
(above f2 f12), layer: 0
(above f2 f13), layer: 0
(above f2 f14), layer: 0
(above f2 f15), layer: 0
(above f2 f16), layer: 0
(above f2 f17), layer: 0
(above f2 f18), layer: 0
(above f2 f19), layer: 0
(above f2 f20), layer: 0
(above f2 f21), layer: 0
(above f2 f22), layer: 0
(above f2 f23), layer: 0
(above f2 f24), layer: 0
(above f2 f25), layer: 0
(above f2 f26), layer: 0
(above f2 f27), layer: 0
(above f2 f28), layer: 0
(above f2 f29), layer: 0
(above f2 f30), layer: 0
(above f2 f31), layer: 0
(above f2 f32), layer: 0
(above f2 f33), layer: 0
(above f2 f34), layer: 0
(above f2 f35), layer: 0
(above f2 f36), layer: 0
(above f2 f37), layer: 0
(above f2 f38), layer: 0
(above f2 f39), layer: 0
(above f2 f40), layer: 0
(above f2 f41), layer: 0
(above f2 f42), layer: 0
(above f2 f43), layer: 0
(above f2 f44), layer: 0
(above f2 f45), layer: 0
(above f2 f46), layer: 0
(above f2 f47), layer: 0
(above f2 f48), layer: 0
(above f2 f49), layer: 0
(above f2 f50), layer: 0
(above f2 f51), layer: 0
(above f2 f52), layer: 0
(above f2 f53), layer: 0
(above f2 f54), layer: 0
(above f2 f55), layer: 0
(above f2 f56), layer: 0
(above f2 f57), layer: 0
(above f2 f58), layer: 0
(above f2 f59), layer: 0
(above f3 f4), layer: 0
(above f3 f5), layer: 0
(above f3 f6), layer: 0
(above f3 f7), layer: 0
(above f3 f8), layer: 0
(above f3 f9), layer: 0
(above f3 f10), layer: 0
(above f3 f11), layer: 0
(above f3 f12), layer: 0
(above f3 f13), layer: 0
(above f3 f14), layer: 0
(above f3 f15), layer: 0
(above f3 f16), layer: 0
(above f3 f17), layer: 0
(above f3 f18), layer: 0
(above f3 f19), layer: 0
(above f3 f20), layer: 0
(above f3 f21), layer: 0
(above f3 f22), layer: 0
(above f3 f23), layer: 0
(above f3 f24), layer: 0
(above f3 f25), layer: 0
(above f3 f26), layer: 0
(above f3 f27), layer: 0
(above f3 f28), layer: 0
(above f3 f29), layer: 0
(above f3 f30), layer: 0
(above f3 f31), layer: 0
(above f3 f32), layer: 0
(above f3 f33), layer: 0
(above f3 f34), layer: 0
(above f3 f35), layer: 0
(above f3 f36), layer: 0
(above f3 f37), layer: 0
(above f3 f38), layer: 0
(above f3 f39), layer: 0
(above f3 f40), layer: 0
(above f3 f41), layer: 0
(above f3 f42), layer: 0
(above f3 f43), layer: 0
(above f3 f44), layer: 0
(above f3 f45), layer: 0
(above f3 f46), layer: 0
(above f3 f47), layer: 0
(above f3 f48), layer: 0
(above f3 f49), layer: 0
