(lift-at f0), layer: 0
(NOT-served p0), layer: 0
(NOT-served p1), layer: 0
(NOT-served p2), layer: 0
(NOT-served p3), layer: 0
(NOT-served p4), layer: 0
(NOT-served p5), layer: 0
(NOT-served p6), layer: 0
(NOT-served p7), layer: 0
(NOT-served p8), layer: 0
(NOT-served p9), layer: 0
(lift-at f1), layer: 1
(lift-at f2), layer: 1
(lift-at f3), layer: 1
(lift-at f4), layer: 1
(lift-at f5), layer: 1
(lift-at f6), layer: 1
(lift-at f7), layer: 1
(lift-at f8), layer: 1
(lift-at f9), layer: 1
(lift-at f10), layer: 1
(lift-at f11), layer: 1
(lift-at f12), layer: 1
(lift-at f13), layer: 1
(lift-at f14), layer: 1
(lift-at f15), layer: 1
(lift-at f16), layer: 1
(lift-at f17), layer: 1
(lift-at f18), layer: 1
(lift-at f19), layer: 1
(boarded p8), layer: 1
(served p8), layer: 2
(boarded p0), layer: 2
(boarded p1), layer: 2
(boarded p2), layer: 2
(boarded p3), layer: 2
(boarded p4), layer: 2
(boarded p5), layer: 2
(boarded p6), layer: 2
(boarded p7), layer: 2
(boarded p9), layer: 2
(above f0 f1), layer: 0
(above f0 f2), layer: 0
(above f0 f3), layer: 0
(above f0 f4), layer: 0
(above f0 f5), layer: 0
(above f0 f6), layer: 0
(above f0 f7), layer: 0
(above f0 f8), layer: 0
(above f0 f9), layer: 0
(above f0 f10), layer: 0
(above f0 f11), layer: 0
(above f0 f12), layer: 0
(above f0 f13), layer: 0
(above f0 f14), layer: 0
(above f0 f15), layer: 0
(above f0 f16), layer: 0
(above f0 f17), layer: 0
(above f0 f18), layer: 0
(above f0 f19), layer: 0
(above f1 f2), layer: 0
(above f1 f3), layer: 0
(above f1 f4), layer: 0
(above f1 f5), layer: 0
(above f1 f6), layer: 0
(above f1 f7), layer: 0
(above f1 f8), layer: 0
(above f1 f9), layer: 0
(above f1 f10), layer: 0
(above f1 f11), layer: 0
(above f1 f12), layer: 0
(above f1 f13), layer: 0
(above f1 f14), layer: 0
(above f1 f15), layer: 0
(above f1 f16), layer: 0
(above f1 f17), layer: 0
(above f1 f18), layer: 0
(above f1 f19), layer: 0
(above f2 f3), layer: 0
(above f2 f4), layer: 0
(above f2 f5), layer: 0
(above f2 f6), layer: 0
(above f2 f7), layer: 0
(above f2 f8), layer: 0
(above f2 f9), layer: 0
(above f2 f10), layer: 0
(above f2 f11), layer: 0
(above f2 f12), layer: 0
(above f2 f13), layer: 0
(above f2 f14), layer: 0
(above f2 f15), layer: 0
(above f2 f16), layer: 0
(above f2 f17), layer: 0
(above f2 f18), layer: 0
(above f2 f19), layer: 0
(above f3 f4), layer: 0
(above f3 f5), layer: 0
(above f3 f6), layer: 0
(above f3 f7), layer: 0
(above f3 f8), layer: 0
(above f3 f9), layer: 0
(above f3 f10), layer: 0
(above f3 f11), layer: 0
(above f3 f12), layer: 0
(above f3 f13), layer: 0
(above f3 f14), layer: 0
(above f3 f15), layer: 0
(above f3 f16), layer: 0
(above f3 f17), layer: 0
(above f3 f18), layer: 0
(above f3 f19), layer: 0
(above f4 f5), layer: 0
(above f4 f6), layer: 0
(above f4 f7), layer: 0
(above f4 f8), layer: 0
(above f4 f9), layer: 0
(above f4 f10), layer: 0
(above f4 f11), layer: 0
(above f4 f12), layer: 0
(above f4 f13), layer: 0
(above f4 f14), layer: 0
(above f4 f15), layer: 0
(above f4 f16), layer: 0
(above f4 f17), layer: 0
(above f4 f18), layer: 0
(above f4 f19), layer: 0
(above f5 f6), layer: 0
(above f5 f7), layer: 0
(above f5 f8), layer: 0
(above f5 f9), layer: 0
(above f5 f10), layer: 0
(above f5 f11), layer: 0
(above f5 f12), layer: 0
(above f5 f13), layer: 0
(above f5 f14), layer: 0
(above f5 f15), layer: 0
(above f5 f16), layer: 0
(above f5 f17), layer: 0
(above f5 f18), layer: 0
(above f5 f19), layer: 0
(above f6 f7), layer: 0
(above f6 f8), layer: 0
(above f6 f9), layer: 0
(above f6 f10), layer: 0
(above f6 f11), layer: 0
(above f6 f12), layer: 0
(above f6 f13), layer: 0
(above f6 f14), layer: 0
(above f6 f15), layer: 0
(above f6 f16), layer: 0
(above f6 f17), layer: 0
(above f6 f18), layer: 0
(above f6 f19), layer: 0
(above f7 f8), layer: 0
(above f7 f9), layer: 0
(above f7 f10), layer: 0
(above f7 f11), layer: 0
(above f7 f12), layer: 0
(above f7 f13), layer: 0
(above f7 f14), layer: 0
(above f7 f15), layer: 0
(above f7 f16), layer: 0
(above f7 f17), layer: 0
(above f7 f18), layer: 0
(above f7 f19), layer: 0
(above f8 f9), layer: 0
(above f8 f10), layer: 0
(above f8 f11), layer: 0
(above f8 f12), layer: 0
(above f8 f13), layer: 0
(above f8 f14), layer: 0
(above f8 f15), layer: 0
(above f8 f16), layer: 0
(above f8 f17), layer: 0
(above f8 f18), layer: 0
(above f8 f19), layer: 0
(above f9 f10), layer: 0
(above f9 f11), layer: 0
(above f9 f12), layer: 0
(above f9 f13), layer: 0
(above f9 f14), layer: 0
(above f9 f15), layer: 0
(above f9 f16), layer: 0
(above f9 f17), layer: 0
(above f9 f18), layer: 0
(above f9 f19), layer: 0
(above f10 f11), layer: 0
(above f10 f12), layer: 0
(above f10 f13), layer: 0
(above f10 f14), layer: 0
(above f10 f15), layer: 0
(above f10 f16), layer: 0
(above f10 f17), layer: 0
(above f10 f18), layer: 0
(above f10 f19), layer: 0
(above f11 f12), layer: 0
(above f11 f13), layer: 0
(above f11 f14), layer: 0
(above f11 f15), layer: 0
(above f11 f16), layer: 0
(above f11 f17), layer: 0
(above f11 f18), layer: 0
(above f11 f19), layer: 0
(above f12 f13), layer: 0
(above f12 f14), layer: 0
(above f12 f15), layer: 0
(above f12 f16), layer: 0
(above f12 f17), layer: 0
(above f12 f18), layer: 0
(above f12 f19), layer: 0
(above f13 f14), layer: 0
(above f13 f15), layer: 0
(above f13 f16), layer: 0
(above f13 f17), layer: 0
(above f13 f18), layer: 0
(above f13 f19), layer: 0
(above f14 f15), layer: 0
(above f14 f16), layer: 0
(above f14 f17), layer: 0
(above f14 f18), layer: 0
(above f14 f19), layer: 0
(above f15 f16), layer: 0
(above f15 f17), layer: 0
(above f15 f18), layer: 0
(above f15 f19), layer: 0
(above f16 f17), layer: 0
(above f16 f18), layer: 0
(above f16 f19), layer: 0
(above f17 f18), layer: 0
(above f17 f19), layer: 0
(above f18 f19), layer: 0
(origin p0 f3), layer: 0
(destin p0 f6), layer: 0
(origin p1 f17), layer: 0
(destin p1 f15), layer: 0
(origin p2 f13), layer: 0
(destin p2 f15), layer: 0
(origin p3 f6), layer: 0
(destin p3 f12), layer: 0
(origin p4 f9), layer: 0
(destin p4 f1), layer: 0
(origin p5 f2), layer: 0
(destin p5 f7), layer: 0
(origin p6 f10), layer: 0
(destin p6 f19), layer: 0
(origin p7 f3), layer: 0
(destin p7 f6), layer: 0
(origin p8 f0), layer: 0
(destin p8 f6), layer: 0
(origin p9 f12), layer: 0
(destin p9 f16), layer: 0
