(at driver1 s4), layer: 0
(at driver2 s0), layer: 0
(at truck1 s0), layer: 0
(empty truck1), layer: 0
(at truck2 s4), layer: 0
(empty truck2), layer: 0
(at truck3 s5), layer: 0
(empty truck3), layer: 0
(at package1 s1), layer: 0
(at package2 s0), layer: 0
(at package3 s4), layer: 0
(at package4 s4), layer: 0
(at package5 s4), layer: 0
(at package6 s2), layer: 0
(in package2 truck1), layer: 1
(in package3 truck2), layer: 1
(in package4 truck2), layer: 1
(in package5 truck2), layer: 1
(driving driver1 truck2), layer: 1
(driving driver2 truck1), layer: 1
(at driver1 p1-4), layer: 1
(at driver1 p4-5), layer: 1
(at driver2 p1-0), layer: 1
(at driver2 p3-0), layer: 1
(at truck2 s0), layer: 2
(at truck1 s1), layer: 2
(at truck2 s1), layer: 2
(at truck1 s2), layer: 2
(at truck1 s3), layer: 2
(at truck2 s3), layer: 2
(at truck1 s4), layer: 2
(at truck1 s5), layer: 2
(at truck2 s5), layer: 2
(at driver1 s1), layer: 2
(at driver1 s5), layer: 2
(at driver2 s1), layer: 2
(at driver2 s3), layer: 2
(driver driver1), layer: 0
(driver driver2), layer: 0
(truck truck1), layer: 0
(truck truck2), layer: 0
(truck truck3), layer: 0
(obj package1), layer: 0
(obj package2), layer: 0
(obj package3), layer: 0
(obj package4), layer: 0
(obj package5), layer: 0
(obj package6), layer: 0
(location s0), layer: 0
(location s1), layer: 0
(location s2), layer: 0
(location s3), layer: 0
(location s4), layer: 0
(location s5), layer: 0
(location p1-0), layer: 0
(location p1-4), layer: 0
(location p1-5), layer: 0
(location p2-1), layer: 0
(location p2-3), layer: 0
(location p3-0), layer: 0
(location p3-1), layer: 0
(location p3-5), layer: 0
(location p4-5), layer: 0
(path s1 p1-0), layer: 0
(path p1-0 s1), layer: 0
(path s0 p1-0), layer: 0
(path p1-0 s0), layer: 0
(path s1 p1-4), layer: 0
(path p1-4 s1), layer: 0
(path s4 p1-4), layer: 0
(path p1-4 s4), layer: 0
(path s1 p1-5), layer: 0
(path p1-5 s1), layer: 0
(path s5 p1-5), layer: 0
(path p1-5 s5), layer: 0
(path s2 p2-1), layer: 0
(path p2-1 s2), layer: 0
(path s1 p2-1), layer: 0
(path p2-1 s1), layer: 0
(path s2 p2-3), layer: 0
(path p2-3 s2), layer: 0
(path s3 p2-3), layer: 0
(path p2-3 s3), layer: 0
(path s3 p3-0), layer: 0
(path p3-0 s3), layer: 0
(path s0 p3-0), layer: 0
(path p3-0 s0), layer: 0
(path s3 p3-1), layer: 0
(path p3-1 s3), layer: 0
(path s1 p3-1), layer: 0
(path p3-1 s1), layer: 0
(path s3 p3-5), layer: 0
(path p3-5 s3), layer: 0
(path s5 p3-5), layer: 0
(path p3-5 s5), layer: 0
(path s4 p4-5), layer: 0
(path p4-5 s4), layer: 0
(path s5 p4-5), layer: 0
(path p4-5 s5), layer: 0
(link s0 s5), layer: 0
(link s5 s0), layer: 0
(link s1 s0), layer: 0
(link s0 s1), layer: 0
(link s1 s2), layer: 0
(link s2 s1), layer: 0
(link s1 s4), layer: 0
(link s4 s1), layer: 0
(link s1 s5), layer: 0
(link s5 s1), layer: 0
(link s2 s0), layer: 0
(link s0 s2), layer: 0
(link s3 s0), layer: 0
(link s0 s3), layer: 0
(link s3 s1), layer: 0
(link s1 s3), layer: 0
(link s3 s2), layer: 0
(link s2 s3), layer: 0
(link s3 s4), layer: 0
(link s4 s3), layer: 0
(link s4 s0), layer: 0
(link s0 s4), layer: 0
(link s5 s3), layer: 0
(link s3 s5), layer: 0
(link s5 s4), layer: 0
(link s4 s5), layer: 0
