(at plane1 city0), layer: 0
(fuel-level plane1 fl1), layer: 0
(at person1 city0), layer: 0
(at person2 city2), layer: 0
(in person1 plane1), layer: 1
(fuel-level plane1 fl0), layer: 1
(at plane1 city1), layer: 1
(at plane1 city2), layer: 1
(fuel-level plane1 fl2), layer: 1
(in person2 plane1), layer: 2
(at person1 city1), layer: 2
(at person1 city2), layer: 2
(fuel-level plane1 fl3), layer: 2
(aircraft plane1), layer: 0
(person person1), layer: 0
(person person2), layer: 0
(city city0), layer: 0
(city city1), layer: 0
(city city2), layer: 0
(next fl0 fl1), layer: 0
(next fl1 fl2), layer: 0
(next fl2 fl3), layer: 0
(next fl3 fl4), layer: 0
(next fl4 fl5), layer: 0
(next fl5 fl6), layer: 0
(flevel fl0), layer: 0
(flevel fl1), layer: 0
(flevel fl2), layer: 0
(flevel fl3), layer: 0
(flevel fl4), layer: 0
(flevel fl5), layer: 0
(flevel fl6), layer: 0
