(at pallet0 depot0), layer: 0
(clear crate1), layer: 0
(at pallet1 depot1), layer: 0
(clear crate0), layer: 0
(at pallet2 depot2), layer: 0
(clear crate4), layer: 0
(at pallet3 distributor0), layer: 0
(clear crate5), layer: 0
(at pallet4 distributor1), layer: 0
(clear pallet4), layer: 0
(at pallet5 distributor2), layer: 0
(clear crate3), layer: 0
(at truck0 depot1), layer: 0
(at truck1 depot2), layer: 0
(at hoist0 depot0), layer: 0
(available hoist0), layer: 0
(at hoist1 depot1), layer: 0
(available hoist1), layer: 0
(at hoist2 depot2), layer: 0
(available hoist2), layer: 0
(at hoist3 distributor0), layer: 0
(available hoist3), layer: 0
(at hoist4 distributor1), layer: 0
(available hoist4), layer: 0
(at hoist5 distributor2), layer: 0
(available hoist5), layer: 0
(at crate0 depot1), layer: 0
(on crate0 pallet1), layer: 0
(at crate1 depot0), layer: 0
(on crate1 pallet0), layer: 0
(at crate2 distributor2), layer: 0
(on crate2 pallet5), layer: 0
(at crate3 distributor2), layer: 0
(on crate3 crate2), layer: 0
(at crate4 depot2), layer: 0
(on crate4 pallet2), layer: 0
(at crate5 distributor0), layer: 0
(on crate5 pallet3), layer: 0
(at truck0 depot0), layer: 1
(at truck0 depot2), layer: 1
(at truck0 distributor0), layer: 1
(at truck0 distributor1), layer: 1
(at truck0 distributor2), layer: 1
(at truck1 depot0), layer: 1
(at truck1 depot1), layer: 1
(at truck1 distributor0), layer: 1
(at truck1 distributor1), layer: 1
(at truck1 distributor2), layer: 1
(lifting hoist0 crate1), layer: 1
(clear pallet0), layer: 1
(lifting hoist1 crate0), layer: 1
(clear pallet1), layer: 1
(lifting hoist2 crate4), layer: 1
(clear pallet2), layer: 1
(lifting hoist3 crate5), layer: 1
(clear pallet3), layer: 1
(lifting hoist5 crate3), layer: 1
(clear crate2), layer: 1
(lifting hoist5 crate2), layer: 2
(clear pallet5), layer: 2
(on crate1 crate1), layer: 2
(on crate0 crate0), layer: 2
(on crate4 crate4), layer: 2
(on crate5 crate5), layer: 2
(on crate3 crate3), layer: 2
(in crate1 truck0), layer: 2
(in crate0 truck0), layer: 2
(in crate4 truck0), layer: 2
(in crate5 truck0), layer: 2
(in crate3 truck0), layer: 2
(in crate1 truck1), layer: 2
(in crate0 truck1), layer: 2
(in crate4 truck1), layer: 2
(in crate5 truck1), layer: 2
(in crate3 truck1), layer: 2
(surface pallet0), layer: 0
(surface pallet1), layer: 0
(surface pallet2), layer: 0
(surface pallet3), layer: 0
(surface pallet4), layer: 0
(surface pallet5), layer: 0
(truck truck0), layer: 0
(truck truck1), layer: 0
(hoist hoist0), layer: 0
(hoist hoist1), layer: 0
(hoist hoist2), layer: 0
(hoist hoist3), layer: 0
(hoist hoist4), layer: 0
(hoist hoist5), layer: 0
(crate crate0), layer: 0
(surface crate0), layer: 0
(crate crate1), layer: 0
(surface crate1), layer: 0
(crate crate2), layer: 0
(surface crate2), layer: 0
(crate crate3), layer: 0
(surface crate3), layer: 0
(crate crate4), layer: 0
(surface crate4), layer: 0
(crate crate5), layer: 0
(surface crate5), layer: 0
(place depot0), layer: 0
(place depot1), layer: 0
(place depot2), layer: 0
(place distributor0), layer: 0
(place distributor1), layer: 0
(place distributor2), layer: 0
