(cellspace n2), layer: 0
(clear spadea), layer: 0
(on spadea spade2), layer: 0
(bottomcol spade2), layer: 0
(clear diamonda), layer: 0
(on diamonda hearta), layer: 0
(bottomcol hearta), layer: 0
(clear club2), layer: 0
(on club2 diamond2), layer: 0
(bottomcol diamond2), layer: 0
(clear heart2), layer: 0
(on heart2 cluba), layer: 0
(bottomcol cluba), layer: 0
(colspace n0), layer: 0
(home diamond0), layer: 0
(home club0), layer: 0
(home heart0), layer: 0
(home spade0), layer: 0
(on spadea heart2), layer: 1
(clear spade2), layer: 1
(on diamonda club2), layer: 1
(clear hearta), layer: 1
(incell spadea), layer: 1
(cellspace n1), layer: 1
(incell diamonda), layer: 1
(incell club2), layer: 1
(clear diamond2), layer: 1
(incell heart2), layer: 1
(clear cluba), layer: 1
(home spadea), layer: 1
(home diamonda), layer: 1
(on spadea diamond2), layer: 2
(on diamonda spade2), layer: 2
(on hearta club2), layer: 2
(colspace n1), layer: 2
(on cluba heart2), layer: 2
(on hearta spade2), layer: 2
(on cluba diamond2), layer: 2
(cellspace n0), layer: 2
(incell spade2), layer: 2
(incell hearta), layer: 2
(incell diamond2), layer: 2
(incell cluba), layer: 2
(home spade2), layer: 2
(home hearta), layer: 2
(home diamond2), layer: 2
(home cluba), layer: 2
(cellspace n3), layer: 2
(successor n1 n0), layer: 0
(successor n2 n1), layer: 0
(successor n3 n2), layer: 0
(successor n4 n3), layer: 0
(value spadea n1), layer: 0
(suit spadea spade), layer: 0
(canstack spadea diamond2), layer: 0
(canstack spadea heart2), layer: 0
(value diamonda n1), layer: 0
(suit diamonda diamond), layer: 0
(canstack diamonda club2), layer: 0
(canstack diamonda spade2), layer: 0
(value club2 n2), layer: 0
(suit club2 club), layer: 0
(value heart2 n2), layer: 0
(suit heart2 heart), layer: 0
(value spade2 n2), layer: 0
(suit spade2 spade), layer: 0
(value hearta n1), layer: 0
(suit hearta heart), layer: 0
(canstack hearta club2), layer: 0
(canstack hearta spade2), layer: 0
(value diamond2 n2), layer: 0
(suit diamond2 diamond), layer: 0
(value cluba n1), layer: 0
(suit cluba club), layer: 0
(canstack cluba diamond2), layer: 0
(canstack cluba heart2), layer: 0
(value diamond0 n0), layer: 0
(suit diamond0 diamond), layer: 0
(value club0 n0), layer: 0
(suit club0 club), layer: 0
(value heart0 n0), layer: 0
(suit heart0 heart), layer: 0
(value spade0 n0), layer: 0
(suit spade0 spade), layer: 0
