(home c0), layer: 0
(home d0), layer: 0
(home h0), layer: 0
(home s0), layer: 0
(cellspace n4), layer: 0
(colspace n0), layer: 0
(on c2 h9), layer: 0
(on c3 s2), layer: 0
(on c5 ha), layer: 0
(on c6 h5), layer: 0
(on c7 c8), layer: 0
(on c8 c9), layer: 0
(on c9 d2), layer: 0
(on ca d7), layer: 0
(on d4 c4), layer: 0
(on d5 sa), layer: 0
(on d6 d9), layer: 0
(on d7 d8), layer: 0
(on d8 s4), layer: 0
(on d9 h7), layer: 0
(on da s7), layer: 0
(on h2 s5), layer: 0
(on h4 s6), layer: 0
(on h5 c2), layer: 0
(on h6 h8), layer: 0
(on h7 h3), layer: 0
(on h8 d4), layer: 0
(on s3 c5), layer: 0
(on s4 d3), layer: 0
(on s5 s3), layer: 0
(on s6 c3), layer: 0
(on s7 d5), layer: 0
(on s9 h2), layer: 0
(on sa s8), layer: 0
(clear c6), layer: 0
(clear c7), layer: 0
(clear ca), layer: 0
(clear d6), layer: 0
(clear da), layer: 0
(clear h4), layer: 0
(clear h6), layer: 0
(clear s9), layer: 0
(bottomcol c4), layer: 0
(bottomcol d2), layer: 0
(bottomcol d3), layer: 0
(bottomcol h3), layer: 0
(bottomcol h9), layer: 0
(bottomcol ha), layer: 0
(bottomcol s2), layer: 0
(bottomcol s8), layer: 0
(on d6 c7), layer: 1
(clear d9), layer: 1
(on h6 c7), layer: 1
(clear h8), layer: 1
(incell c6), layer: 1
(clear h5), layer: 1
(cellspace n3), layer: 1
(incell c7), layer: 1
(clear c8), layer: 1
(incell ca), layer: 1
(clear d7), layer: 1
(incell d6), layer: 1
(incell da), layer: 1
(clear s7), layer: 1
(incell h4), layer: 1
(clear s6), layer: 1
(incell h6), layer: 1
(incell s9), layer: 1
(clear h2), layer: 1
(home ca), layer: 1
(home da), layer: 1
(on c6 d7), layer: 2
(on c7 h8), layer: 2
(on ca h2), layer: 2
(on d6 s7), layer: 2
(on h6 s7), layer: 2
(on h8 s9), layer: 2
(clear d4), layer: 2
(on h5 s6), layer: 2
(clear c2), layer: 2
(on h5 c6), layer: 2
(on c8 d9), layer: 2
(clear c9), layer: 2
(on d7 c8), layer: 2
(clear d8), layer: 2
(on s7 h8), layer: 2
(clear d5), layer: 2
(on s6 d7), layer: 2
(clear c3), layer: 2
(cellspace n2), layer: 2
(incell d9), layer: 2
(clear h7), layer: 2
(incell h8), layer: 2
(incell h5), layer: 2
(incell c8), layer: 2
(incell d7), layer: 2
(incell s7), layer: 2
(incell s6), layer: 2
(incell h2), layer: 2
(clear s5), layer: 2
(cellspace n5), layer: 2
(value c0 n0), layer: 0
(value c2 n2), layer: 0
(value c3 n3), layer: 0
(value c4 n4), layer: 0
(value c5 n5), layer: 0
(value c6 n6), layer: 0
(value c7 n7), layer: 0
(value c8 n8), layer: 0
(value c9 n9), layer: 0
(value ca n1), layer: 0
(value d0 n0), layer: 0
(value d2 n2), layer: 0
(value d3 n3), layer: 0
(value d4 n4), layer: 0
(value d5 n5), layer: 0
(value d6 n6), layer: 0
(value d7 n7), layer: 0
(value d8 n8), layer: 0
(value d9 n9), layer: 0
(value da n1), layer: 0
(value h0 n0), layer: 0
(value h2 n2), layer: 0
(value h3 n3), layer: 0
(value h4 n4), layer: 0
(value h5 n5), layer: 0
(value h6 n6), layer: 0
(value h7 n7), layer: 0
(value h8 n8), layer: 0
(value h9 n9), layer: 0
