(at_soil_sample waypoint0), layer: 0
(at_rock_sample waypoint0), layer: 0
(at_rock_sample waypoint1), layer: 0
(at_soil_sample waypoint3), layer: 0
(at_rock_sample waypoint3), layer: 0
(at_soil_sample waypoint4), layer: 0
(at_rock_sample waypoint4), layer: 0
(at_soil_sample waypoint6), layer: 0
(at_rock_sample waypoint6), layer: 0
(channel_free general), layer: 0
(at rover0 waypoint4), layer: 0
(available rover0), layer: 0
(empty rover0store), layer: 0
(at rover1 waypoint0), layer: 0
(available rover1), layer: 0
(empty rover1store), layer: 0
(at rover2 waypoint3), layer: 0
(available rover2), layer: 0
(empty rover2store), layer: 0
(at rover3 waypoint1), layer: 0
(available rover3), layer: 0
(empty rover3store), layer: 0
(at rover0 waypoint0), layer: 1
(at rover0 waypoint1), layer: 1
(at rover0 waypoint2), layer: 1
(at rover0 waypoint3), layer: 1
(at rover0 waypoint6), layer: 1
(at rover1 waypoint1), layer: 1
(at rover1 waypoint2), layer: 1
(at rover1 waypoint6), layer: 1
(at rover2 waypoint4), layer: 1
(at rover2 waypoint5), layer: 1
(at rover3 waypoint0), layer: 1
(full rover0store), layer: 1
(have_soil_analysis rover0 waypoint4), layer: 1
(full rover1store), layer: 1
(have_soil_analysis rover1 waypoint0), layer: 1
(have_rock_analysis rover0 waypoint4), layer: 1
(full rover2store), layer: 1
(have_rock_analysis rover2 waypoint3), layer: 1
(full rover3store), layer: 1
(have_rock_analysis rover3 waypoint1), layer: 1
(calibrated camera0 rover1), layer: 1
(calibrated camera1 rover1), layer: 1
(calibrated camera2 rover1), layer: 1
(calibrated camera3 rover1), layer: 1
(at rover0 waypoint5), layer: 2
(at rover2 waypoint0), layer: 2
(at rover2 waypoint1), layer: 2
(at rover2 waypoint2), layer: 2
(at rover3 waypoint2), layer: 2
(at rover3 waypoint4), layer: 2
(at rover3 waypoint6), layer: 2
(have_soil_analysis rover0 waypoint0), layer: 2
(have_soil_analysis rover0 waypoint3), layer: 2
(have_soil_analysis rover0 waypoint6), layer: 2
(have_soil_analysis rover1 waypoint6), layer: 2
(have_soil_analysis rover3 waypoint0), layer: 2
(have_rock_analysis rover0 waypoint0), layer: 2
(have_rock_analysis rover0 waypoint1), layer: 2
(have_rock_analysis rover0 waypoint3), layer: 2
(have_rock_analysis rover0 waypoint6), layer: 2
(have_rock_analysis rover2 waypoint4), layer: 2
(have_rock_analysis rover3 waypoint0), layer: 2
(calibrated camera5 rover3), layer: 2
(have_image rover1 objective0 low_res), layer: 2
(have_image rover1 objective0 colour), layer: 2
(have_image rover1 objective0 high_res), layer: 2
(have_image rover1 objective1 low_res), layer: 2
(have_image rover1 objective1 colour), layer: 2
(have_image rover1 objective1 high_res), layer: 2
(have_image rover1 objective2 low_res), layer: 2
(have_image rover1 objective2 colour), layer: 2
(have_image rover1 objective2 high_res), layer: 2
(have_image rover1 objective3 low_res), layer: 2
(have_image rover1 objective3 colour), layer: 2
(have_image rover1 objective3 high_res), layer: 2
(communicated_soil_data waypoint4), layer: 2
(communicated_soil_data waypoint0), layer: 2
(communicated_rock_data waypoint4), layer: 2
(communicated_rock_data waypoint1), layer: 2
(communicated_rock_data waypoint3), layer: 2
(visible waypoint0 waypoint6), layer: 0
(visible waypoint6 waypoint0), layer: 0
(visible waypoint1 waypoint0), layer: 0
(visible waypoint0 waypoint1), layer: 0
(visible waypoint1 waypoint2), layer: 0
(visible waypoint2 waypoint1), layer: 0
(visible waypoint1 waypoint5), layer: 0
(visible waypoint5 waypoint1), layer: 0
(visible waypoint2 waypoint0), layer: 0
(visible waypoint0 waypoint2), layer: 0
(visible waypoint2 waypoint4), layer: 0
(visible waypoint4 waypoint2), layer: 0
(visible waypoint2 waypoint6), layer: 0
(visible waypoint6 waypoint2), layer: 0
(visible waypoint3 waypoint5), layer: 0
(visible waypoint5 waypoint3), layer: 0
(visible waypoint4 waypoint0), layer: 0
(visible waypoint0 waypoint4), layer: 0
(visible waypoint4 waypoint1), layer: 0
(visible waypoint1 waypoint4), layer: 0
(visible waypoint4 waypoint3), layer: 0
(visible waypoint3 waypoint4), layer: 0
(visible waypoint5 waypoint0), layer: 0
(visible waypoint0 waypoint5), layer: 0
(visible waypoint5 waypoint6), layer: 0
(visible waypoint6 waypoint5), layer: 0
(visible waypoint6 waypoint4), layer: 0
(visible waypoint4 waypoint6), layer: 0
(lander general), layer: 0
(mode colour), layer: 0
(mode high_res), layer: 0
(mode low_res), layer: 0
(waypoint waypoint0), layer: 0
(waypoint waypoint1), layer: 0
(waypoint waypoint2), layer: 0
(waypoint waypoint3), layer: 0
(waypoint waypoint4), layer: 0
(waypoint waypoint5), layer: 0
(waypoint waypoint6), layer: 0
(at_lander general waypoint1), layer: 0
(rover rover0), layer: 0
(store rover0store), layer: 0
(store_of rover0store rover0), layer: 0
(equipped_for_soil_analysis rover0), layer: 0
(equipped_for_rock_analysis rover0), layer: 0
(can_traverse rover0 waypoint4 waypoint0), layer: 0
(can_traverse rover0 waypoint0 waypoint4), layer: 0
(can_traverse rover0 waypoint4 waypoint1), layer: 0
(can_traverse rover0 waypoint1 waypoint4), layer: 0
(can_traverse rover0 waypoint4 waypoint2), layer: 0
(can_traverse rover0 waypoint2 waypoint4), layer: 0
(can_traverse rover0 waypoint4 waypoint3), layer: 0
(can_traverse rover0 waypoint3 waypoint4), layer: 0
(can_traverse rover0 waypoint4 waypoint6), layer: 0
(can_traverse rover0 waypoint6 waypoint4), layer: 0
(can_traverse rover0 waypoint1 waypoint5), layer: 0
(can_traverse rover0 waypoint5 waypoint1), layer: 0
(rover rover1), layer: 0
(store rover1store), layer: 0
(store_of rover1store rover1), layer: 0
(equipped_for_soil_analysis rover1), layer: 0
(equipped_for_imaging rover1), layer: 0
(can_traverse rover1 waypoint0 waypoint1), layer: 0
(can_traverse rover1 waypoint1 waypoint0), layer: 0
(can_traverse rover1 waypoint0 waypoint2), layer: 0
(can_traverse rover1 waypoint2 waypoint0), layer: 0
(can_traverse rover1 waypoint0 waypoint6), layer: 0
(can_traverse rover1 waypoint6 waypoint0), layer: 0
(rover rover2), layer: 0
(store rover2store), layer: 0
(store_of rover2store rover2), layer: 0
(equipped_for_rock_analysis rover2), layer: 0
(equipped_for_imaging rover2), layer: 0
(can_traverse rover2 waypoint3 waypoint4), layer: 0
(can_traverse rover2 waypoint4 waypoint3), layer: 0
(can_traverse rover2 waypoint3 waypoint5), layer: 0
(can_traverse rover2 waypoint5 waypoint3), layer: 0
(can_traverse rover2 waypoint4 waypoint0), layer: 0
(can_traverse rover2 waypoint0 waypoint4), layer: 0
(can_traverse rover2 waypoint4 waypoint1), layer: 0
(can_traverse rover2 waypoint1 waypoint4), layer: 0
(can_traverse rover2 waypoint4 waypoint2), layer: 0
(can_traverse rover2 waypoint2 waypoint4), layer: 0
(rover rover3), layer: 0
(store rover3store), layer: 0
(store_of rover3store rover3), layer: 0
(equipped_for_soil_analysis rover3), layer: 0
(equipped_for_rock_analysis rover3), layer: 0
(equipped_for_imaging rover3), layer: 0
(can_traverse rover3 waypoint1 waypoint0), layer: 0
(can_traverse rover3 waypoint0 waypoint1), layer: 0
(can_traverse rover3 waypoint0 waypoint2), layer: 0
(can_traverse rover3 waypoint2 waypoint0), layer: 0
(can_traverse rover3 waypoint0 waypoint4), layer: 0
(can_traverse rover3 waypoint4 waypoint0), layer: 0
(can_traverse rover3 waypoint0 waypoint6), layer: 0
(can_traverse rover3 waypoint6 waypoint0), layer: 0
(can_traverse rover3 waypoint4 waypoint3), layer: 0
(can_traverse rover3 waypoint3 waypoint4), layer: 0
(can_traverse rover3 waypoint6 waypoint5), layer: 0
(can_traverse rover3 waypoint5 waypoint6), layer: 0
(camera camera0), layer: 0
(on_board camera0 rover1), layer: 0
(calibration_target camera0 objective2), layer: 0
(supports camera0 low_res), layer: 0
(camera camera1), layer: 0
(on_board camera1 rover1), layer: 0
(calibration_target camera1 objective3), layer: 0
(supports camera1 colour), layer: 0
(camera camera2), layer: 0
(on_board camera2 rover1), layer: 0
(calibration_target camera2 objective1), layer: 0
(supports camera2 colour), layer: 0
