(at plane1 city0), layer: 0
(fuel-level plane1 fl2), layer: 0
(at plane2 city4), layer: 0
(fuel-level plane2 fl5), layer: 0
(at plane3 city2), layer: 0
(fuel-level plane3 fl2), layer: 0
(at person1 city3), layer: 0
(at person2 city3), layer: 0
(at person3 city4), layer: 0
(at person4 city4), layer: 0
(at person5 city1), layer: 0
(at person6 city0), layer: 0
(at person7 city1), layer: 0
(at person8 city0), layer: 0
(in person3 plane2), layer: 1
(in person4 plane2), layer: 1
(in person6 plane1), layer: 1
(in person8 plane1), layer: 1
(fuel-level plane1 fl1), layer: 1
(at plane1 city1), layer: 1
(at plane1 city2), layer: 1
(at plane1 city3), layer: 1
(at plane1 city4), layer: 1
(at plane3 city0), layer: 1
(fuel-level plane3 fl1), layer: 1
(at plane3 city1), layer: 1
(at plane3 city3), layer: 1
(at plane3 city4), layer: 1
(at plane2 city0), layer: 1
(fuel-level plane2 fl4), layer: 1
(at plane2 city1), layer: 1
(at plane2 city2), layer: 1
(at plane2 city3), layer: 1
(fuel-level plane1 fl0), layer: 1
(fuel-level plane2 fl3), layer: 1
(fuel-level plane3 fl0), layer: 1
(fuel-level plane1 fl3), layer: 1
(fuel-level plane3 fl3), layer: 1
(fuel-level plane2 fl6), layer: 1
(in person1 plane1), layer: 2
(in person1 plane2), layer: 2
(in person1 plane3), layer: 2
(in person2 plane1), layer: 2
(in person2 plane2), layer: 2
(in person2 plane3), layer: 2
(in person3 plane1), layer: 2
(in person3 plane3), layer: 2
(in person4 plane1), layer: 2
(in person4 plane3), layer: 2
(in person5 plane1), layer: 2
(in person5 plane2), layer: 2
(in person5 plane3), layer: 2
(in person6 plane2), layer: 2
(in person6 plane3), layer: 2
(in person7 plane1), layer: 2
(in person7 plane2), layer: 2
(in person7 plane3), layer: 2
(in person8 plane2), layer: 2
(in person8 plane3), layer: 2
(at person3 city0), layer: 2
(at person3 city1), layer: 2
(at person3 city2), layer: 2
(at person3 city3), layer: 2
(at person4 city0), layer: 2
(at person4 city1), layer: 2
(at person4 city2), layer: 2
(at person4 city3), layer: 2
(at person6 city1), layer: 2
(at person6 city2), layer: 2
(at person6 city3), layer: 2
(at person6 city4), layer: 2
(at person8 city1), layer: 2
(at person8 city2), layer: 2
(at person8 city3), layer: 2
(at person8 city4), layer: 2
(fuel-level plane2 fl2), layer: 2
(fuel-level plane2 fl1), layer: 2
(fuel-level plane1 fl4), layer: 2
(fuel-level plane3 fl4), layer: 2
(aircraft plane1), layer: 0
(aircraft plane2), layer: 0
(aircraft plane3), layer: 0
(person person1), layer: 0
(person person2), layer: 0
(person person3), layer: 0
(person person4), layer: 0
(person person5), layer: 0
(person person6), layer: 0
(person person7), layer: 0
(person person8), layer: 0
(city city0), layer: 0
(city city1), layer: 0
(city city2), layer: 0
(city city3), layer: 0
(city city4), layer: 0
(next fl0 fl1), layer: 0
(next fl1 fl2), layer: 0
(next fl2 fl3), layer: 0
(next fl3 fl4), layer: 0
(next fl4 fl5), layer: 0
(next fl5 fl6), layer: 0
(flevel fl0), layer: 0
(flevel fl1), layer: 0
(flevel fl2), layer: 0
(flevel fl3), layer: 0
(flevel fl4), layer: 0
(flevel fl5), layer: 0
(flevel fl6), layer: 0
