(at-segment airplane_cfbeg seg_rw_0_400), layer: 0
(facing airplane_cfbeg south), layer: 0
(is-moving airplane_cfbeg), layer: 0
(not_blocked seg_pp_0_60 airplane_cfbeg), layer: 0
(not_blocked seg_ppdoor_0_40 airplane_cfbeg), layer: 0
(not_blocked seg_tww1_0_200 airplane_cfbeg), layer: 0
(not_blocked seg_twe1_0_200 airplane_cfbeg), layer: 0
(not_blocked seg_tww2_0_50 airplane_cfbeg), layer: 0
(not_blocked seg_tww3_0_50 airplane_cfbeg), layer: 0
(not_blocked seg_tww4_0_50 airplane_cfbeg), layer: 0
(not_blocked seg_rww_0_50 airplane_cfbeg), layer: 0
(not_blocked seg_rwtw1_0_10 airplane_cfbeg), layer: 0
(not_blocked seg_twe4_0_50 airplane_cfbeg), layer: 0
(not_blocked seg_rwte1_0_10 airplane_cfbeg), layer: 0
(not_blocked seg_twe3_0_50 airplane_cfbeg), layer: 0
(not_blocked seg_twe2_0_50 airplane_cfbeg), layer: 0
(not_blocked seg_rwte2_0_10 airplane_cfbeg), layer: 0
(not_blocked seg_rwtw2_0_10 airplane_cfbeg), layer: 0
(not_occupied seg_pp_0_60), layer: 0
(not_occupied seg_ppdoor_0_40), layer: 0
(not_occupied seg_tww1_0_200), layer: 0
(not_occupied seg_twe1_0_200), layer: 0
(not_occupied seg_tww2_0_50), layer: 0
(not_occupied seg_tww3_0_50), layer: 0
(not_occupied seg_tww4_0_50), layer: 0
(not_occupied seg_rww_0_50), layer: 0
(not_occupied seg_rwtw1_0_10), layer: 0
(not_occupied seg_rwe_0_50), layer: 0
(not_occupied seg_twe4_0_50), layer: 0
(not_occupied seg_rwte1_0_10), layer: 0
(not_occupied seg_twe3_0_50), layer: 0
(not_occupied seg_twe2_0_50), layer: 0
(not_occupied seg_rwte2_0_10), layer: 0
(not_occupied seg_rwtw2_0_10), layer: 0
(not_occupied seg_rw_0_400), layer: 1
(at-segment airplane_cfbeg seg_rww_0_50), layer: 1
(at-segment airplane_cfbeg seg_tww4_0_50), layer: 2
(facing airplane_cfbeg north), layer: 2
(not_blocked seg_rwe_0_50 airplane_cfbeg), layer: 2
(not_blocked seg_rw_0_400 airplane_cfbeg), layer: 2
(has-type airplane_cfbeg medium), layer: 0
