(on b0 a1), layer: 0
(on b3 a1), layer: 0
(on b1 a3), layer: 0
(on b2 a1), layer: 0
(first b4 s12), layer: 0
(last b4 s12), layer: 0
(first b5 s13), layer: 0
(last b5 s13), layer: 0
(first b0 s12), layer: 1
(last b0 s12), layer: 1
(on b4 a2), layer: 1
(first b3 s12), layer: 1
(last b3 s12), layer: 1
(first b2 s12), layer: 1
(last b2 s12), layer: 1
(first b0 s13), layer: 1
(last b0 s13), layer: 1
(on b5 a3), layer: 1
(first b2 s13), layer: 1
(last b2 s13), layer: 1
(last b1 s13), layer: 1
(first b1 s13), layer: 1
(on b5 a1), layer: 1
(first b5 s12), layer: 2
(last b5 s12), layer: 2
(on b0 a2), layer: 2
(on b3 a2), layer: 2
(on b2 a2), layer: 2
(on b0 a3), layer: 2
(on b2 a3), layer: 2
(first b3 s13), layer: 2
(last b3 s13), layer: 2
(on b4 a1), layer: 2
(on b1 a1), layer: 2
(normal s12), layer: 0
(normal s13), layer: 0
(may-interface lco lco), layer: 0
(may-interface gasoleo gasoleo), layer: 0
(may-interface rat-a rat-a), layer: 0
(may-interface oca1 oca1), layer: 0
(may-interface oc1b oc1b), layer: 0
(may-interface lco gasoleo), layer: 0
(may-interface gasoleo lco), layer: 0
(may-interface lco oca1), layer: 0
(may-interface oca1 lco), layer: 0
(may-interface lco oc1b), layer: 0
(may-interface oc1b lco), layer: 0
(may-interface lco rat-a), layer: 0
(may-interface rat-a lco), layer: 0
(may-interface gasoleo rat-a), layer: 0
(may-interface rat-a gasoleo), layer: 0
(may-interface gasoleo oca1), layer: 0
(may-interface oca1 gasoleo), layer: 0
(may-interface gasoleo oc1b), layer: 0
(may-interface oc1b gasoleo), layer: 0
(may-interface oca1 oc1b), layer: 0
(may-interface oc1b oca1), layer: 0
(connect a1 a2 s12), layer: 0
(connect a1 a3 s13), layer: 0
(is-product b0 oc1b), layer: 0
(is-product b3 rat-a), layer: 0
(is-product b1 lco), layer: 0
(is-product b4 lco), layer: 0
(is-product b2 gasoleo), layer: 0
(is-product b5 oca1), layer: 0
(unitary s12), layer: 0
(unitary s13), layer: 0
