(power_avail satellite0), layer: 0
(pointing satellite0 phenomenon6), layer: 0
(pointing satellite0 star0), layer: 1
(pointing satellite0 groundstation1), layer: 1
(pointing satellite0 groundstation2), layer: 1
(pointing satellite0 phenomenon3), layer: 1
(pointing satellite0 phenomenon4), layer: 1
(pointing satellite0 star5), layer: 1
(power_on instrument0), layer: 1
(calibrated instrument0), layer: 2
(satellite satellite0), layer: 0
(instrument instrument0), layer: 0
(supports instrument0 thermograph0), layer: 0
(calibration_target instrument0 groundstation2), layer: 0
(on_board instrument0 satellite0), layer: 0
(mode image1), layer: 0
(mode spectrograph2), layer: 0
(mode thermograph0), layer: 0
(direction star0), layer: 0
(direction groundstation1), layer: 0
(direction groundstation2), layer: 0
(direction phenomenon3), layer: 0
(direction phenomenon4), layer: 0
(direction star5), layer: 0
(direction phenomenon6), layer: 0
