(at_soil_sample waypoint0), layer: 0
(at_rock_sample waypoint1), layer: 0
(at_soil_sample waypoint2), layer: 0
(at_rock_sample waypoint2), layer: 0
(at_soil_sample waypoint3), layer: 0
(at_rock_sample waypoint3), layer: 0
(channel_free general), layer: 0
(at rover0 waypoint3), layer: 0
(available rover0), layer: 0
(empty rover0store), layer: 0
(at rover0 waypoint0), layer: 1
(at rover0 waypoint1), layer: 1
(full rover0store), layer: 1
(have_soil_analysis rover0 waypoint3), layer: 1
(have_rock_analysis rover0 waypoint3), layer: 1
(calibrated camera0 rover0), layer: 1
(at rover0 waypoint2), layer: 2
(have_soil_analysis rover0 waypoint0), layer: 2
(have_rock_analysis rover0 waypoint1), layer: 2
(have_image rover0 objective0 colour), layer: 2
(have_image rover0 objective1 colour), layer: 2
(have_image rover0 objective0 high_res), layer: 2
(have_image rover0 objective1 high_res), layer: 2
(communicated_soil_data waypoint3), layer: 2
(communicated_rock_data waypoint3), layer: 2
(visible waypoint1 waypoint0), layer: 0
(visible waypoint0 waypoint1), layer: 0
(visible waypoint2 waypoint0), layer: 0
(visible waypoint0 waypoint2), layer: 0
(visible waypoint2 waypoint1), layer: 0
(visible waypoint1 waypoint2), layer: 0
(visible waypoint3 waypoint0), layer: 0
(visible waypoint0 waypoint3), layer: 0
(visible waypoint3 waypoint1), layer: 0
(visible waypoint1 waypoint3), layer: 0
(visible waypoint3 waypoint2), layer: 0
(visible waypoint2 waypoint3), layer: 0
(at_lander general waypoint0), layer: 0
(store_of rover0store rover0), layer: 0
(equipped_for_soil_analysis rover0), layer: 0
(equipped_for_rock_analysis rover0), layer: 0
(equipped_for_imaging rover0), layer: 0
(can_traverse rover0 waypoint3 waypoint0), layer: 0
(can_traverse rover0 waypoint0 waypoint3), layer: 0
(can_traverse rover0 waypoint3 waypoint1), layer: 0
(can_traverse rover0 waypoint1 waypoint3), layer: 0
(can_traverse rover0 waypoint1 waypoint2), layer: 0
(can_traverse rover0 waypoint2 waypoint1), layer: 0
(on_board camera0 rover0), layer: 0
(calibration_target camera0 objective1), layer: 0
(supports camera0 colour), layer: 0
(supports camera0 high_res), layer: 0
(visible_from objective0 waypoint0), layer: 0
(visible_from objective0 waypoint1), layer: 0
(visible_from objective0 waypoint2), layer: 0
(visible_from objective0 waypoint3), layer: 0
(visible_from objective1 waypoint0), layer: 0
(visible_from objective1 waypoint1), layer: 0
(visible_from objective1 waypoint2), layer: 0
(visible_from objective1 waypoint3), layer: 0
