(in depot0-1-1 depot0), layer: 0
(in depot0-1-2 depot0), layer: 0
(in depot0-1-3 depot0), layer: 0
(in depot0-1-4 depot0), layer: 0
(in depot0-2-1 depot0), layer: 0
(in depot0-2-2 depot0), layer: 0
(in depot0-2-3 depot0), layer: 0
(in depot0-2-4 depot0), layer: 0
(on crate0 container-0-0), layer: 0
(on crate1 container-0-1), layer: 0
(on crate2 container-0-2), layer: 0
(on crate3 container-0-3), layer: 0
(in crate0 container0), layer: 0
(in crate1 container0), layer: 0
(in crate2 container0), layer: 0
(in crate3 container0), layer: 0
(in container-0-0 container0), layer: 0
(in container-0-1 container0), layer: 0
(in container-0-2 container0), layer: 0
(in container-0-3 container0), layer: 0
(clear depot0-2-4), layer: 0
(clear depot0-1-2), layer: 0
(clear depot0-1-3), layer: 0
(clear depot0-1-4), layer: 0
(clear depot0-2-1), layer: 0
(clear depot0-2-2), layer: 0
(clear depot0-2-3), layer: 0
(at hoist0 depot0-1-1), layer: 0
(available hoist0), layer: 0
(at hoist0 depot0-1-2), layer: 1
(clear depot0-1-1), layer: 1
(at hoist0 depot0-2-1), layer: 1
(at hoist0 depot0-1-3), layer: 2
(at hoist0 depot0-2-2), layer: 2
(connected depot0-1-1 depot0-2-1), layer: 0
(connected depot0-1-1 depot0-1-2), layer: 0
(connected depot0-1-2 depot0-2-2), layer: 0
(connected depot0-1-2 depot0-1-3), layer: 0
(connected depot0-1-2 depot0-1-1), layer: 0
(connected depot0-1-3 depot0-2-3), layer: 0
(connected depot0-1-3 depot0-1-4), layer: 0
(connected depot0-1-3 depot0-1-2), layer: 0
(connected depot0-1-4 depot0-2-4), layer: 0
(connected depot0-1-4 depot0-1-3), layer: 0
(connected depot0-2-1 depot0-1-1), layer: 0
(connected depot0-2-1 depot0-2-2), layer: 0
(connected depot0-2-2 depot0-1-2), layer: 0
(connected depot0-2-2 depot0-2-3), layer: 0
(connected depot0-2-2 depot0-2-1), layer: 0
(connected depot0-2-3 depot0-1-3), layer: 0
(connected depot0-2-3 depot0-2-4), layer: 0
(connected depot0-2-3 depot0-2-2), layer: 0
(connected depot0-2-4 depot0-1-4), layer: 0
(connected depot0-2-4 depot0-2-3), layer: 0
(connected loadarea container-0-0), layer: 0
(connected container-0-0 loadarea), layer: 0
(connected loadarea container-0-1), layer: 0
(connected container-0-1 loadarea), layer: 0
(connected loadarea container-0-2), layer: 0
(connected container-0-2 loadarea), layer: 0
(connected loadarea container-0-3), layer: 0
(connected container-0-3 loadarea), layer: 0
(connected depot0-2-3 loadarea), layer: 0
(connected loadarea depot0-2-3), layer: 0
