(num-subs l0), layer: 0
(NOT-chosen sp1), layer: 0
(NOT-chosen raf1), layer: 0
(NOT-chosen prbp2), layer: 0
(NOT-chosen prb-e2f4p1-dp12), layer: 0
(NOT-chosen pcaf), layer: 0
(NOT-chosen p300), layer: 0
(NOT-chosen p16), layer: 0
(NOT-chosen p130-e2f5p1-dp12), layer: 0
(NOT-chosen e2f13), layer: 0
(NOT-chosen dmp1), layer: 0
(NOT-chosen chk1), layer: 0
(NOT-chosen cdk7), layer: 0
(NOT-chosen cdk46p3-cycdp1), layer: 0
(NOT-chosen cdk46p3-cycd), layer: 0
(NOT-chosen cdc25c), layer: 0
(NOT-chosen ap2), layer: 0
(chosen sp1), layer: 1
(num-subs l1), layer: 1
(chosen raf1), layer: 1
(chosen prbp2), layer: 1
(chosen prb-e2f4p1-dp12), layer: 1
(chosen pcaf), layer: 1
(chosen p300), layer: 1
(chosen p16), layer: 1
(chosen p130-e2f5p1-dp12), layer: 1
(chosen e2f13), layer: 1
(chosen dmp1), layer: 1
(chosen chk1), layer: 1
(chosen cdk7), layer: 1
(chosen cdk46p3-cycdp1), layer: 1
(chosen cdk46p3-cycd), layer: 1
(chosen cdc25c), layer: 1
(chosen ap2), layer: 1
(num-subs l2), layer: 2
(available sp1), layer: 2
(available raf1), layer: 2
(available prbp2), layer: 2
(available prb-e2f4p1-dp12), layer: 2
(available pcaf), layer: 2
(available p300), layer: 2
(available p16), layer: 2
(available p130-e2f5p1-dp12), layer: 2
(available e2f13), layer: 2
(available dmp1), layer: 2
(available chk1), layer: 2
(available cdk7), layer: 2
(available cdk46p3-cycdp1), layer: 2
(available cdk46p3-cycd), layer: 2
(available cdc25c), layer: 2
(available ap2), layer: 2
(possible sp1), layer: 0
(possible raf1), layer: 0
(possible prbp2), layer: 0
(possible prb-e2f4p1-dp12), layer: 0
(possible pcaf), layer: 0
(possible p300), layer: 0
(possible p16), layer: 0
(possible p130-e2f5p1-dp12), layer: 0
(possible e2f13), layer: 0
(possible dmp1), layer: 0
(possible chk1), layer: 0
(possible cdk7), layer: 0
(possible cdk46p3-cycdp1), layer: 0
(possible cdk46p3-cycd), layer: 0
(possible cdc25c), layer: 0
(possible ap2), layer: 0
(catalyzed-association-reaction cdc25c chk1 cdc25cp2), layer: 0
(catalyzed-association-reaction dmp1 cdk46p3-cycd dmp1p1), layer: 0
(catalyzed-association-reaction dmp1 cdk46p3-cycdp1 dmp1p1), layer: 0
(association-reaction p16 cdk7 p16-cdk7), layer: 0
(association-reaction pcaf p300 pcaf-p300), layer: 0
(association-reaction prbp1p2 ap2 prbp1p2-ap2), layer: 0
(association-reaction prbp2 ap2 prbp2-ap2), layer: 0
(catalyzed-association-reaction prbp2 cdk46p3-cycdp1 prbp1p2), layer: 0
(catalyzed-association-reaction prbp2 cdk46p3-cycd prbp1p2), layer: 0
(association-reaction raf1 p130-e2f5p1-dp12 raf1-p130-e2f5p1-dp12), layer: 0
(association-reaction raf1 prb-e2f4p1-dp12 raf1-prb-e2f4p1-dp12), layer: 0
(association-reaction sp1 e2f13 sp1-e2f13), layer: 0
(next l1 l0), layer: 0
(next l2 l1), layer: 0
(next l3 l2), layer: 0
