(on b10 a2), layer: 0
(occupied ta2-1-oca1), layer: 0
(on b0 a1), layer: 0
(occupied ta1-1-lco), layer: 0
(on b1 a2), layer: 0
(occupied ta2-1-lco), layer: 0
(on b4 a2), layer: 0
(occupied ta2-2-lco), layer: 0
(on b6 a2), layer: 0
(occupied ta2-3-lco), layer: 0
(on b12 a3), layer: 0
(occupied ta3-1-rat-a), layer: 0
(on b9 a2), layer: 0
(occupied ta2-1-rat-a), layer: 0
(on b3 a3), layer: 0
(occupied ta3-1-lco), layer: 0
(on b13 a2), layer: 0
(occupied ta2-2-rat-a), layer: 0
(on b8 a3), layer: 0
(occupied ta3-2-rat-a), layer: 0
(on b11 a2), layer: 0
(occupied ta2-1-gasoleo), layer: 0
(on b5 a2), layer: 0
(occupied ta2-2-oca1), layer: 0
(not-occupied ta1-2-lco), layer: 0
(not-occupied ta1-3-lco), layer: 0
(not-occupied ta1-1-gasoleo), layer: 0
(not-occupied ta1-1-rat-a), layer: 0
(not-occupied ta1-2-rat-a), layer: 0
(not-occupied ta1-1-oca1), layer: 0
(not-occupied ta1-2-oca1), layer: 0
(not-occupied ta3-2-lco), layer: 0
(not-occupied ta3-3-lco), layer: 0
(not-occupied ta3-1-gasoleo), layer: 0
(not-occupied ta3-1-oca1), layer: 0
(not-occupied ta3-2-oca1), layer: 0
(first b2 s12), layer: 0
(last b2 s12), layer: 0
(first b7 s13), layer: 0
(last b7 s13), layer: 0
(last b10 s12), layer: 1
(first b10 s12), layer: 1
(not-occupied ta2-2-oca1), layer: 1
(on b2 a1), layer: 1
(occupied ta1-1-gasoleo), layer: 1
(not-occupied ta2-1-oca1), layer: 1
(last b1 s12), layer: 1
(first b1 s12), layer: 1
(not-occupied ta2-3-lco), layer: 1
(not-occupied ta2-2-lco), layer: 1
(not-occupied ta2-1-lco), layer: 1
(last b4 s12), layer: 1
(first b4 s12), layer: 1
(last b6 s12), layer: 1
(first b6 s12), layer: 1
(last b9 s12), layer: 1
(first b9 s12), layer: 1
(not-occupied ta2-2-rat-a), layer: 1
(not-occupied ta2-1-rat-a), layer: 1
(last b13 s12), layer: 1
(first b13 s12), layer: 1
(last b11 s12), layer: 1
(first b11 s12), layer: 1
(not-occupied ta2-1-gasoleo), layer: 1
(last b5 s12), layer: 1
(first b5 s12), layer: 1
(last b3 s13), layer: 1
(first b3 s13), layer: 1
(not-occupied ta3-1-lco), layer: 1
(on b7 a1), layer: 1
(occupied ta1-2-oca1), layer: 1
(occupied ta1-1-oca1), layer: 1
(first b0 s13), layer: 1
(last b0 s13), layer: 1
(not-occupied ta1-1-lco), layer: 1
(on b7 a3), layer: 1
(occupied ta3-2-oca1), layer: 1
(occupied ta3-1-oca1), layer: 1
(on b10 a1), layer: 2
(on b1 a1), layer: 2
(occupied ta1-3-lco), layer: 2
(occupied ta1-2-lco), layer: 2
(on b4 a1), layer: 2
(on b6 a1), layer: 2
(on b9 a1), layer: 2
