(at_soil_sample waypoint0), layer: 0
(at_soil_sample waypoint1), layer: 0
(at_soil_sample waypoint7), layer: 0
(at_rock_sample waypoint7), layer: 0
(at_soil_sample waypoint8), layer: 0
(at_soil_sample waypoint9), layer: 0
(at_rock_sample waypoint9), layer: 0
(at_rock_sample waypoint10), layer: 0
(at_soil_sample waypoint11), layer: 0
(at_rock_sample waypoint12), layer: 0
(at_soil_sample waypoint13), layer: 0
(at_rock_sample waypoint14), layer: 0
(at_soil_sample waypoint15), layer: 0
(at_rock_sample waypoint16), layer: 0
(at_soil_sample waypoint17), layer: 0
(at_soil_sample waypoint18), layer: 0
(at_rock_sample waypoint18), layer: 0
(at_soil_sample waypoint20), layer: 0
(at_rock_sample waypoint21), layer: 0
(at_soil_sample waypoint22), layer: 0
(at_rock_sample waypoint22), layer: 0
(at_soil_sample waypoint23), layer: 0
(at_soil_sample waypoint24), layer: 0
(channel_free general), layer: 0
(at rover0 waypoint22), layer: 0
(available rover0), layer: 0
(empty rover0store), layer: 0
(at rover1 waypoint4), layer: 0
(available rover1), layer: 0
(empty rover1store), layer: 0
(at rover2 waypoint3), layer: 0
(available rover2), layer: 0
(empty rover2store), layer: 0
(at rover3 waypoint3), layer: 0
(available rover3), layer: 0
(empty rover3store), layer: 0
(at rover4 waypoint16), layer: 0
(available rover4), layer: 0
(empty rover4store), layer: 0
(at rover5 waypoint10), layer: 0
(available rover5), layer: 0
(empty rover5store), layer: 0
(at rover6 waypoint4), layer: 0
(available rover6), layer: 0
(empty rover6store), layer: 0
(at rover7 waypoint16), layer: 0
(available rover7), layer: 0
(empty rover7store), layer: 0
(at rover0 waypoint11), layer: 1
(at rover0 waypoint12), layer: 1
(at rover0 waypoint21), layer: 1
(at rover1 waypoint1), layer: 1
(at rover1 waypoint5), layer: 1
(at rover1 waypoint6), layer: 1
(at rover1 waypoint13), layer: 1
(at rover1 waypoint16), layer: 1
(at rover1 waypoint19), layer: 1
(at rover1 waypoint20), layer: 1
(at rover1 waypoint21), layer: 1
(at rover2 waypoint1), layer: 1
(at rover2 waypoint13), layer: 1
(at rover2 waypoint18), layer: 1
(at rover2 waypoint20), layer: 1
(at rover3 waypoint1), layer: 1
(at rover3 waypoint12), layer: 1
(at rover3 waypoint13), layer: 1
(at rover3 waypoint18), layer: 1
(at rover3 waypoint20), layer: 1
(at rover4 waypoint2), layer: 1
(at rover4 waypoint4), layer: 1
(at rover4 waypoint5), layer: 1
(at rover4 waypoint7), layer: 1
(at rover4 waypoint8), layer: 1
(at rover4 waypoint10), layer: 1
(at rover4 waypoint15), layer: 1
(at rover4 waypoint22), layer: 1
(at rover5 waypoint11), layer: 1
(at rover5 waypoint15), layer: 1
(at rover5 waypoint16), layer: 1
(at rover5 waypoint18), layer: 1
(at rover5 waypoint23), layer: 1
(at rover6 waypoint1), layer: 1
(at rover6 waypoint6), layer: 1
(at rover6 waypoint8), layer: 1
(at rover6 waypoint13), layer: 1
(at rover6 waypoint16), layer: 1
(at rover6 waypoint19), layer: 1
(at rover6 waypoint20), layer: 1
(at rover7 waypoint2), layer: 1
(at rover7 waypoint4), layer: 1
(at rover7 waypoint8), layer: 1
(at rover7 waypoint10), layer: 1
(at rover7 waypoint20), layer: 1
(full rover0store), layer: 1
(have_soil_analysis rover0 waypoint22), layer: 1
(full rover4store), layer: 1
(have_rock_analysis rover4 waypoint16), layer: 1
(full rover7store), layer: 1
(have_rock_analysis rover7 waypoint16), layer: 1
(calibrated camera2 rover4), layer: 1
(calibrated camera3 rover2), layer: 1
(calibrated camera4 rover1), layer: 1
(calibrated camera5 rover5), layer: 1
(calibrated camera6 rover6), layer: 1
(at rover0 waypoint6), layer: 2
(at rover0 waypoint8), layer: 2
(at rover0 waypoint10), layer: 2
(at rover0 waypoint17), layer: 2
(at rover0 waypoint19), layer: 2
(at rover0 waypoint13), layer: 2
(at rover0 waypoint15), layer: 2
(at rover0 waypoint24), layer: 2
(at rover0 waypoint4), layer: 2
(at rover0 waypoint5), layer: 2
(at rover0 waypoint18), layer: 2
(at rover1 waypoint14), layer: 2
(at rover1 waypoint15), layer: 2
(at rover1 waypoint18), layer: 2
(at rover1 waypoint0), layer: 2
(at rover1 waypoint2), layer: 2
(at rover1 waypoint8), layer: 2
(at rover1 waypoint9), layer: 2
(at rover1 waypoint24), layer: 2
(at rover1 waypoint11), layer: 2
(at rover1 waypoint12), layer: 2
(at rover1 waypoint3), layer: 2
(at rover1 waypoint22), layer: 2
(at rover1 waypoint17), layer: 2
(at rover2 waypoint2), layer: 2
(at rover2 waypoint5), layer: 2
(at rover2 waypoint14), layer: 2
(at rover2 waypoint15), layer: 2
(at rover2 waypoint4), layer: 2
(at rover2 waypoint21), layer: 2
(at rover2 waypoint6), layer: 2
(at rover2 waypoint9), layer: 2
(at rover2 waypoint17), layer: 2
(at rover2 waypoint23), layer: 2
(at rover2 waypoint24), layer: 2
(at rover2 waypoint16), layer: 2
(at rover2 waypoint19), layer: 2
(at rover3 waypoint2), layer: 2
(at rover3 waypoint4), layer: 2
(at rover3 waypoint5), layer: 2
(at rover3 waypoint14), layer: 2
(at rover3 waypoint15), layer: 2
(at rover3 waypoint23), layer: 2
(at rover3 waypoint6), layer: 2
(at rover3 waypoint19), layer: 2
(at rover3 waypoint22), layer: 2
(at rover3 waypoint24), layer: 2
(at rover3 waypoint21), layer: 2
(at rover3 waypoint0), layer: 2
(at rover3 waypoint9), layer: 2
(at rover3 waypoint17), layer: 2
(at rover3 waypoint16), layer: 2
(at rover4 waypoint9), layer: 2
(at rover4 waypoint14), layer: 2
(at rover4 waypoint1), layer: 2
(at rover4 waypoint13), layer: 2
(at rover4 waypoint20), layer: 2
(at rover4 waypoint0), layer: 2
(at rover4 waypoint21), layer: 2
(at rover4 waypoint24), layer: 2
(at rover4 waypoint17), layer: 2
(at rover4 waypoint11), layer: 2
(at rover4 waypoint18), layer: 2
(at rover4 waypoint3), layer: 2
(at rover4 waypoint6), layer: 2
(at rover4 waypoint12), layer: 2
(at rover5 waypoint6), layer: 2
(at rover5 waypoint8), layer: 2
(at rover5 waypoint12), layer: 2
(at rover5 waypoint21), layer: 2
(at rover5 waypoint22), layer: 2
(at rover5 waypoint0), layer: 2
(at rover5 waypoint1), layer: 2
(at rover5 waypoint13), layer: 2
(at rover5 waypoint17), layer: 2
(at rover5 waypoint2), layer: 2
(at rover5 waypoint4), layer: 2
(at rover5 waypoint7), layer: 2
(at rover5 waypoint3), layer: 2
(at rover5 waypoint20), layer: 2
(at rover5 waypoint24), layer: 2
(at rover6 waypoint3), layer: 2
(at rover6 waypoint5), layer: 2
(at rover6 waypoint14), layer: 2
(at rover6 waypoint18), layer: 2
(at rover6 waypoint23), layer: 2
(at rover6 waypoint2), layer: 2
(at rover6 waypoint9), layer: 2
(at rover6 waypoint11), layer: 2
(at rover6 waypoint12), layer: 2
(at rover6 waypoint15), layer: 2
(at rover6 waypoint21), layer: 2
(at rover6 waypoint17), layer: 2
(at rover6 waypoint7), layer: 2
(at rover6 waypoint10), layer: 2
(at rover6 waypoint22), layer: 2
(at rover6 waypoint24), layer: 2
(at rover7 waypoint5), layer: 2
(at rover7 waypoint6), layer: 2
(at rover7 waypoint9), layer: 2
(at rover7 waypoint14), layer: 2
(at rover7 waypoint23), layer: 2
(at rover7 waypoint13), layer: 2
