Diameter for drive: 2
Diameter for load: 4
Diameter for unload: 4
Diameter for buy: 4
Init-to-goal-distance goods1 - goods3: 0
Init-to-goal-distance goods1 - goods4: 0
Init-to-goal-distance goods1 - goods5: 0
Init-to-goal-distance goods1 - goods7: 0
Init-to-goal-distance goods1 - goods8: 0
Init-to-goal-distance goods1 - level2: 1
Init-to-goal-distance goods2 - goods6: 0
Init-to-goal-distance goods2 - goods9: 0
Init-to-goal-distance goods2 - goods10: 0
Init-to-goal-distance goods2 - level1: 1
Init-to-goal-distance goods3 - goods4: 0
Init-to-goal-distance goods3 - goods5: 0
Init-to-goal-distance goods3 - goods7: 0
Init-to-goal-distance goods3 - goods8: 0
Init-to-goal-distance goods3 - level2: 1
Init-to-goal-distance goods4 - goods5: 0
Init-to-goal-distance goods4 - goods7: 0
Init-to-goal-distance goods4 - goods8: 0
Init-to-goal-distance goods4 - level2: 1
Init-to-goal-distance goods5 - goods7: 0
Init-to-goal-distance goods5 - goods8: 0
Init-to-goal-distance goods5 - level2: 0
Init-to-goal-distance goods6 - goods9: 0
Init-to-goal-distance goods6 - goods10: 0
Init-to-goal-distance goods6 - level1: 0
Init-to-goal-distance goods7 - goods8: 0
Init-to-goal-distance goods7 - level2: 0
Init-to-goal-distance goods8 - level2: 0
Init-to-goal-distance goods9 - goods10: 0
Init-to-goal-distance goods9 - level1: 0
Init-to-goal-distance goods10 - level1: 0
