Diameter for load: 4
Diameter for unload: 3
Diameter for drive: inf
Diameter for deliver: inf
Diameter for load: 4
Diameter for load: 4
Diameter for unload: 3
Diameter for unload: 3
Init-to-goal-distance package1 - package2: 0
Init-to-goal-distance package1 - package8: -1
Init-to-goal-distance package1 - package9: -1
Init-to-goal-distance package1 - l3: 0
Init-to-goal-distance package1 - l4: 1
Init-to-goal-distance package1 - t4: inf
Init-to-goal-distance package1 - t12: inf
Init-to-goal-distance package2 - package8: 0
Init-to-goal-distance package2 - package9: 0
Init-to-goal-distance package2 - l3: 1
Init-to-goal-distance package2 - l4: 0
Init-to-goal-distance package2 - t4: inf
Init-to-goal-distance package2 - t12: inf
Init-to-goal-distance package3 - package4: 1
Init-to-goal-distance package3 - package5: 1
Init-to-goal-distance package3 - package6: 1
Init-to-goal-distance package3 - package7: 0
Init-to-goal-distance package3 - l1: 1
Init-to-goal-distance package3 - t8: inf
Init-to-goal-distance package4 - package5: 0
Init-to-goal-distance package4 - package6: 0
Init-to-goal-distance package4 - package7: 1
Init-to-goal-distance package4 - l1: 1
Init-to-goal-distance package4 - t8: inf
Init-to-goal-distance package5 - package6: 0
Init-to-goal-distance package5 - package7: 1
Init-to-goal-distance package5 - l1: 1
Init-to-goal-distance package5 - t8: inf
Init-to-goal-distance package6 - package7: 1
Init-to-goal-distance package6 - l1: 1
Init-to-goal-distance package6 - t8: inf
Init-to-goal-distance package7 - l1: 1
Init-to-goal-distance package7 - t8: inf
Init-to-goal-distance package8 - package9: 0
Init-to-goal-distance package8 - l3: 1
Init-to-goal-distance package8 - l4: -1, w/ static: 0
Init-to-goal-distance package8 - t4: inf
Init-to-goal-distance package8 - t12: inf
Init-to-goal-distance package9 - l3: 1
Init-to-goal-distance package9 - l4: -1, w/ static: 0
Init-to-goal-distance package9 - t4: inf
Init-to-goal-distance package9 - t12: inf
Init-to-goal-distance l1 - t8: inf
Init-to-goal-distance l3 - l4: -1, w/ static: 0
Init-to-goal-distance l3 - t4: inf
Init-to-goal-distance l3 - t12: inf
Init-to-goal-distance l4 - t4: inf
Init-to-goal-distance l4 - t12: inf
Init-to-goal-distance t4 - t12: -1, w/ static: 0
