(at truck1 l3), layer: 0
(free a1 truck1), layer: 0
(free a2 truck1), layer: 0
(free a3 truck1), layer: 0
(at package1 l2), layer: 0
(at package2 l2), layer: 0
(at package3 l2), layer: 0
(at package4 l4), layer: 0
(at package5 l4), layer: 0
(at package6 l4), layer: 0
(at package7 l2), layer: 0
(at package8 l2), layer: 0
(at package9 l2), layer: 0
(time-now t0), layer: 0
(time-now t1), layer: 1
(at truck1 l1), layer: 1
(at truck1 l2), layer: 1
(at truck1 l4), layer: 1
(in package1 truck1 a1), layer: 2
(in package2 truck1 a1), layer: 2
(in package3 truck1 a1), layer: 2
(in package7 truck1 a1), layer: 2
(in package8 truck1 a1), layer: 2
(in package9 truck1 a1), layer: 2
(in package4 truck1 a1), layer: 2
(in package5 truck1 a1), layer: 2
(in package6 truck1 a1), layer: 2
(time-now t2), layer: 2
(delivered package1 l2 t1), layer: 2
(at-destination package1 l2), layer: 2
(delivered package1 l2 t2), layer: 2
(delivered package1 l2 t3), layer: 2
(delivered package1 l2 t4), layer: 2
(delivered package1 l2 t5), layer: 2
(delivered package1 l2 t6), layer: 2
(delivered package1 l2 t7), layer: 2
(delivered package1 l2 t8), layer: 2
(delivered package1 l2 t9), layer: 2
(delivered package1 l2 t10), layer: 2
(delivered package1 l2 t11), layer: 2
(delivered package1 l2 t12), layer: 2
(delivered package2 l2 t1), layer: 2
(at-destination package2 l2), layer: 2
(delivered package2 l2 t2), layer: 2
(delivered package2 l2 t3), layer: 2
(delivered package2 l2 t4), layer: 2
(delivered package2 l2 t5), layer: 2
(delivered package2 l2 t6), layer: 2
(delivered package2 l2 t7), layer: 2
(delivered package2 l2 t8), layer: 2
(delivered package2 l2 t9), layer: 2
(delivered package2 l2 t10), layer: 2
(delivered package2 l2 t11), layer: 2
(delivered package2 l2 t12), layer: 2
(delivered package3 l2 t1), layer: 2
(at-destination package3 l2), layer: 2
(delivered package3 l2 t2), layer: 2
(delivered package3 l2 t3), layer: 2
(delivered package3 l2 t4), layer: 2
(delivered package3 l2 t5), layer: 2
