(uninitialized), layer: 0
(location dummy-sheet some_finisher_tray), layer: 0
(location sheet1 some_feeder_tray), layer: 0
(notprintedwith sheet1 front black), layer: 0
(notprintedwith sheet1 back black), layer: 0
(notprintedwith sheet1 front color), layer: 0
(notprintedwith sheet1 back color), layer: 0
(available endcap-rsrc), layer: 1
(available htmoverblack-rsrc), layer: 1
(available colorcontainer-rsrc), layer: 1
(available colorprinter-rsrc), layer: 1
(available colorfeeder-rsrc), layer: 1
(available blackfeeder-rsrc), layer: 1
(available down-rsrc), layer: 1
(available htmovercolor-rsrc), layer: 1
(available blackcontainer-rsrc), layer: 1
(available blackprinter-rsrc), layer: 1
(available up-rsrc), layer: 1
(available finisher1-rsrc), layer: 1
(available finisher2-rsrc), layer: 1
(location sheet1 down_bottomentry-colorfeeder_exit), layer: 2
(sideup sheet1 front), layer: 2
(location sheet1 blackcontainer_entry-blackfeeder_exit), layer: 2
(oppositeside front back), layer: 0
(oppositeside back front), layer: 0
(prevsheet sheet1 dummy-sheet), layer: 0
(sheetsize sheet1 letter), layer: 0
(imagecolor image-1 black), layer: 0
