(on car-in-1 seg-in-1), layer: 0
(on car-in-2 seg-in-2), layer: 0
(on car-in-3 seg-in-3), layer: 0
(on car-out-1 seg-out-1), layer: 0
(on car-out-2 seg-out-2), layer: 0
(on car-out-3 seg-out-3), layer: 0
(on car-in-1 seg-out-1), layer: 1
(on car-out-1 seg-in-1), layer: 1
(analyzed car-in-1), layer: 1
(on car-in-1 seg-out-2), layer: 1
(on car-out-2 seg-in-1), layer: 1
(on car-in-1 seg-out-3), layer: 1
(on car-out-3 seg-in-1), layer: 1
(on car-in-2 seg-out-1), layer: 1
(on car-out-1 seg-in-2), layer: 1
(analyzed car-in-2), layer: 1
(on car-in-2 seg-out-2), layer: 1
(on car-out-2 seg-in-2), layer: 1
(on car-in-2 seg-out-3), layer: 1
(on car-out-3 seg-in-2), layer: 1
(on car-in-3 seg-out-1), layer: 1
(on car-out-1 seg-in-3), layer: 1
(analyzed car-in-3), layer: 1
(on car-in-3 seg-out-2), layer: 1
(on car-out-2 seg-in-3), layer: 1
(on car-in-3 seg-out-3), layer: 1
(on car-out-3 seg-in-3), layer: 1
(on car-in-2 seg-in-1), layer: 2
(on car-in-3 seg-in-1), layer: 2
(analyzed car-out-1), layer: 2
(on car-out-2 seg-out-1), layer: 2
(analyzed car-out-2), layer: 2
(on car-out-3 seg-out-1), layer: 2
(analyzed car-out-3), layer: 2
(on car-out-1 seg-out-2), layer: 2
(on car-out-3 seg-out-2), layer: 2
(on car-out-1 seg-out-3), layer: 2
(on car-out-2 seg-out-3), layer: 2
(on car-in-1 seg-in-2), layer: 2
(on car-in-3 seg-in-2), layer: 2
(on car-in-1 seg-in-3), layer: 2
(on car-in-2 seg-in-3), layer: 2
(cycle-2 seg-in-1 seg-out-1), layer: 0
(cycle-2 seg-in-1 seg-out-2), layer: 0
(cycle-2 seg-in-1 seg-out-3), layer: 0
(cycle-2 seg-in-2 seg-out-1), layer: 0
(cycle-2 seg-in-2 seg-out-2), layer: 0
(cycle-2 seg-in-2 seg-out-3), layer: 0
(cycle-2 seg-in-3 seg-out-1), layer: 0
(cycle-2 seg-in-3 seg-out-2), layer: 0
(cycle-2 seg-in-3 seg-out-3), layer: 0
(cycle-2-with-analysis seg-in-1 seg-out-1), layer: 0
(cycle-2-with-analysis seg-in-1 seg-out-2), layer: 0
(cycle-2-with-analysis seg-in-1 seg-out-3), layer: 0
(cycle-2-with-analysis seg-in-2 seg-out-1), layer: 0
(cycle-2-with-analysis seg-in-2 seg-out-2), layer: 0
(cycle-2-with-analysis seg-in-2 seg-out-3), layer: 0
(cycle-2-with-analysis seg-in-3 seg-out-1), layer: 0
(cycle-2-with-analysis seg-in-3 seg-out-2), layer: 0
(cycle-2-with-analysis seg-in-3 seg-out-3), layer: 0
