(at player-01 pos-08-06), layer: 0
(at stone-01 pos-05-03), layer: 0
(at stone-02 pos-04-04), layer: 0
(at stone-03 pos-05-04), layer: 0
(at stone-04 pos-08-07), layer: 0
(clear pos-01-01), layer: 0
(clear pos-01-06), layer: 0
(clear pos-01-07), layer: 0
(clear pos-01-08), layer: 0
(clear pos-01-09), layer: 0
(clear pos-02-03), layer: 0
(clear pos-02-04), layer: 0
(clear pos-02-06), layer: 0
(clear pos-02-07), layer: 0
(clear pos-02-08), layer: 0
(clear pos-02-09), layer: 0
(clear pos-03-02), layer: 0
(clear pos-03-03), layer: 0
(clear pos-03-04), layer: 0
(clear pos-03-07), layer: 0
(clear pos-03-08), layer: 0
(clear pos-03-09), layer: 0
(clear pos-04-02), layer: 0
(clear pos-04-03), layer: 0
(clear pos-04-05), layer: 0
(clear pos-05-02), layer: 0
(clear pos-05-05), layer: 0
(clear pos-05-06), layer: 0
(clear pos-05-07), layer: 0
(clear pos-05-08), layer: 0
(clear pos-06-02), layer: 0
(clear pos-06-03), layer: 0
(clear pos-06-04), layer: 0
(clear pos-06-07), layer: 0
(clear pos-06-08), layer: 0
(clear pos-07-06), layer: 0
(clear pos-07-07), layer: 0
(clear pos-08-01), layer: 0
(clear pos-08-02), layer: 0
(clear pos-08-03), layer: 0
(clear pos-08-04), layer: 0
(clear pos-08-09), layer: 0
(clear pos-09-01), layer: 0
(clear pos-09-02), layer: 0
(clear pos-09-03), layer: 0
(clear pos-09-04), layer: 0
(clear pos-09-06), layer: 0
(clear pos-09-07), layer: 0
(clear pos-09-09), layer: 0
(clear pos-10-01), layer: 0
(clear pos-10-02), layer: 0
(clear pos-10-03), layer: 0
(clear pos-10-04), layer: 0
(clear pos-10-09), layer: 0
(at player-01 pos-07-06), layer: 1
(clear pos-08-06), layer: 1
(at player-01 pos-09-06), layer: 1
(at player-01 pos-07-07), layer: 2
(at player-01 pos-09-07), layer: 2
(is-goal pos-05-05), layer: 0
(is-goal pos-05-06), layer: 0
(is-goal pos-05-07), layer: 0
(is-goal pos-05-08), layer: 0
(is-nongoal pos-01-01), layer: 0
(is-nongoal pos-01-02), layer: 0
(is-nongoal pos-01-03), layer: 0
(is-nongoal pos-01-04), layer: 0
(is-nongoal pos-01-05), layer: 0
(is-nongoal pos-01-06), layer: 0
(is-nongoal pos-01-07), layer: 0
(is-nongoal pos-01-08), layer: 0
(is-nongoal pos-01-09), layer: 0
(is-nongoal pos-02-01), layer: 0
(is-nongoal pos-02-02), layer: 0
(is-nongoal pos-02-03), layer: 0
(is-nongoal pos-02-04), layer: 0
(is-nongoal pos-02-05), layer: 0
(is-nongoal pos-02-06), layer: 0
(is-nongoal pos-02-07), layer: 0
(is-nongoal pos-02-08), layer: 0
(is-nongoal pos-02-09), layer: 0
(is-nongoal pos-03-01), layer: 0
(is-nongoal pos-03-02), layer: 0
(is-nongoal pos-03-03), layer: 0
(is-nongoal pos-03-04), layer: 0
(is-nongoal pos-03-05), layer: 0
(is-nongoal pos-03-06), layer: 0
(is-nongoal pos-03-07), layer: 0
(is-nongoal pos-03-08), layer: 0
(is-nongoal pos-03-09), layer: 0
(is-nongoal pos-04-01), layer: 0
(is-nongoal pos-04-02), layer: 0
(is-nongoal pos-04-03), layer: 0
(is-nongoal pos-04-04), layer: 0
(is-nongoal pos-04-05), layer: 0
(is-nongoal pos-04-06), layer: 0
(is-nongoal pos-04-07), layer: 0
(is-nongoal pos-04-08), layer: 0
(is-nongoal pos-04-09), layer: 0
(is-nongoal pos-05-01), layer: 0
(is-nongoal pos-05-02), layer: 0
(is-nongoal pos-05-03), layer: 0
(is-nongoal pos-05-04), layer: 0
(is-nongoal pos-05-09), layer: 0
(is-nongoal pos-06-01), layer: 0
(is-nongoal pos-06-02), layer: 0
(is-nongoal pos-06-03), layer: 0
(is-nongoal pos-06-04), layer: 0
(is-nongoal pos-06-05), layer: 0
(is-nongoal pos-06-06), layer: 0
(is-nongoal pos-06-07), layer: 0
(is-nongoal pos-06-08), layer: 0
(is-nongoal pos-06-09), layer: 0
(is-nongoal pos-07-01), layer: 0
(is-nongoal pos-07-02), layer: 0
(is-nongoal pos-07-03), layer: 0
(is-nongoal pos-07-04), layer: 0
(is-nongoal pos-07-05), layer: 0
(is-nongoal pos-07-06), layer: 0
(is-nongoal pos-07-07), layer: 0
(is-nongoal pos-07-08), layer: 0
(is-nongoal pos-07-09), layer: 0
(is-nongoal pos-08-01), layer: 0
(is-nongoal pos-08-02), layer: 0
(is-nongoal pos-08-03), layer: 0
(is-nongoal pos-08-04), layer: 0
(is-nongoal pos-08-05), layer: 0
(is-nongoal pos-08-06), layer: 0
(is-nongoal pos-08-07), layer: 0
(is-nongoal pos-08-08), layer: 0
(is-nongoal pos-08-09), layer: 0
(is-nongoal pos-09-01), layer: 0
(is-nongoal pos-09-02), layer: 0
(is-nongoal pos-09-03), layer: 0
(is-nongoal pos-09-04), layer: 0
(is-nongoal pos-09-05), layer: 0
(is-nongoal pos-09-06), layer: 0
(is-nongoal pos-09-07), layer: 0
(is-nongoal pos-09-08), layer: 0
(is-nongoal pos-09-09), layer: 0
(is-nongoal pos-10-01), layer: 0
(is-nongoal pos-10-02), layer: 0
(is-nongoal pos-10-03), layer: 0
(is-nongoal pos-10-04), layer: 0
(is-nongoal pos-10-05), layer: 0
(is-nongoal pos-10-06), layer: 0
(is-nongoal pos-10-07), layer: 0
(is-nongoal pos-10-08), layer: 0
(is-nongoal pos-10-09), layer: 0
(move-dir pos-01-06 pos-01-07 dir-down), layer: 0
(move-dir pos-01-06 pos-02-06 dir-right), layer: 0
(move-dir pos-01-07 pos-01-06 dir-up), layer: 0
(move-dir pos-01-07 pos-01-08 dir-down), layer: 0
(move-dir pos-01-07 pos-02-07 dir-right), layer: 0
(move-dir pos-01-08 pos-01-07 dir-up), layer: 0
(move-dir pos-01-08 pos-01-09 dir-down), layer: 0
(move-dir pos-01-08 pos-02-08 dir-right), layer: 0
(move-dir pos-01-09 pos-01-08 dir-up), layer: 0
(move-dir pos-01-09 pos-02-09 dir-right), layer: 0
(move-dir pos-02-03 pos-02-04 dir-down), layer: 0
(move-dir pos-02-03 pos-03-03 dir-right), layer: 0
(move-dir pos-02-04 pos-02-03 dir-up), layer: 0
(move-dir pos-02-04 pos-03-04 dir-right), layer: 0
(move-dir pos-02-06 pos-01-06 dir-left), layer: 0
(move-dir pos-02-06 pos-02-07 dir-down), layer: 0
(move-dir pos-02-07 pos-01-07 dir-left), layer: 0
(move-dir pos-02-07 pos-02-06 dir-up), layer: 0
(move-dir pos-02-07 pos-02-08 dir-down), layer: 0
(move-dir pos-02-07 pos-03-07 dir-right), layer: 0
(move-dir pos-02-08 pos-01-08 dir-left), layer: 0
(move-dir pos-02-08 pos-02-07 dir-up), layer: 0
(move-dir pos-02-08 pos-02-09 dir-down), layer: 0
(move-dir pos-02-08 pos-03-08 dir-right), layer: 0
(move-dir pos-02-09 pos-01-09 dir-left), layer: 0
(move-dir pos-02-09 pos-02-08 dir-up), layer: 0
(move-dir pos-02-09 pos-03-09 dir-right), layer: 0
(move-dir pos-03-02 pos-03-03 dir-down), layer: 0
(move-dir pos-03-02 pos-04-02 dir-right), layer: 0
(move-dir pos-03-03 pos-02-03 dir-left), layer: 0
(move-dir pos-03-03 pos-03-02 dir-up), layer: 0
(move-dir pos-03-03 pos-03-04 dir-down), layer: 0
(move-dir pos-03-03 pos-04-03 dir-right), layer: 0
(move-dir pos-03-04 pos-02-04 dir-left), layer: 0
(move-dir pos-03-04 pos-03-03 dir-up), layer: 0
