(at package-1 city-1-loc-10), layer: 0
(at package-2 city-1-loc-6), layer: 0
(at package-3 city-1-loc-5), layer: 0
(at package-4 city-1-loc-14), layer: 0
(at package-5 city-1-loc-13), layer: 0
(at package-6 city-1-loc-15), layer: 0
(at package-7 city-1-loc-3), layer: 0
(at package-8 city-1-loc-18), layer: 0
(at package-9 city-1-loc-8), layer: 0
(at package-10 city-1-loc-6), layer: 0
(at package-11 city-1-loc-4), layer: 0
(at truck-1 city-2-loc-11), layer: 0
(capacity truck-1 capacity-3), layer: 0
(at truck-2 city-2-loc-13), layer: 0
(capacity truck-2 capacity-3), layer: 0
(at truck-3 city-2-loc-15), layer: 0
(capacity truck-3 capacity-3), layer: 0
(at truck-1 city-2-loc-3), layer: 1
(at truck-1 city-2-loc-9), layer: 1
(at truck-1 city-2-loc-18), layer: 1
(at truck-2 city-2-loc-1), layer: 1
(at truck-2 city-2-loc-9), layer: 1
(at truck-2 city-2-loc-16), layer: 1
(at truck-2 city-2-loc-19), layer: 1
(at truck-2 city-2-loc-20), layer: 1
(at truck-3 city-2-loc-1), layer: 1
(at truck-3 city-2-loc-4), layer: 1
(at truck-3 city-2-loc-10), layer: 1
(at truck-3 city-2-loc-17), layer: 1
(at truck-3 city-2-loc-19), layer: 1
(at truck-1 city-2-loc-7), layer: 2
(at truck-1 city-2-loc-2), layer: 2
(at truck-1 city-2-loc-13), layer: 2
(at truck-1 city-2-loc-16), layer: 2
(at truck-2 city-2-loc-15), layer: 2
(at truck-2 city-2-loc-17), layer: 2
(at truck-2 city-2-loc-2), layer: 2
(at truck-2 city-2-loc-11), layer: 2
(at truck-2 city-2-loc-5), layer: 2
(at truck-2 city-2-loc-8), layer: 2
(at truck-3 city-2-loc-13), layer: 2
(at truck-3 city-2-loc-16), layer: 2
(at truck-3 city-1-loc-12), layer: 2
(at truck-3 city-2-loc-12), layer: 2
(at truck-3 city-2-loc-14), layer: 2
(at truck-3 city-2-loc-20), layer: 2
(capacity-predecessor capacity-0 capacity-1), layer: 0
(capacity-predecessor capacity-1 capacity-2), layer: 0
(capacity-predecessor capacity-2 capacity-3), layer: 0
(capacity-predecessor capacity-3 capacity-4), layer: 0
(road city-1-loc-3 city-1-loc-1), layer: 0
(road city-1-loc-1 city-1-loc-3), layer: 0
(road city-1-loc-4 city-1-loc-1), layer: 0
(road city-1-loc-1 city-1-loc-4), layer: 0
(road city-1-loc-5 city-1-loc-4), layer: 0
(road city-1-loc-4 city-1-loc-5), layer: 0
(road city-1-loc-6 city-1-loc-2), layer: 0
(road city-1-loc-2 city-1-loc-6), layer: 0
(road city-1-loc-7 city-1-loc-1), layer: 0
(road city-1-loc-1 city-1-loc-7), layer: 0
(road city-1-loc-7 city-1-loc-3), layer: 0
(road city-1-loc-3 city-1-loc-7), layer: 0
(road city-1-loc-8 city-1-loc-7), layer: 0
(road city-1-loc-7 city-1-loc-8), layer: 0
(road city-1-loc-9 city-1-loc-6), layer: 0
(road city-1-loc-6 city-1-loc-9), layer: 0
(road city-1-loc-10 city-1-loc-3), layer: 0
(road city-1-loc-3 city-1-loc-10), layer: 0
(road city-1-loc-10 city-1-loc-7), layer: 0
(road city-1-loc-7 city-1-loc-10), layer: 0
(road city-1-loc-10 city-1-loc-8), layer: 0
(road city-1-loc-8 city-1-loc-10), layer: 0
(road city-1-loc-11 city-1-loc-9), layer: 0
(road city-1-loc-9 city-1-loc-11), layer: 0
(road city-1-loc-12 city-1-loc-1), layer: 0
(road city-1-loc-1 city-1-loc-12), layer: 0
(road city-1-loc-12 city-1-loc-3), layer: 0
(road city-1-loc-3 city-1-loc-12), layer: 0
(road city-1-loc-13 city-1-loc-9), layer: 0
