(empty highspeed-saw0), layer: 0
(unused p0), layer: 0
(unused p1), layer: 0
(unused p2), layer: 0
(available p3), layer: 0
(colour p3 blue), layer: 0
(wood p3 teak), layer: 0
(surface-condition p3 verysmooth), layer: 0
(treatment p3 varnished), layer: 0
(unused p4), layer: 0
(unused p5), layer: 0
(unused p6), layer: 0
(unused p7), layer: 0
(unused p8), layer: 0
(unused p9), layer: 0
(unused p10), layer: 0
(unused p11), layer: 0
(boardsize b0 s6), layer: 0
(wood b0 teak), layer: 0
(surface-condition b0 rough), layer: 0
(available b0), layer: 0
(boardsize b1 s12), layer: 0
(wood b1 mahogany), layer: 0
(surface-condition b1 rough), layer: 0
(available b1), layer: 0
(boardsize b2 s2), layer: 0
(wood b2 mahogany), layer: 0
(surface-condition b2 smooth), layer: 0
(available b2), layer: 0
(boardsize b3 s11), layer: 0
(wood b3 walnut), layer: 0
(surface-condition b3 rough), layer: 0
(available b3), layer: 0
(boardsize b4 s3), layer: 0
(wood b4 walnut), layer: 0
(surface-condition b4 smooth), layer: 0
(available b4), layer: 0
(treatment p3 colourfragments), layer: 1
(colour p3 natural), layer: 1
(surface-condition p3 smooth), layer: 1
(treatment p3 untreated), layer: 1
(in-highspeed-saw b0 highspeed-saw0), layer: 1
(in-highspeed-saw b1 highspeed-saw0), layer: 1
(in-highspeed-saw b2 highspeed-saw0), layer: 1
(in-highspeed-saw b3 highspeed-saw0), layer: 1
(in-highspeed-saw b4 highspeed-saw0), layer: 1
(available p0), layer: 1
(wood p0 teak), layer: 1
(surface-condition p0 rough), layer: 1
(colour p0 natural), layer: 1
(treatment p0 untreated), layer: 1
(boardsize b0 s5), layer: 1
(wood p0 mahogany), layer: 1
(boardsize b1 s11), layer: 1
(surface-condition p0 smooth), layer: 1
(boardsize b2 s1), layer: 1
(wood p0 walnut), layer: 1
(boardsize b3 s10), layer: 1
(boardsize b4 s2), layer: 1
(available p4), layer: 1
(wood p4 teak), layer: 1
(surface-condition p4 rough), layer: 1
(colour p4 natural), layer: 1
(treatment p4 untreated), layer: 1
(boardsize b0 s4), layer: 1
(available p5), layer: 1
(wood p5 teak), layer: 1
(surface-condition p5 rough), layer: 1
(colour p5 natural), layer: 1
(treatment p5 untreated), layer: 1
(available p9), layer: 1
(wood p9 teak), layer: 1
(surface-condition p9 rough), layer: 1
(colour p9 natural), layer: 1
(treatment p9 untreated), layer: 1
(available p10), layer: 1
(wood p10 teak), layer: 1
(surface-condition p10 rough), layer: 1
(colour p10 natural), layer: 1
(treatment p10 untreated), layer: 1
(wood p4 mahogany), layer: 1
(boardsize b1 s10), layer: 1
(wood p5 mahogany), layer: 1
(wood p9 mahogany), layer: 1
(wood p10 mahogany), layer: 1
(surface-condition p4 smooth), layer: 1
(boardsize b2 s0), layer: 1
(surface-condition p5 smooth), layer: 1
