(at player-01 pos-04-16), layer: 0
(at stone-01 pos-03-15), layer: 0
(clear pos-01-01), layer: 0
(clear pos-01-02), layer: 0
(clear pos-01-03), layer: 0
(clear pos-01-04), layer: 0
(clear pos-01-05), layer: 0
(clear pos-01-06), layer: 0
(clear pos-01-07), layer: 0
(clear pos-01-08), layer: 0
(clear pos-01-09), layer: 0
(clear pos-01-10), layer: 0
(clear pos-01-11), layer: 0
(clear pos-01-12), layer: 0
(clear pos-01-13), layer: 0
(clear pos-01-14), layer: 0
(clear pos-02-16), layer: 0
(clear pos-03-02), layer: 0
(clear pos-03-03), layer: 0
(clear pos-03-04), layer: 0
(clear pos-03-05), layer: 0
(clear pos-03-06), layer: 0
(clear pos-03-07), layer: 0
(clear pos-03-08), layer: 0
(clear pos-03-09), layer: 0
(clear pos-03-10), layer: 0
(clear pos-03-11), layer: 0
(clear pos-03-12), layer: 0
(clear pos-03-13), layer: 0
(clear pos-03-14), layer: 0
(clear pos-03-16), layer: 0
(clear pos-04-02), layer: 0
(clear pos-05-02), layer: 0
(clear pos-05-04), layer: 0
(clear pos-05-05), layer: 0
(clear pos-05-06), layer: 0
(clear pos-05-07), layer: 0
(clear pos-05-08), layer: 0
(clear pos-05-09), layer: 0
(clear pos-05-10), layer: 0
(clear pos-05-11), layer: 0
(clear pos-05-12), layer: 0
(clear pos-05-13), layer: 0
(clear pos-05-14), layer: 0
(clear pos-05-15), layer: 0
(clear pos-05-16), layer: 0
(clear pos-06-02), layer: 0
(clear pos-06-04), layer: 0
(clear pos-07-02), layer: 0
(clear pos-07-04), layer: 0
(clear pos-07-06), layer: 0
(clear pos-07-07), layer: 0
(clear pos-07-08), layer: 0
(clear pos-07-09), layer: 0
(clear pos-07-10), layer: 0
(clear pos-07-11), layer: 0
(clear pos-07-12), layer: 0
(clear pos-07-13), layer: 0
(clear pos-07-14), layer: 0
(clear pos-07-15), layer: 0
(clear pos-07-16), layer: 0
(clear pos-08-02), layer: 0
(clear pos-08-04), layer: 0
(clear pos-08-06), layer: 0
(clear pos-08-16), layer: 0
(clear pos-09-02), layer: 0
(clear pos-09-04), layer: 0
(clear pos-09-06), layer: 0
(clear pos-09-08), layer: 0
(clear pos-09-09), layer: 0
(clear pos-09-10), layer: 0
(clear pos-09-11), layer: 0
(clear pos-09-12), layer: 0
(clear pos-09-13), layer: 0
(clear pos-09-14), layer: 0
(clear pos-09-16), layer: 0
(clear pos-10-02), layer: 0
(clear pos-10-04), layer: 0
(clear pos-10-06), layer: 0
(clear pos-10-08), layer: 0
(clear pos-10-14), layer: 0
(clear pos-10-16), layer: 0
(clear pos-11-02), layer: 0
(clear pos-11-04), layer: 0
(clear pos-11-06), layer: 0
(clear pos-11-08), layer: 0
(clear pos-11-10), layer: 0
(clear pos-11-11), layer: 0
(clear pos-11-12), layer: 0
(clear pos-11-14), layer: 0
(clear pos-11-16), layer: 0
(clear pos-12-02), layer: 0
(clear pos-12-04), layer: 0
(clear pos-12-06), layer: 0
(clear pos-12-08), layer: 0
(clear pos-12-10), layer: 0
(clear pos-12-12), layer: 0
(clear pos-12-14), layer: 0
(clear pos-12-16), layer: 0
(clear pos-13-02), layer: 0
(clear pos-13-04), layer: 0
(clear pos-13-06), layer: 0
(clear pos-13-08), layer: 0
(clear pos-13-10), layer: 0
(clear pos-13-12), layer: 0
(clear pos-13-14), layer: 0
(clear pos-13-16), layer: 0
(clear pos-14-02), layer: 0
(clear pos-14-04), layer: 0
(clear pos-14-06), layer: 0
(clear pos-14-08), layer: 0
(clear pos-14-10), layer: 0
(clear pos-14-12), layer: 0
(clear pos-14-14), layer: 0
(clear pos-14-16), layer: 0
(clear pos-15-02), layer: 0
(clear pos-15-04), layer: 0
(clear pos-15-06), layer: 0
(clear pos-15-08), layer: 0
(clear pos-15-10), layer: 0
(clear pos-15-12), layer: 0
(clear pos-15-14), layer: 0
(clear pos-15-16), layer: 0
(clear pos-16-02), layer: 0
(clear pos-16-04), layer: 0
(clear pos-16-06), layer: 0
(clear pos-16-08), layer: 0
(clear pos-16-10), layer: 0
(clear pos-16-12), layer: 0
(clear pos-16-14), layer: 0
(clear pos-16-16), layer: 0
(clear pos-17-02), layer: 0
(clear pos-17-04), layer: 0
(clear pos-17-06), layer: 0
(clear pos-17-08), layer: 0
(clear pos-17-10), layer: 0
(clear pos-17-12), layer: 0
(clear pos-17-14), layer: 0
(clear pos-17-16), layer: 0
(clear pos-18-02), layer: 0
(clear pos-18-04), layer: 0
(clear pos-18-06), layer: 0
(clear pos-18-08), layer: 0
(clear pos-18-10), layer: 0
(clear pos-18-12), layer: 0
(clear pos-18-14), layer: 0
(clear pos-18-16), layer: 0
(clear pos-19-02), layer: 0
(clear pos-19-04), layer: 0
(clear pos-19-06), layer: 0
(clear pos-19-08), layer: 0
(clear pos-19-10), layer: 0
(clear pos-19-12), layer: 0
(clear pos-19-14), layer: 0
(clear pos-19-16), layer: 0
(clear pos-20-02), layer: 0
(clear pos-20-04), layer: 0
(clear pos-20-06), layer: 0
(clear pos-20-08), layer: 0
(clear pos-20-10), layer: 0
(clear pos-20-12), layer: 0
(clear pos-20-14), layer: 0
(clear pos-20-16), layer: 0
(clear pos-21-02), layer: 0
(clear pos-21-04), layer: 0
(clear pos-21-06), layer: 0
(clear pos-21-08), layer: 0
(clear pos-21-10), layer: 0
(clear pos-21-12), layer: 0
(clear pos-21-14), layer: 0
(clear pos-21-16), layer: 0
(clear pos-22-02), layer: 0
(clear pos-22-04), layer: 0
(clear pos-22-06), layer: 0
(clear pos-22-08), layer: 0
(clear pos-22-09), layer: 0
(clear pos-22-10), layer: 0
(clear pos-22-12), layer: 0
(clear pos-22-14), layer: 0
(clear pos-22-16), layer: 0
(clear pos-23-02), layer: 0
(clear pos-23-04), layer: 0
(clear pos-23-06), layer: 0
(clear pos-23-12), layer: 0
(clear pos-23-14), layer: 0
(clear pos-23-16), layer: 0
(clear pos-24-02), layer: 0
(clear pos-24-04), layer: 0
(clear pos-24-06), layer: 0
(clear pos-24-07), layer: 0
(clear pos-24-08), layer: 0
(clear pos-24-09), layer: 0
(clear pos-24-10), layer: 0
(clear pos-24-11), layer: 0
(clear pos-24-12), layer: 0
(clear pos-24-14), layer: 0
(clear pos-24-16), layer: 0
(clear pos-25-02), layer: 0
(clear pos-25-04), layer: 0
(clear pos-25-14), layer: 0
(clear pos-25-16), layer: 0
(clear pos-26-02), layer: 0
(clear pos-26-04), layer: 0
(clear pos-26-05), layer: 0
(clear pos-26-06), layer: 0
(clear pos-26-07), layer: 0
(clear pos-26-08), layer: 0
(clear pos-26-09), layer: 0
(clear pos-26-10), layer: 0
(clear pos-26-11), layer: 0
(clear pos-26-12), layer: 0
(clear pos-26-13), layer: 0
(clear pos-26-14), layer: 0
(clear pos-26-16), layer: 0
(clear pos-27-02), layer: 0
(clear pos-27-16), layer: 0
(clear pos-28-02), layer: 0
(clear pos-28-03), layer: 0
(clear pos-28-04), layer: 0
(clear pos-28-05), layer: 0
(clear pos-28-06), layer: 0
(clear pos-28-07), layer: 0
(clear pos-28-08), layer: 0
(clear pos-28-09), layer: 0
(clear pos-28-10), layer: 0
(clear pos-28-11), layer: 0
(clear pos-28-12), layer: 0
(clear pos-28-13), layer: 0
(clear pos-28-14), layer: 0
(clear pos-28-15), layer: 0
(clear pos-28-16), layer: 0
(at player-01 pos-03-16), layer: 1
(clear pos-04-16), layer: 1
(at player-01 pos-05-16), layer: 1
(at player-01 pos-02-16), layer: 2
(at player-01 pos-05-15), layer: 2
(at player-01 pos-03-15), layer: 2
(at stone-01 pos-03-14), layer: 2
(is-goal pos-02-16), layer: 0
(is-nongoal pos-01-01), layer: 0
(is-nongoal pos-01-02), layer: 0
(is-nongoal pos-01-03), layer: 0
(is-nongoal pos-01-04), layer: 0
(is-nongoal pos-01-05), layer: 0
(is-nongoal pos-01-06), layer: 0
(is-nongoal pos-01-07), layer: 0
(is-nongoal pos-01-08), layer: 0
(is-nongoal pos-01-09), layer: 0
(is-nongoal pos-01-10), layer: 0
(is-nongoal pos-01-11), layer: 0
(is-nongoal pos-01-12), layer: 0
(is-nongoal pos-01-13), layer: 0
(is-nongoal pos-01-14), layer: 0
(is-nongoal pos-01-15), layer: 0
(is-nongoal pos-01-16), layer: 0
(is-nongoal pos-01-17), layer: 0
(is-nongoal pos-02-01), layer: 0
(is-nongoal pos-02-02), layer: 0
(is-nongoal pos-02-03), layer: 0
(is-nongoal pos-02-04), layer: 0
(is-nongoal pos-02-05), layer: 0
(is-nongoal pos-02-06), layer: 0
(is-nongoal pos-02-07), layer: 0
(is-nongoal pos-02-08), layer: 0
(is-nongoal pos-02-09), layer: 0
(is-nongoal pos-02-10), layer: 0
(is-nongoal pos-02-11), layer: 0
(is-nongoal pos-02-12), layer: 0
(is-nongoal pos-02-13), layer: 0
(is-nongoal pos-02-14), layer: 0
(is-nongoal pos-02-15), layer: 0
(is-nongoal pos-02-17), layer: 0
(is-nongoal pos-03-01), layer: 0
(is-nongoal pos-03-02), layer: 0
(is-nongoal pos-03-03), layer: 0
(is-nongoal pos-03-04), layer: 0
(is-nongoal pos-03-05), layer: 0
(is-nongoal pos-03-06), layer: 0
(is-nongoal pos-03-07), layer: 0
(is-nongoal pos-03-08), layer: 0
(is-nongoal pos-03-09), layer: 0
(is-nongoal pos-03-10), layer: 0
(is-nongoal pos-03-11), layer: 0
(is-nongoal pos-03-12), layer: 0
(is-nongoal pos-03-13), layer: 0
(is-nongoal pos-03-14), layer: 0
(is-nongoal pos-03-15), layer: 0
(is-nongoal pos-03-16), layer: 0
(is-nongoal pos-03-17), layer: 0
(is-nongoal pos-04-01), layer: 0
(is-nongoal pos-04-02), layer: 0
(is-nongoal pos-04-03), layer: 0
(is-nongoal pos-04-04), layer: 0
(is-nongoal pos-04-05), layer: 0
(is-nongoal pos-04-06), layer: 0
(is-nongoal pos-04-07), layer: 0
(is-nongoal pos-04-08), layer: 0
(is-nongoal pos-04-09), layer: 0
(is-nongoal pos-04-10), layer: 0
(is-nongoal pos-04-11), layer: 0
(is-nongoal pos-04-12), layer: 0
(is-nongoal pos-04-13), layer: 0
(is-nongoal pos-04-14), layer: 0
(is-nongoal pos-04-15), layer: 0
(is-nongoal pos-04-16), layer: 0
(is-nongoal pos-04-17), layer: 0
(is-nongoal pos-05-01), layer: 0
(is-nongoal pos-05-02), layer: 0
(is-nongoal pos-05-03), layer: 0
(is-nongoal pos-05-04), layer: 0
(is-nongoal pos-05-05), layer: 0
(is-nongoal pos-05-06), layer: 0
(is-nongoal pos-05-07), layer: 0
(is-nongoal pos-05-08), layer: 0
(is-nongoal pos-05-09), layer: 0
(is-nongoal pos-05-10), layer: 0
(is-nongoal pos-05-11), layer: 0
(is-nongoal pos-05-12), layer: 0
(is-nongoal pos-05-13), layer: 0
(is-nongoal pos-05-14), layer: 0
(is-nongoal pos-05-15), layer: 0
(is-nongoal pos-05-16), layer: 0
(is-nongoal pos-05-17), layer: 0
(is-nongoal pos-06-01), layer: 0
(is-nongoal pos-06-02), layer: 0
(is-nongoal pos-06-03), layer: 0
(is-nongoal pos-06-04), layer: 0
(is-nongoal pos-06-05), layer: 0
(is-nongoal pos-06-06), layer: 0
(is-nongoal pos-06-07), layer: 0
(is-nongoal pos-06-08), layer: 0
(is-nongoal pos-06-09), layer: 0
(is-nongoal pos-06-10), layer: 0
(is-nongoal pos-06-11), layer: 0
(is-nongoal pos-06-12), layer: 0
(is-nongoal pos-06-13), layer: 0
(is-nongoal pos-06-14), layer: 0
(is-nongoal pos-06-15), layer: 0
(is-nongoal pos-06-16), layer: 0
(is-nongoal pos-06-17), layer: 0
(is-nongoal pos-07-01), layer: 0
(is-nongoal pos-07-02), layer: 0
(is-nongoal pos-07-03), layer: 0
(is-nongoal pos-07-04), layer: 0
(is-nongoal pos-07-05), layer: 0
(is-nongoal pos-07-06), layer: 0
(is-nongoal pos-07-07), layer: 0
(is-nongoal pos-07-08), layer: 0
(is-nongoal pos-07-09), layer: 0
(is-nongoal pos-07-10), layer: 0
(is-nongoal pos-07-11), layer: 0
(is-nongoal pos-07-12), layer: 0
(is-nongoal pos-07-13), layer: 0
(is-nongoal pos-07-14), layer: 0
(is-nongoal pos-07-15), layer: 0
(is-nongoal pos-07-16), layer: 0
(is-nongoal pos-07-17), layer: 0
(is-nongoal pos-08-01), layer: 0
(is-nongoal pos-08-02), layer: 0
(is-nongoal pos-08-03), layer: 0
(is-nongoal pos-08-04), layer: 0
(is-nongoal pos-08-05), layer: 0
(is-nongoal pos-08-06), layer: 0
(is-nongoal pos-08-07), layer: 0
(is-nongoal pos-08-08), layer: 0
(is-nongoal pos-08-09), layer: 0
(is-nongoal pos-08-10), layer: 0
(is-nongoal pos-08-11), layer: 0
(is-nongoal pos-08-12), layer: 0
(is-nongoal pos-08-13), layer: 0
(is-nongoal pos-08-14), layer: 0
(is-nongoal pos-08-15), layer: 0
(is-nongoal pos-08-16), layer: 0
(is-nongoal pos-08-17), layer: 0
(is-nongoal pos-09-01), layer: 0
(is-nongoal pos-09-02), layer: 0
(is-nongoal pos-09-03), layer: 0
(is-nongoal pos-09-04), layer: 0
(is-nongoal pos-09-05), layer: 0
(is-nongoal pos-09-06), layer: 0
(is-nongoal pos-09-07), layer: 0
(is-nongoal pos-09-08), layer: 0
(is-nongoal pos-09-09), layer: 0
(is-nongoal pos-09-10), layer: 0
