Diameter for analyze-2: 3
Diameter for rotate-2: 3
Init-to-goal-distance car-in-1 - seg-in-1: 0
Init-to-goal-distance car-in-2 - seg-in-2: 0
Init-to-goal-distance car-in-3 - seg-in-3: 0
Init-to-goal-distance car-in-4 - seg-in-4: 0
Init-to-goal-distance car-in-5 - seg-in-5: 0
Init-to-goal-distance car-in-6 - seg-in-6: 0
Init-to-goal-distance car-in-7 - seg-in-7: 0
Init-to-goal-distance car-in-8 - seg-in-8: 0
Init-to-goal-distance car-in-9 - seg-in-9: 0
Init-to-goal-distance car-out-1 - seg-out-1: 0
Init-to-goal-distance car-out-2 - seg-out-2: 0
Init-to-goal-distance car-out-3 - seg-out-3: 0
Init-to-goal-distance car-out-4 - seg-out-4: 0
Init-to-goal-distance car-out-5 - seg-out-5: 0
Init-to-goal-distance car-out-6 - seg-out-6: 0
Init-to-goal-distance car-out-7 - seg-out-7: 0
Init-to-goal-distance car-out-8 - seg-out-8: 0
Init-to-goal-distance car-out-9 - seg-out-9: 0
