Diameter for do-immersion-varnish: inf
Diameter for do-spray-varnish: inf
Diameter for do-glaze: inf
Diameter for do-grind: 3
Diameter for do-plane: 2
Diameter for load-highspeed-saw: inf
Diameter for unload-highspeed-saw: 1
Diameter for cut-board-small: inf
Diameter for cut-board-medium: inf
Diameter for cut-board-large: inf
Diameter for do-saw-small: inf
Diameter for do-saw-medium: inf
Diameter for do-saw-large: inf
Init-to-goal-distance verysmooth - varnished: 1
Init-to-goal-distance verysmooth - mauve: inf
Init-to-goal-distance verysmooth - beech: 0
Init-to-goal-distance verysmooth - p0: inf
Init-to-goal-distance verysmooth - p2: -2
Init-to-goal-distance smooth - glazed: inf
Init-to-goal-distance smooth - green: inf
Init-to-goal-distance smooth - cherry: inf
Init-to-goal-distance smooth - p1: inf
Init-to-goal-distance varnished - mauve: inf
Init-to-goal-distance varnished - beech: 1
Init-to-goal-distance varnished - p0: inf
Init-to-goal-distance varnished - p2: -1
Init-to-goal-distance glazed - green: inf
Init-to-goal-distance glazed - cherry: 6
Init-to-goal-distance glazed - p1: inf
Init-to-goal-distance green - cherry: inf
Init-to-goal-distance green - p1: inf
Init-to-goal-distance mauve - beech: inf
Init-to-goal-distance mauve - p0: inf
Init-to-goal-distance mauve - p2: inf
Init-to-goal-distance cherry - p1: inf
Init-to-goal-distance beech - p0: inf
Init-to-goal-distance beech - p2: 0
Init-to-goal-distance p0 - p2: inf
