(not-authenticated-bob_uid-yeti), layer: 0
(not-authenticated-adam_uid-bigfoot), layer: 0
(not-authenticated-greg_uid-sherpa), layer: 0
(not-has_process-yeti-proc_0), layer: 0
(not-has_process-yeti-proc_1), layer: 0
(not-has_process-yeti-proc_2), layer: 0
(not-has_process-yeti-proc_3), layer: 0
(not-has_process-bigfoot-proc_0), layer: 0
(not-has_process-bigfoot-proc_1), layer: 0
(not-has_process-bigfoot-proc_2), layer: 0
(not-has_process-bigfoot-proc_3), layer: 0
(not-has_process-sherpa-proc_0), layer: 0
(not-has_process-sherpa-proc_1), layer: 0
(not-has_process-sherpa-proc_2), layer: 0
(not-has_process-sherpa-proc_3), layer: 0
(not-mandatory_step-nobody), layer: 0
(not-mandatory_step-bob), layer: 0
(not-mandatory_step-adam), layer: 0
(not-mandatory_step-greg), layer: 0
(not-connecting-dmss1), layer: 0
(not-connecting-dmss2), layer: 0
(not-connected-dmss1), layer: 0
(not-connected-dmss2), layer: 0
(not-dms_established-dmss1), layer: 0
(not-dms_established-dmss2), layer: 0
(not-host_locked-yeti), layer: 0
(not-host_locked-bigfoot), layer: 0
(not-host_locked-sherpa), layer: 0
(not-at_host-bob-yeti), layer: 0
(not-at_host-adam-bigfoot), layer: 0
(not-at_host-adam-everest), layer: 0
(not-at_host-greg-sherpa), layer: 0
(at_host-nobody-everest), layer: 0
(console_user-nobody-nouid-sherpa), layer: 0
(at_host-nobody-sherpa), layer: 0
(inst_by-greg_inst-nobody), layer: 0
(console_user-nobody-nouid-bigfoot), layer: 0
(at_host-nobody-bigfoot), layer: 0
(console_user-nobody-nouid-yeti), layer: 0
(at_host-nobody-yeti), layer: 0
(inst_by-mandatory_update-nobody), layer: 0
(pmode-m_free), layer: 0
(in_room-key_0-adams_office), layer: 0
(not-at_host-nobody-everest), layer: 1
(not-at_host-nobody-sherpa), layer: 1
(not-at_host-nobody-bigfoot), layer: 1
(not-at_host-nobody-yeti), layer: 1
(at_host-greg-sherpa), layer: 1
(at_host-adam-everest), layer: 1
(at_host-adam-bigfoot), layer: 1
(at_host-bob-yeti), layer: 1
(has_key-adam-key_0), layer: 1
(not-in_room-key_0-adams_office), layer: 1
(pmode-m_dms_sess), layer: 1
(connecting-dmss2), layer: 1
(connecting-dmss1), layer: 1
(mandatory_step-greg), layer: 1
(mandatory_step-adam), layer: 1
(mandatory_step-bob), layer: 1
(mandatory_step-nobody), layer: 1
(knows_instruction-bob-greg_inst), layer: 1
(inst_by-greg_inst-greg), layer: 1
(inst_update_file-greg_inst-everest-e_secret_doc), layer: 1
(knows_instruction-bob-mandatory_update), layer: 1
(inst_by-mandatory_update-greg), layer: 1
(inst_update_file-mandatory_update-everest-e_secret_doc), layer: 1
(inst_update_file-greg_inst-everest-s_iemalupdate), layer: 1
(inst_update_file-mandatory_update-everest-s_iemalupdate), layer: 1
(inst_update_file-greg_inst-everest-s_iexplore), layer: 1
(inst_update_file-mandatory_update-everest-s_iexplore), layer: 1
(inst_update_file-greg_inst-everest-s_wexplore), layer: 1
(inst_update_file-mandatory_update-everest-s_wexplore), layer: 1
(inst_update_file-greg_inst-everest-s_etc_shadow), layer: 1
(inst_update_file-mandatory_update-everest-s_etc_shadow), layer: 1
(inst_update_file-greg_inst-everest-s_outlook), layer: 1
(inst_update_file-mandatory_update-everest-s_outlook), layer: 1
(inst_update_file-greg_inst-everest-b_iexplore), layer: 1
(inst_update_file-mandatory_update-everest-b_iexplore), layer: 1
(inst_update_file-greg_inst-everest-b_wexplore), layer: 1
(inst_update_file-mandatory_update-everest-b_wexplore), layer: 1
(inst_update_file-greg_inst-everest-b_outlook), layer: 1
(inst_update_file-mandatory_update-everest-b_outlook), layer: 1
(inst_update_file-greg_inst-everest-y_ethereal), layer: 1
(inst_update_file-mandatory_update-everest-y_ethereal), layer: 1
(inst_update_file-greg_inst-everest-y_iexplore), layer: 1
(inst_update_file-mandatory_update-everest-y_iexplore), layer: 1
(inst_update_file-greg_inst-everest-y_wexplore), layer: 1
(inst_update_file-mandatory_update-everest-y_wexplore), layer: 1
(inst_update_file-greg_inst-everest-y_outlook), layer: 1
(inst_update_file-mandatory_update-everest-y_outlook), layer: 1
(inst_update_file-greg_inst-everest-new_file), layer: 1
(inst_update_file-mandatory_update-everest-new_file), layer: 1
(inst_update_file-greg_inst-everest-y_ievirus), layer: 1
(inst_update_file-mandatory_update-everest-y_ievirus), layer: 1
(inst_update_file-greg_inst-everest-y_tmaster), layer: 1
(inst_update_file-mandatory_update-everest-y_tmaster), layer: 1
(inst_update_file-greg_inst-everest-y_winbork), layer: 1
(inst_update_file-mandatory_update-everest-y_winbork), layer: 1
(inst_update_file-greg_inst-sherpa-e_secret_doc), layer: 1
(inst_update_file-mandatory_update-sherpa-e_secret_doc), layer: 1
(inst_update_file-greg_inst-sherpa-s_iemalupdate), layer: 1
(inst_update_file-mandatory_update-sherpa-s_iemalupdate), layer: 1
(inst_update_file-greg_inst-sherpa-s_iexplore), layer: 1
(inst_update_file-mandatory_update-sherpa-s_iexplore), layer: 1
(inst_update_file-greg_inst-sherpa-s_wexplore), layer: 1
(inst_update_file-mandatory_update-sherpa-s_wexplore), layer: 1
(inst_update_file-greg_inst-sherpa-s_etc_shadow), layer: 1
(inst_update_file-mandatory_update-sherpa-s_etc_shadow), layer: 1
(inst_update_file-greg_inst-sherpa-s_outlook), layer: 1
(inst_update_file-mandatory_update-sherpa-s_outlook), layer: 1
(inst_update_file-greg_inst-sherpa-b_iexplore), layer: 1
(inst_update_file-mandatory_update-sherpa-b_iexplore), layer: 1
(inst_update_file-greg_inst-sherpa-b_wexplore), layer: 1
(inst_update_file-mandatory_update-sherpa-b_wexplore), layer: 1
(inst_update_file-greg_inst-sherpa-b_outlook), layer: 1
