(lift-at fast0 n2), layer: 0
(passengers fast0 n0), layer: 0
(lift-at fast1 n4), layer: 0
(passengers fast1 n0), layer: 0
(lift-at slow0-0 n4), layer: 0
(passengers slow0-0 n0), layer: 0
(lift-at slow1-0 n7), layer: 0
(passengers slow1-0 n0), layer: 0
(passenger-at p0 n0), layer: 0
(passenger-at p1 n0), layer: 0
(passenger-at p2 n7), layer: 0
(passenger-at p3 n5), layer: 0
(passenger-at p4 n0), layer: 0
(passenger-at p5 n5), layer: 0
(passenger-at p6 n3), layer: 0
(passenger-at p7 n3), layer: 0
(passenger-at p8 n0), layer: 0
(passenger-at p9 n1), layer: 0
(passenger-at p10 n3), layer: 0
(passenger-at p11 n7), layer: 0
(passenger-at p12 n5), layer: 0
(lift-at slow1-0 n8), layer: 1
(lift-at slow0-0 n0), layer: 1
(lift-at slow0-0 n1), layer: 1
(lift-at slow0-0 n2), layer: 1
(lift-at slow0-0 n3), layer: 1
(lift-at slow1-0 n4), layer: 1
(lift-at slow1-0 n5), layer: 1
(lift-at slow1-0 n6), layer: 1
(lift-at fast0 n4), layer: 1
(lift-at fast0 n6), layer: 1
(lift-at fast0 n8), layer: 1
(lift-at fast1 n6), layer: 1
(lift-at fast1 n8), layer: 1
(lift-at fast0 n0), layer: 1
(lift-at fast1 n0), layer: 1
(lift-at fast1 n2), layer: 1
(boarded p2 slow1-0), layer: 1
(passengers slow1-0 n1), layer: 1
(boarded p11 slow1-0), layer: 1
(passengers slow1-0 n2), layer: 2
(boarded p0 slow0-0), layer: 2
(passengers slow0-0 n1), layer: 2
(boarded p1 slow0-0), layer: 2
(boarded p4 slow0-0), layer: 2
(boarded p8 slow0-0), layer: 2
(boarded p9 slow0-0), layer: 2
(boarded p6 slow0-0), layer: 2
(boarded p7 slow0-0), layer: 2
(boarded p10 slow0-0), layer: 2
(boarded p3 slow1-0), layer: 2
(boarded p5 slow1-0), layer: 2
(boarded p12 slow1-0), layer: 2
(boarded p0 fast0), layer: 2
(passengers fast0 n1), layer: 2
(boarded p1 fast0), layer: 2
(boarded p4 fast0), layer: 2
(boarded p8 fast0), layer: 2
(boarded p0 fast1), layer: 2
(passengers fast1 n1), layer: 2
(boarded p1 fast1), layer: 2
(boarded p4 fast1), layer: 2
(boarded p8 fast1), layer: 2
(passenger-at p2 n8), layer: 2
(passenger-at p11 n8), layer: 2
(passenger-at p2 n4), layer: 2
(passenger-at p11 n4), layer: 2
(passenger-at p2 n5), layer: 2
(passenger-at p11 n5), layer: 2
(passenger-at p2 n6), layer: 2
(passenger-at p11 n6), layer: 2
(next n0 n1), layer: 0
(next n1 n2), layer: 0
(next n2 n3), layer: 0
(next n3 n4), layer: 0
(next n4 n5), layer: 0
(next n5 n6), layer: 0
(next n6 n7), layer: 0
(next n7 n8), layer: 0
(above n0 n1), layer: 0
(above n0 n2), layer: 0
(above n0 n3), layer: 0
(above n0 n4), layer: 0
(above n0 n5), layer: 0
(above n0 n6), layer: 0
(above n0 n7), layer: 0
(above n0 n8), layer: 0
(above n1 n2), layer: 0
(above n1 n3), layer: 0
(above n1 n4), layer: 0
(above n1 n5), layer: 0
(above n1 n6), layer: 0
(above n1 n7), layer: 0
(above n1 n8), layer: 0
(above n2 n3), layer: 0
(above n2 n4), layer: 0
(above n2 n5), layer: 0
(above n2 n6), layer: 0
(above n2 n7), layer: 0
(above n2 n8), layer: 0
(above n3 n4), layer: 0
(above n3 n5), layer: 0
(above n3 n6), layer: 0
(above n3 n7), layer: 0
(above n3 n8), layer: 0
(above n4 n5), layer: 0
(above n4 n6), layer: 0
(above n4 n7), layer: 0
(above n4 n8), layer: 0
(above n5 n6), layer: 0
(above n5 n7), layer: 0
(above n5 n8), layer: 0
(above n6 n7), layer: 0
(above n6 n8), layer: 0
(above n7 n8), layer: 0
(can-hold fast0 n1), layer: 0
(can-hold fast0 n2), layer: 0
(can-hold fast0 n3), layer: 0
(reachable-floor fast0 n0), layer: 0
(reachable-floor fast0 n2), layer: 0
(reachable-floor fast0 n4), layer: 0
(reachable-floor fast0 n6), layer: 0
(reachable-floor fast0 n8), layer: 0
(can-hold fast1 n1), layer: 0
(can-hold fast1 n2), layer: 0
(can-hold fast1 n3), layer: 0
(reachable-floor fast1 n0), layer: 0
(reachable-floor fast1 n2), layer: 0
(reachable-floor fast1 n4), layer: 0
(reachable-floor fast1 n6), layer: 0
(reachable-floor fast1 n8), layer: 0
(can-hold slow0-0 n1), layer: 0
(can-hold slow0-0 n2), layer: 0
(reachable-floor slow0-0 n0), layer: 0
(reachable-floor slow0-0 n1), layer: 0
(reachable-floor slow0-0 n2), layer: 0
(reachable-floor slow0-0 n3), layer: 0
(reachable-floor slow0-0 n4), layer: 0
(can-hold slow1-0 n1), layer: 0
(can-hold slow1-0 n2), layer: 0
(reachable-floor slow1-0 n4), layer: 0
(reachable-floor slow1-0 n5), layer: 0
(reachable-floor slow1-0 n6), layer: 0
(reachable-floor slow1-0 n7), layer: 0
(reachable-floor slow1-0 n8), layer: 0
