(lift-at fast0 n6), layer: 0
(passengers fast0 n0), layer: 0
(lift-at slow0-0 n6), layer: 0
(passengers slow0-0 n0), layer: 0
(lift-at slow1-0 n8), layer: 0
(passengers slow1-0 n0), layer: 0
(passenger-at p0 n0), layer: 0
(passenger-at p1 n0), layer: 0
(passenger-at p2 n2), layer: 0
(lift-at slow1-0 n9), layer: 1
(lift-at slow1-0 n10), layer: 1
(lift-at slow1-0 n11), layer: 1
(lift-at slow1-0 n12), layer: 1
(lift-at slow0-0 n0), layer: 1
(lift-at slow0-0 n1), layer: 1
(lift-at slow0-0 n2), layer: 1
(lift-at slow0-0 n3), layer: 1
(lift-at slow0-0 n4), layer: 1
(lift-at slow0-0 n5), layer: 1
(lift-at slow1-0 n6), layer: 1
(lift-at slow1-0 n7), layer: 1
(lift-at fast0 n9), layer: 1
(lift-at fast0 n12), layer: 1
(lift-at fast0 n0), layer: 1
(lift-at fast0 n3), layer: 1
(boarded p0 slow0-0), layer: 2
(passengers slow0-0 n1), layer: 2
(boarded p1 slow0-0), layer: 2
(boarded p2 slow0-0), layer: 2
(boarded p0 fast0), layer: 2
(passengers fast0 n1), layer: 2
(boarded p1 fast0), layer: 2
(next n0 n1), layer: 0
(next n1 n2), layer: 0
(next n2 n3), layer: 0
(next n3 n4), layer: 0
(next n4 n5), layer: 0
(next n5 n6), layer: 0
(next n6 n7), layer: 0
(next n7 n8), layer: 0
(next n8 n9), layer: 0
(next n9 n10), layer: 0
(next n10 n11), layer: 0
(next n11 n12), layer: 0
(above n0 n1), layer: 0
(above n0 n2), layer: 0
(above n0 n3), layer: 0
(above n0 n4), layer: 0
(above n0 n5), layer: 0
(above n0 n6), layer: 0
(above n0 n7), layer: 0
(above n0 n8), layer: 0
(above n0 n9), layer: 0
(above n0 n10), layer: 0
(above n0 n11), layer: 0
(above n0 n12), layer: 0
(above n1 n2), layer: 0
(above n1 n3), layer: 0
(above n1 n4), layer: 0
(above n1 n5), layer: 0
(above n1 n6), layer: 0
(above n1 n7), layer: 0
(above n1 n8), layer: 0
(above n1 n9), layer: 0
(above n1 n10), layer: 0
(above n1 n11), layer: 0
(above n1 n12), layer: 0
(above n2 n3), layer: 0
(above n2 n4), layer: 0
(above n2 n5), layer: 0
(above n2 n6), layer: 0
(above n2 n7), layer: 0
(above n2 n8), layer: 0
(above n2 n9), layer: 0
(above n2 n10), layer: 0
(above n2 n11), layer: 0
(above n2 n12), layer: 0
(above n3 n4), layer: 0
(above n3 n5), layer: 0
(above n3 n6), layer: 0
(above n3 n7), layer: 0
(above n3 n8), layer: 0
(above n3 n9), layer: 0
(above n3 n10), layer: 0
(above n3 n11), layer: 0
(above n3 n12), layer: 0
(above n4 n5), layer: 0
(above n4 n6), layer: 0
(above n4 n7), layer: 0
(above n4 n8), layer: 0
(above n4 n9), layer: 0
(above n4 n10), layer: 0
(above n4 n11), layer: 0
(above n4 n12), layer: 0
(above n5 n6), layer: 0
(above n5 n7), layer: 0
(above n5 n8), layer: 0
(above n5 n9), layer: 0
(above n5 n10), layer: 0
(above n5 n11), layer: 0
(above n5 n12), layer: 0
(above n6 n7), layer: 0
(above n6 n8), layer: 0
(above n6 n9), layer: 0
(above n6 n10), layer: 0
(above n6 n11), layer: 0
(above n6 n12), layer: 0
(above n7 n8), layer: 0
(above n7 n9), layer: 0
(above n7 n10), layer: 0
(above n7 n11), layer: 0
(above n7 n12), layer: 0
(above n8 n9), layer: 0
(above n8 n10), layer: 0
(above n8 n11), layer: 0
(above n8 n12), layer: 0
(above n9 n10), layer: 0
(above n9 n11), layer: 0
(above n9 n12), layer: 0
(above n10 n11), layer: 0
(above n10 n12), layer: 0
(above n11 n12), layer: 0
(can-hold fast0 n1), layer: 0
(can-hold fast0 n2), layer: 0
(can-hold fast0 n3), layer: 0
(reachable-floor fast0 n0), layer: 0
(reachable-floor fast0 n3), layer: 0
(reachable-floor fast0 n6), layer: 0
(reachable-floor fast0 n9), layer: 0
(reachable-floor fast0 n12), layer: 0
(can-hold slow0-0 n1), layer: 0
(can-hold slow0-0 n2), layer: 0
(reachable-floor slow0-0 n0), layer: 0
(reachable-floor slow0-0 n1), layer: 0
(reachable-floor slow0-0 n2), layer: 0
(reachable-floor slow0-0 n3), layer: 0
(reachable-floor slow0-0 n4), layer: 0
(reachable-floor slow0-0 n5), layer: 0
(reachable-floor slow0-0 n6), layer: 0
(can-hold slow1-0 n1), layer: 0
(can-hold slow1-0 n2), layer: 0
(reachable-floor slow1-0 n6), layer: 0
(reachable-floor slow1-0 n7), layer: 0
(reachable-floor slow1-0 n8), layer: 0
(reachable-floor slow1-0 n9), layer: 0
(reachable-floor slow1-0 n10), layer: 0
(reachable-floor slow1-0 n11), layer: 0
(reachable-floor slow1-0 n12), layer: 0
