(at t0 l2), layer: 0
(fuel t0 level36), layer: 0
(at p0 l0), layer: 0
(at p1 l1), layer: 0
(at p2 l3), layer: 0
(at t0 l3), layer: 1
(fuel t0 level30), layer: 1
(at t0 l1), layer: 1
(fuel t0 level33), layer: 1
(at t0 l0), layer: 1
(fuel t0 level34), layer: 1
(in p2 t0), layer: 2
(in p1 t0), layer: 2
(in p0 t0), layer: 2
(fuel t0 level18), layer: 2
(fuel t0 level23), layer: 2
(fuel t0 level25), layer: 2
(fuel t0 level12), layer: 2
(fuel t0 level17), layer: 2
(fuel t0 level19), layer: 2
(fuel t0 level24), layer: 2
(fuel t0 level27), layer: 2
(fuel t0 level28), layer: 2
(fuel t0 level15), layer: 2
(fuel t0 level20), layer: 2
(fuel t0 level22), layer: 2
(fuel t0 level31), layer: 2
(fuel t0 level16), layer: 2
(fuel t0 level21), layer: 2
(fuel t0 level32), layer: 2
(sum level0 level0 level0), layer: 0
(sum level0 level1 level1), layer: 0
(sum level0 level2 level2), layer: 0
(sum level0 level3 level3), layer: 0
(sum level0 level4 level4), layer: 0
(sum level0 level5 level5), layer: 0
(sum level0 level6 level6), layer: 0
(sum level0 level7 level7), layer: 0
(sum level0 level8 level8), layer: 0
(sum level0 level9 level9), layer: 0
(sum level0 level10 level10), layer: 0
(sum level0 level11 level11), layer: 0
(sum level0 level12 level12), layer: 0
(sum level0 level13 level13), layer: 0
(sum level0 level14 level14), layer: 0
(sum level0 level15 level15), layer: 0
(sum level0 level16 level16), layer: 0
(sum level0 level17 level17), layer: 0
(sum level0 level18 level18), layer: 0
(sum level0 level19 level19), layer: 0
(sum level0 level20 level20), layer: 0
(sum level0 level21 level21), layer: 0
(sum level0 level22 level22), layer: 0
(sum level0 level23 level23), layer: 0
(sum level0 level24 level24), layer: 0
(sum level0 level25 level25), layer: 0
(sum level0 level26 level26), layer: 0
(sum level0 level27 level27), layer: 0
(sum level0 level28 level28), layer: 0
(sum level0 level29 level29), layer: 0
(sum level0 level30 level30), layer: 0
(sum level0 level31 level31), layer: 0
(sum level0 level32 level32), layer: 0
(sum level0 level33 level33), layer: 0
(sum level0 level34 level34), layer: 0
(sum level0 level35 level35), layer: 0
(sum level0 level36 level36), layer: 0
(sum level1 level0 level1), layer: 0
(sum level1 level1 level2), layer: 0
(sum level1 level2 level3), layer: 0
(sum level1 level3 level4), layer: 0
(sum level1 level4 level5), layer: 0
(sum level1 level5 level6), layer: 0
(sum level1 level6 level7), layer: 0
(sum level1 level7 level8), layer: 0
(sum level1 level8 level9), layer: 0
(sum level1 level9 level10), layer: 0
(sum level1 level10 level11), layer: 0
(sum level1 level11 level12), layer: 0
(sum level1 level12 level13), layer: 0
(sum level1 level13 level14), layer: 0
(sum level1 level14 level15), layer: 0
(sum level1 level15 level16), layer: 0
(sum level1 level16 level17), layer: 0
(sum level1 level17 level18), layer: 0
(sum level1 level18 level19), layer: 0
(sum level1 level19 level20), layer: 0
(sum level1 level20 level21), layer: 0
(sum level1 level21 level22), layer: 0
(sum level1 level22 level23), layer: 0
(sum level1 level23 level24), layer: 0
(sum level1 level24 level25), layer: 0
(sum level1 level25 level26), layer: 0
(sum level1 level26 level27), layer: 0
(sum level1 level27 level28), layer: 0
(sum level1 level28 level29), layer: 0
(sum level1 level29 level30), layer: 0
(sum level1 level30 level31), layer: 0
(sum level1 level31 level32), layer: 0
(sum level1 level32 level33), layer: 0
(sum level1 level33 level34), layer: 0
(sum level1 level34 level35), layer: 0
(sum level1 level35 level36), layer: 0
(sum level2 level0 level2), layer: 0
(sum level2 level1 level3), layer: 0
(sum level2 level2 level4), layer: 0
(sum level2 level3 level5), layer: 0
(sum level2 level4 level6), layer: 0
(sum level2 level5 level7), layer: 0
(sum level2 level6 level8), layer: 0
(sum level2 level7 level9), layer: 0
(sum level2 level8 level10), layer: 0
(sum level2 level9 level11), layer: 0
(sum level2 level10 level12), layer: 0
(sum level2 level11 level13), layer: 0
(sum level2 level12 level14), layer: 0
(sum level2 level13 level15), layer: 0
(sum level2 level14 level16), layer: 0
(sum level2 level15 level17), layer: 0
(sum level2 level16 level18), layer: 0
(sum level2 level17 level19), layer: 0
(sum level2 level18 level20), layer: 0
(sum level2 level19 level21), layer: 0
(sum level2 level20 level22), layer: 0
(sum level2 level21 level23), layer: 0
(sum level2 level22 level24), layer: 0
(sum level2 level23 level25), layer: 0
(sum level2 level24 level26), layer: 0
(sum level2 level25 level27), layer: 0
(sum level2 level26 level28), layer: 0
(sum level2 level27 level29), layer: 0
(sum level2 level28 level30), layer: 0
(sum level2 level29 level31), layer: 0
(sum level2 level30 level32), layer: 0
(sum level2 level31 level33), layer: 0
(sum level2 level32 level34), layer: 0
(sum level2 level33 level35), layer: 0
(sum level2 level34 level36), layer: 0
(sum level3 level0 level3), layer: 0
(sum level3 level1 level4), layer: 0
(sum level3 level2 level5), layer: 0
(sum level3 level3 level6), layer: 0
(sum level3 level4 level7), layer: 0
(sum level3 level5 level8), layer: 0
(sum level3 level6 level9), layer: 0
(sum level3 level7 level10), layer: 0
(sum level3 level8 level11), layer: 0
(sum level3 level9 level12), layer: 0
(sum level3 level10 level13), layer: 0
(sum level3 level11 level14), layer: 0
(sum level3 level12 level15), layer: 0
(sum level3 level13 level16), layer: 0
(sum level3 level14 level17), layer: 0
(sum level3 level15 level18), layer: 0
(sum level3 level16 level19), layer: 0
(sum level3 level17 level20), layer: 0
(sum level3 level18 level21), layer: 0
(sum level3 level19 level22), layer: 0
(sum level3 level20 level23), layer: 0
(sum level3 level21 level24), layer: 0
(sum level3 level22 level25), layer: 0
(sum level3 level23 level26), layer: 0
(sum level3 level24 level27), layer: 0
(sum level3 level25 level28), layer: 0
(sum level3 level26 level29), layer: 0
(sum level3 level27 level30), layer: 0
(sum level3 level28 level31), layer: 0
(sum level3 level29 level32), layer: 0
(sum level3 level30 level33), layer: 0
(sum level3 level31 level34), layer: 0
(sum level3 level32 level35), layer: 0
(sum level3 level33 level36), layer: 0
(sum level4 level0 level4), layer: 0
(sum level4 level1 level5), layer: 0
(sum level4 level2 level6), layer: 0
(sum level4 level3 level7), layer: 0
(sum level4 level4 level8), layer: 0
(sum level4 level5 level9), layer: 0
(sum level4 level6 level10), layer: 0
(sum level4 level7 level11), layer: 0
(sum level4 level8 level12), layer: 0
(sum level4 level9 level13), layer: 0
(sum level4 level10 level14), layer: 0
(sum level4 level11 level15), layer: 0
(sum level4 level12 level16), layer: 0
(sum level4 level13 level17), layer: 0
(sum level4 level14 level18), layer: 0
