(uninitialized), layer: 0
(location dummy-sheet some_finisher_tray), layer: 0
(location sheet1 some_feeder_tray), layer: 0
(location sheet2 some_feeder_tray), layer: 0
(notprintedwith sheet1 front black), layer: 0
(notprintedwith sheet1 back black), layer: 0
(notprintedwith sheet1 front color), layer: 0
(notprintedwith sheet1 back color), layer: 0
(notprintedwith sheet2 front black), layer: 0
(notprintedwith sheet2 back black), layer: 0
(notprintedwith sheet2 front color), layer: 0
(notprintedwith sheet2 back color), layer: 0
(available fe1-rsrc), layer: 1
(available hw1-rsrc), layer: 1
(available uc1-rsrc), layer: 1
(available uime-rsrc), layer: 1
(available lc1-rsrc), layer: 1
(available lime-rsrc), layer: 1
(available sys-rsrc), layer: 1
(location sheet1 fe1_exit-hw1_leftentry), layer: 2
(sideup sheet1 back), layer: 2
(location sheet2 fe1_exit-hw1_leftentry), layer: 2
(sideup sheet2 back), layer: 2
(oppositeside front back), layer: 0
(oppositeside back front), layer: 0
(prevsheet sheet1 dummy-sheet), layer: 0
(prevsheet sheet2 sheet1), layer: 0
(sheetsize sheet1 letter), layer: 0
(sheetsize sheet2 letter), layer: 0
(imagecolor image-1 color), layer: 0
(imagecolor image-2 black), layer: 0
