(at-curb car_07), layer: 0
(at-curb-num car_07 curb_00), layer: 0
(behind-car car_16 car_07), layer: 0
(car-clear car_16), layer: 0
(at-curb car_12), layer: 0
(at-curb-num car_12 curb_01), layer: 0
(behind-car car_19 car_12), layer: 0
(car-clear car_19), layer: 0
(at-curb car_09), layer: 0
(at-curb-num car_09 curb_02), layer: 0
(behind-car car_18 car_09), layer: 0
(car-clear car_18), layer: 0
(at-curb car_14), layer: 0
(at-curb-num car_14 curb_03), layer: 0
(behind-car car_01 car_14), layer: 0
(car-clear car_01), layer: 0
(at-curb car_05), layer: 0
(at-curb-num car_05 curb_04), layer: 0
(behind-car car_11 car_05), layer: 0
(car-clear car_11), layer: 0
(at-curb car_00), layer: 0
(at-curb-num car_00 curb_05), layer: 0
(behind-car car_03 car_00), layer: 0
(car-clear car_03), layer: 0
(at-curb car_17), layer: 0
(at-curb-num car_17 curb_06), layer: 0
(behind-car car_04 car_17), layer: 0
(car-clear car_04), layer: 0
(at-curb car_15), layer: 0
(at-curb-num car_15 curb_07), layer: 0
(behind-car car_10 car_15), layer: 0
(car-clear car_10), layer: 0
(at-curb car_06), layer: 0
(at-curb-num car_06 curb_08), layer: 0
(behind-car car_20 car_06), layer: 0
(car-clear car_20), layer: 0
(at-curb car_21), layer: 0
(at-curb-num car_21 curb_09), layer: 0
(behind-car car_02 car_21), layer: 0
(car-clear car_02), layer: 0
(at-curb car_08), layer: 0
(at-curb-num car_08 curb_10), layer: 0
(car-clear car_08), layer: 0
(at-curb car_13), layer: 0
(at-curb-num car_13 curb_11), layer: 0
(car-clear car_13), layer: 0
(curb-clear curb_10), layer: 1
(behind-car car_08 car_08), layer: 1
(behind-car car_08 car_13), layer: 1
(curb-clear curb_11), layer: 1
(behind-car car_13 car_08), layer: 1
(behind-car car_13 car_13), layer: 1
(car-clear car_07), layer: 1
(behind-car car_16 car_08), layer: 1
(behind-car car_16 car_13), layer: 1
(car-clear car_12), layer: 1
(behind-car car_19 car_08), layer: 1
(behind-car car_19 car_13), layer: 1
(car-clear car_09), layer: 1
(behind-car car_18 car_08), layer: 1
(behind-car car_18 car_13), layer: 1
(car-clear car_14), layer: 1
(behind-car car_01 car_08), layer: 1
(behind-car car_01 car_13), layer: 1
(car-clear car_05), layer: 1
(behind-car car_11 car_08), layer: 1
(behind-car car_11 car_13), layer: 1
(car-clear car_00), layer: 1
(behind-car car_03 car_08), layer: 1
(behind-car car_03 car_13), layer: 1
(car-clear car_17), layer: 1
(behind-car car_04 car_08), layer: 1
