(on car-in-1a seg-in-1a), layer: 0
(on car-in-1b seg-in-1b), layer: 0
(on car-out-1a seg-out-1a), layer: 0
(on car-out-1b seg-out-1b), layer: 0
(on car-in-1a seg-out-1b), layer: 1
(on car-in-1b seg-in-1a), layer: 1
(on car-out-1a seg-in-1b), layer: 1
(on car-out-1b seg-out-1a), layer: 1
(analyzed car-in-1a), layer: 1
(on car-in-1a seg-out-1a), layer: 2
(on car-out-1b seg-in-1b), layer: 2
(on car-out-1a seg-in-1a), layer: 2
(on car-in-1b seg-out-1b), layer: 2
(analyzed car-in-1b), layer: 2
(cycle-4 seg-in-1a seg-in-1b seg-out-1a seg-out-1b), layer: 0
(cycle-4-with-analysis seg-in-1a seg-in-1b seg-out-1a seg-out-1b), layer: 0
