(at package-1 city-loc-15), layer: 0
(at package-2 city-loc-1), layer: 0
(at package-3 city-loc-3), layer: 0
(at package-4 city-loc-2), layer: 0
(at package-5 city-loc-8), layer: 0
(at package-6 city-loc-8), layer: 0
(at package-7 city-loc-16), layer: 0
(at truck-1 city-loc-5), layer: 0
(capacity truck-1 capacity-4), layer: 0
(at truck-2 city-loc-6), layer: 0
(capacity truck-2 capacity-4), layer: 0
(at truck-3 city-loc-1), layer: 0
(capacity truck-3 capacity-4), layer: 0
(at truck-1 city-loc-4), layer: 1
(at truck-1 city-loc-14), layer: 1
(at truck-2 city-loc-2), layer: 1
(at truck-2 city-loc-9), layer: 1
(at truck-3 city-loc-3), layer: 1
(at truck-3 city-loc-4), layer: 1
(at truck-3 city-loc-7), layer: 1
(at truck-3 city-loc-12), layer: 1
(in package-2 truck-3), layer: 1
(capacity truck-3 capacity-3), layer: 1
(at truck-1 city-loc-1), layer: 2
(at truck-1 city-loc-7), layer: 2
(at truck-1 city-loc-8), layer: 2
(at truck-2 city-loc-10), layer: 2
(at truck-2 city-loc-11), layer: 2
(at truck-2 city-loc-13), layer: 2
(at truck-2 city-loc-15), layer: 2
(at truck-2 city-loc-18), layer: 2
(at truck-3 city-loc-10), layer: 2
(at truck-3 city-loc-5), layer: 2
(at truck-3 city-loc-14), layer: 2
(at truck-3 city-loc-8), layer: 2
(capacity truck-3 capacity-2), layer: 2
(in package-4 truck-2), layer: 2
(capacity truck-2 capacity-3), layer: 2
(in package-3 truck-3), layer: 2
(at package-2 city-loc-3), layer: 2
(at package-2 city-loc-4), layer: 2
(at package-2 city-loc-7), layer: 2
(at package-2 city-loc-12), layer: 2
(capacity-predecessor capacity-0 capacity-1), layer: 0
(capacity-predecessor capacity-1 capacity-2), layer: 0
(capacity-predecessor capacity-2 capacity-3), layer: 0
(capacity-predecessor capacity-3 capacity-4), layer: 0
(road city-loc-3 city-loc-1), layer: 0
(road city-loc-1 city-loc-3), layer: 0
(road city-loc-4 city-loc-1), layer: 0
(road city-loc-1 city-loc-4), layer: 0
(road city-loc-5 city-loc-4), layer: 0
(road city-loc-4 city-loc-5), layer: 0
(road city-loc-6 city-loc-2), layer: 0
(road city-loc-2 city-loc-6), layer: 0
(road city-loc-7 city-loc-1), layer: 0
(road city-loc-1 city-loc-7), layer: 0
(road city-loc-7 city-loc-3), layer: 0
(road city-loc-3 city-loc-7), layer: 0
(road city-loc-7 city-loc-4), layer: 0
(road city-loc-4 city-loc-7), layer: 0
(road city-loc-8 city-loc-7), layer: 0
(road city-loc-7 city-loc-8), layer: 0
(road city-loc-9 city-loc-6), layer: 0
(road city-loc-6 city-loc-9), layer: 0
(road city-loc-10 city-loc-3), layer: 0
(road city-loc-3 city-loc-10), layer: 0
(road city-loc-10 city-loc-7), layer: 0
(road city-loc-7 city-loc-10), layer: 0
(road city-loc-10 city-loc-8), layer: 0
(road city-loc-8 city-loc-10), layer: 0
(road city-loc-10 city-loc-9), layer: 0
(road city-loc-9 city-loc-10), layer: 0
(road city-loc-11 city-loc-9), layer: 0
(road city-loc-9 city-loc-11), layer: 0
(road city-loc-12 city-loc-1), layer: 0
(road city-loc-1 city-loc-12), layer: 0
(road city-loc-12 city-loc-3), layer: 0
(road city-loc-3 city-loc-12), layer: 0
(road city-loc-13 city-loc-9), layer: 0
(road city-loc-9 city-loc-13), layer: 0
(road city-loc-13 city-loc-11), layer: 0
(road city-loc-11 city-loc-13), layer: 0
(road city-loc-14 city-loc-4), layer: 0
(road city-loc-4 city-loc-14), layer: 0
(road city-loc-14 city-loc-5), layer: 0
(road city-loc-5 city-loc-14), layer: 0
(road city-loc-14 city-loc-8), layer: 0
(road city-loc-8 city-loc-14), layer: 0
(road city-loc-15 city-loc-9), layer: 0
(road city-loc-9 city-loc-15), layer: 0
(road city-loc-15 city-loc-10), layer: 0
(road city-loc-10 city-loc-15), layer: 0
(road city-loc-15 city-loc-11), layer: 0
(road city-loc-11 city-loc-15), layer: 0
(road city-loc-15 city-loc-13), layer: 0
(road city-loc-13 city-loc-15), layer: 0
(road city-loc-16 city-loc-11), layer: 0
(road city-loc-11 city-loc-16), layer: 0
(road city-loc-16 city-loc-13), layer: 0
(road city-loc-13 city-loc-16), layer: 0
(road city-loc-16 city-loc-15), layer: 0
(road city-loc-15 city-loc-16), layer: 0
(road city-loc-17 city-loc-8), layer: 0
(road city-loc-8 city-loc-17), layer: 0
(road city-loc-17 city-loc-10), layer: 0
(road city-loc-10 city-loc-17), layer: 0
(road city-loc-17 city-loc-11), layer: 0
(road city-loc-11 city-loc-17), layer: 0
(road city-loc-17 city-loc-15), layer: 0
(road city-loc-15 city-loc-17), layer: 0
(road city-loc-17 city-loc-16), layer: 0
(road city-loc-16 city-loc-17), layer: 0
(road city-loc-18 city-loc-9), layer: 0
(road city-loc-9 city-loc-18), layer: 0
(road city-loc-18 city-loc-11), layer: 0
(road city-loc-11 city-loc-18), layer: 0
(road city-loc-18 city-loc-13), layer: 0
(road city-loc-13 city-loc-18), layer: 0
(road city-loc-18 city-loc-15), layer: 0
(road city-loc-15 city-loc-18), layer: 0
