(empty highspeed-saw0), layer: 0
(unused p0), layer: 0
(unused p1), layer: 0
(available p2), layer: 0
(colour p2 black), layer: 0
(wood p2 mahogany), layer: 0
(surface-condition p2 rough), layer: 0
(treatment p2 colourfragments), layer: 0
(unused p3), layer: 0
(unused p4), layer: 0
(boardsize b0 s3), layer: 0
(wood b0 teak), layer: 0
(surface-condition b0 rough), layer: 0
(available b0), layer: 0
(boardsize b1 s5), layer: 0
(wood b1 mahogany), layer: 0
(surface-condition b1 rough), layer: 0
(available b1), layer: 0
(surface-condition p2 smooth), layer: 1
(treatment p2 untreated), layer: 1
(colour p2 natural), layer: 1
(in-highspeed-saw b0 highspeed-saw0), layer: 1
(in-highspeed-saw b1 highspeed-saw0), layer: 1
(available p1), layer: 1
(wood p1 teak), layer: 1
(surface-condition p1 rough), layer: 1
(colour p1 natural), layer: 1
(treatment p1 untreated), layer: 1
(boardsize b0 s2), layer: 1
(wood p1 mahogany), layer: 1
(boardsize b1 s4), layer: 1
(available p0), layer: 1
(wood p0 teak), layer: 1
(surface-condition p0 rough), layer: 1
(colour p0 natural), layer: 1
(treatment p0 untreated), layer: 1
(boardsize b0 s1), layer: 1
(available p4), layer: 1
(wood p4 teak), layer: 1
(surface-condition p4 rough), layer: 1
(colour p4 natural), layer: 1
(treatment p4 untreated), layer: 1
(wood p0 mahogany), layer: 1
(boardsize b1 s3), layer: 1
(wood p4 mahogany), layer: 1
(available p3), layer: 1
(wood p3 teak), layer: 1
(surface-condition p3 rough), layer: 1
(colour p3 natural), layer: 1
(treatment p3 untreated), layer: 1
(boardsize b0 s0), layer: 1
(wood p3 mahogany), layer: 1
(boardsize b1 s2), layer: 1
(treatment p2 varnished), layer: 2
(colour p2 green), layer: 2
(treatment p2 glazed), layer: 2
(treatment p1 glazed), layer: 2
(colour p1 green), layer: 2
(treatment p0 glazed), layer: 2
(colour p0 green), layer: 2
(treatment p4 glazed), layer: 2
(colour p4 green), layer: 2
(treatment p3 glazed), layer: 2
(colour p3 green), layer: 2
(surface-condition p2 verysmooth), layer: 2
(surface-condition p1 smooth), layer: 2
(surface-condition p0 smooth), layer: 2
(surface-condition p4 smooth), layer: 2
(surface-condition p3 smooth), layer: 2
(boardsize b1 s1), layer: 2
(boardsize b1 s0), layer: 2
(grind-treatment-change varnished colourfragments), layer: 0
(grind-treatment-change glazed untreated), layer: 0
(grind-treatment-change untreated untreated), layer: 0
(grind-treatment-change colourfragments untreated), layer: 0
(is-smooth smooth), layer: 0
(is-smooth verysmooth), layer: 0
(boardsize-successor s0 s1), layer: 0
(boardsize-successor s1 s2), layer: 0
(boardsize-successor s2 s3), layer: 0
(boardsize-successor s3 s4), layer: 0
(boardsize-successor s4 s5), layer: 0
(has-colour glazer0 green), layer: 0
(has-colour immersion-varnisher0 green), layer: 0
(has-colour spray-varnisher0 green), layer: 0
(goalsize p0 medium), layer: 0
(goalsize p1 small), layer: 0
(goalsize p2 small), layer: 0
(goalsize p3 large), layer: 0
(goalsize p4 medium), layer: 0
