(uninitialized), layer: 0
(location dummy-sheet some_finisher_tray), layer: 0
(location sheet1 some_feeder_tray), layer: 0
(location sheet2 some_feeder_tray), layer: 0
(location sheet3 some_feeder_tray), layer: 0
(location sheet4 some_feeder_tray), layer: 0
(location sheet5 some_feeder_tray), layer: 0
(location sheet6 some_feeder_tray), layer: 0
(location sheet7 some_feeder_tray), layer: 0
(location sheet8 some_feeder_tray), layer: 0
(location sheet9 some_feeder_tray), layer: 0
(location sheet10 some_feeder_tray), layer: 0
(notprintedwith sheet1 front black), layer: 0
(notprintedwith sheet1 back black), layer: 0
(notprintedwith sheet1 front color), layer: 0
(notprintedwith sheet1 back color), layer: 0
(notprintedwith sheet2 front black), layer: 0
(notprintedwith sheet2 back black), layer: 0
(notprintedwith sheet2 front color), layer: 0
(notprintedwith sheet2 back color), layer: 0
(notprintedwith sheet3 front black), layer: 0
(notprintedwith sheet3 back black), layer: 0
(notprintedwith sheet3 front color), layer: 0
(notprintedwith sheet3 back color), layer: 0
(notprintedwith sheet4 front black), layer: 0
(notprintedwith sheet4 back black), layer: 0
(notprintedwith sheet4 front color), layer: 0
(notprintedwith sheet4 back color), layer: 0
(notprintedwith sheet5 front black), layer: 0
(notprintedwith sheet5 back black), layer: 0
(notprintedwith sheet5 front color), layer: 0
(notprintedwith sheet5 back color), layer: 0
(notprintedwith sheet6 front black), layer: 0
(notprintedwith sheet6 back black), layer: 0
(notprintedwith sheet6 front color), layer: 0
(notprintedwith sheet6 back color), layer: 0
(notprintedwith sheet7 front black), layer: 0
(notprintedwith sheet7 back black), layer: 0
(notprintedwith sheet7 front color), layer: 0
(notprintedwith sheet7 back color), layer: 0
(notprintedwith sheet8 front black), layer: 0
(notprintedwith sheet8 back black), layer: 0
(notprintedwith sheet8 front color), layer: 0
(notprintedwith sheet8 back color), layer: 0
(notprintedwith sheet9 front black), layer: 0
(notprintedwith sheet9 back black), layer: 0
(notprintedwith sheet9 front color), layer: 0
(notprintedwith sheet9 back color), layer: 0
(notprintedwith sheet10 front black), layer: 0
(notprintedwith sheet10 back black), layer: 0
(notprintedwith sheet10 front color), layer: 0
(notprintedwith sheet10 back color), layer: 0
(available fe1-rsrc), layer: 1
(available hw1-rsrc), layer: 1
(available uc1-rsrc), layer: 1
(available uime-rsrc), layer: 1
(available lc1-rsrc), layer: 1
(available lime-rsrc), layer: 1
(available sys-rsrc), layer: 1
(location sheet1 fe1_exit-hw1_leftentry), layer: 2
(sideup sheet1 back), layer: 2
(location sheet2 fe1_exit-hw1_leftentry), layer: 2
(sideup sheet2 back), layer: 2
(location sheet3 fe1_exit-hw1_leftentry), layer: 2
(sideup sheet3 back), layer: 2
(location sheet4 fe1_exit-hw1_leftentry), layer: 2
(sideup sheet4 back), layer: 2
(location sheet5 fe1_exit-hw1_leftentry), layer: 2
(sideup sheet5 back), layer: 2
(location sheet6 fe1_exit-hw1_leftentry), layer: 2
(sideup sheet6 back), layer: 2
(location sheet7 fe1_exit-hw1_leftentry), layer: 2
(sideup sheet7 back), layer: 2
(location sheet8 fe1_exit-hw1_leftentry), layer: 2
(sideup sheet8 back), layer: 2
(location sheet9 fe1_exit-hw1_leftentry), layer: 2
(sideup sheet9 back), layer: 2
(location sheet10 fe1_exit-hw1_leftentry), layer: 2
(sideup sheet10 back), layer: 2
(oppositeside front back), layer: 0
(oppositeside back front), layer: 0
(prevsheet sheet1 dummy-sheet), layer: 0
(prevsheet sheet2 sheet1), layer: 0
(prevsheet sheet3 sheet2), layer: 0
(prevsheet sheet4 sheet3), layer: 0
(prevsheet sheet5 sheet4), layer: 0
(prevsheet sheet6 sheet5), layer: 0
(prevsheet sheet7 sheet6), layer: 0
(prevsheet sheet8 sheet7), layer: 0
(prevsheet sheet9 sheet8), layer: 0
(prevsheet sheet10 sheet9), layer: 0
(sheetsize sheet1 letter), layer: 0
(sheetsize sheet2 letter), layer: 0
(sheetsize sheet3 letter), layer: 0
(sheetsize sheet4 letter), layer: 0
(sheetsize sheet5 letter), layer: 0
(sheetsize sheet6 letter), layer: 0
(sheetsize sheet7 letter), layer: 0
(sheetsize sheet8 letter), layer: 0
(sheetsize sheet9 letter), layer: 0
(sheetsize sheet10 letter), layer: 0
(imagecolor image-1 color), layer: 0
(imagecolor image-2 color), layer: 0
(imagecolor image-3 black), layer: 0
(imagecolor image-4 black), layer: 0
(imagecolor image-5 black), layer: 0
(imagecolor image-6 color), layer: 0
(imagecolor image-7 black), layer: 0
(imagecolor image-8 color), layer: 0
(imagecolor image-8b color), layer: 0
(imagecolor image-9 black), layer: 0
(imagecolor image-10 black), layer: 0
