Diameter for change-color: inf
Diameter for paint-up: 3
Diameter for paint-down: 3
Diameter for up: 2
Diameter for down: 2
Diameter for right: 2
Diameter for left: 2
Init-to-goal-distance tile_1-1 - tile_1-3: 0
Init-to-goal-distance tile_1-1 - tile_2-2: 0
Init-to-goal-distance tile_1-1 - tile_2-4: 2
Init-to-goal-distance tile_1-1 - tile_3-1: 0
Init-to-goal-distance tile_1-1 - tile_3-3: 2
Init-to-goal-distance tile_1-1 - tile_4-2: 2
Init-to-goal-distance tile_1-1 - tile_4-4: 4
Init-to-goal-distance tile_1-1 - tile_5-1: 2
Init-to-goal-distance tile_1-1 - tile_5-3: 4
Init-to-goal-distance tile_1-1 - white: 4
Init-to-goal-distance tile_1-2 - tile_1-4: 0
Init-to-goal-distance tile_1-2 - tile_2-1: 0
Init-to-goal-distance tile_1-2 - tile_2-3: 0
Init-to-goal-distance tile_1-2 - tile_3-2: 0
Init-to-goal-distance tile_1-2 - tile_3-4: 2
Init-to-goal-distance tile_1-2 - tile_4-1: 2
Init-to-goal-distance tile_1-2 - tile_4-3: 2
Init-to-goal-distance tile_1-2 - tile_5-2: 2
Init-to-goal-distance tile_1-2 - tile_5-4: 4
Init-to-goal-distance tile_1-2 - black: 4
Init-to-goal-distance tile_1-3 - tile_2-2: 0
Init-to-goal-distance tile_1-3 - tile_2-4: 0
Init-to-goal-distance tile_1-3 - tile_3-1: 2
Init-to-goal-distance tile_1-3 - tile_3-3: 0
Init-to-goal-distance tile_1-3 - tile_4-2: 2
Init-to-goal-distance tile_1-3 - tile_4-4: 2
Init-to-goal-distance tile_1-3 - tile_5-1: 4
Init-to-goal-distance tile_1-3 - tile_5-3: 2
Init-to-goal-distance tile_1-3 - white: 6
Init-to-goal-distance tile_1-4 - tile_2-1: 2
Init-to-goal-distance tile_1-4 - tile_2-3: 0
Init-to-goal-distance tile_1-4 - tile_3-2: 2
Init-to-goal-distance tile_1-4 - tile_3-4: 0
Init-to-goal-distance tile_1-4 - tile_4-1: 4
Init-to-goal-distance tile_1-4 - tile_4-3: 2
Init-to-goal-distance tile_1-4 - tile_5-2: 4
Init-to-goal-distance tile_1-4 - tile_5-4: 2
Init-to-goal-distance tile_1-4 - black: 6
Init-to-goal-distance tile_2-1 - tile_2-3: 0
Init-to-goal-distance tile_2-1 - tile_3-2: 0
Init-to-goal-distance tile_2-1 - tile_3-4: 2
Init-to-goal-distance tile_2-1 - tile_4-1: 0
Init-to-goal-distance tile_2-1 - tile_4-3: 2
Init-to-goal-distance tile_2-1 - tile_5-2: 2
Init-to-goal-distance tile_2-1 - tile_5-4: 4
Init-to-goal-distance tile_2-1 - black: 4
Init-to-goal-distance tile_2-2 - tile_2-4: 0
Init-to-goal-distance tile_2-2 - tile_3-1: 0
Init-to-goal-distance tile_2-2 - tile_3-3: 0
Init-to-goal-distance tile_2-2 - tile_4-2: 0
Init-to-goal-distance tile_2-2 - tile_4-4: 2
Init-to-goal-distance tile_2-2 - tile_5-1: 2
Init-to-goal-distance tile_2-2 - tile_5-3: 2
Init-to-goal-distance tile_2-2 - white: 4
Init-to-goal-distance tile_2-3 - tile_3-2: 0
Init-to-goal-distance tile_2-3 - tile_3-4: 0
Init-to-goal-distance tile_2-3 - tile_4-1: 2
Init-to-goal-distance tile_2-3 - tile_4-3: 0
Init-to-goal-distance tile_2-3 - tile_5-2: 2
Init-to-goal-distance tile_2-3 - tile_5-4: 2
Init-to-goal-distance tile_2-3 - black: 4
Init-to-goal-distance tile_2-4 - tile_3-1: 2
Init-to-goal-distance tile_2-4 - tile_3-3: 0
Init-to-goal-distance tile_2-4 - tile_4-2: 2
Init-to-goal-distance tile_2-4 - tile_4-4: 0
Init-to-goal-distance tile_2-4 - tile_5-1: 4
Init-to-goal-distance tile_2-4 - tile_5-3: 2
Init-to-goal-distance tile_2-4 - white: 6
Init-to-goal-distance tile_3-1 - tile_3-3: 0
Init-to-goal-distance tile_3-1 - tile_4-2: 0
Init-to-goal-distance tile_3-1 - tile_4-4: 2
Init-to-goal-distance tile_3-1 - tile_5-1: 0
Init-to-goal-distance tile_3-1 - tile_5-3: 2
Init-to-goal-distance tile_3-1 - white: 2
Init-to-goal-distance tile_3-2 - tile_3-4: 0
Init-to-goal-distance tile_3-2 - tile_4-1: 0
Init-to-goal-distance tile_3-2 - tile_4-3: 0
Init-to-goal-distance tile_3-2 - tile_5-2: 0
Init-to-goal-distance tile_3-2 - tile_5-4: 2
Init-to-goal-distance tile_3-2 - black: 2
Init-to-goal-distance tile_3-3 - tile_4-2: 0
Init-to-goal-distance tile_3-3 - tile_4-4: 0
Init-to-goal-distance tile_3-3 - tile_5-1: 2
Init-to-goal-distance tile_3-3 - tile_5-3: 0
Init-to-goal-distance tile_3-3 - white: 4
Init-to-goal-distance tile_3-4 - tile_4-1: 2
Init-to-goal-distance tile_3-4 - tile_4-3: 0
Init-to-goal-distance tile_3-4 - tile_5-2: 2
Init-to-goal-distance tile_3-4 - tile_5-4: 0
Init-to-goal-distance tile_3-4 - black: 4
Init-to-goal-distance tile_4-1 - tile_4-3: 0
Init-to-goal-distance tile_4-1 - tile_5-2: 0
Init-to-goal-distance tile_4-1 - tile_5-4: 2
Init-to-goal-distance tile_4-1 - black: 2
Init-to-goal-distance tile_4-2 - tile_4-4: 0
Init-to-goal-distance tile_4-2 - tile_5-1: 0
Init-to-goal-distance tile_4-2 - tile_5-3: 0
Init-to-goal-distance tile_4-2 - white: 2
Init-to-goal-distance tile_4-3 - tile_5-2: 0
Init-to-goal-distance tile_4-3 - tile_5-4: 0
Init-to-goal-distance tile_4-3 - black: 2
Init-to-goal-distance tile_4-4 - tile_5-1: 2
Init-to-goal-distance tile_4-4 - tile_5-3: 0
Init-to-goal-distance tile_4-4 - white: 4
Init-to-goal-distance tile_5-1 - tile_5-3: 0
Init-to-goal-distance tile_5-1 - white: 2
Init-to-goal-distance tile_5-2 - tile_5-4: 0
Init-to-goal-distance tile_5-2 - black: 2
Init-to-goal-distance tile_5-3 - white: 4
Init-to-goal-distance tile_5-4 - black: 4
