(stacks-avail n0), layer: 0
(waiting o1), layer: 0
(waiting o2), layer: 0
(waiting o3), layer: 0
(waiting o4), layer: 0
(waiting o5), layer: 0
(waiting o6), layer: 0
(waiting o7), layer: 0
(waiting o8), layer: 0
(waiting o9), layer: 0
(waiting o10), layer: 0
(not-made p1), layer: 0
(not-made p2), layer: 0
(not-made p3), layer: 0
(not-made p4), layer: 0
(not-made p5), layer: 0
(not-made p6), layer: 0
(not-made p7), layer: 0
(not-made p8), layer: 0
(not-made p9), layer: 0
(not-made p10), layer: 0
(stacks-avail n1), layer: 1
(stacks-avail n2), layer: 2
(started o1), layer: 2
(started o2), layer: 2
(started o3), layer: 2
(started o4), layer: 2
(started o5), layer: 2
(started o6), layer: 2
(started o7), layer: 2
(started o8), layer: 2
(started o9), layer: 2
(started o10), layer: 2
(next-count n0 n1), layer: 0
(next-count n1 n2), layer: 0
(next-count n2 n3), layer: 0
(next-count n3 n4), layer: 0
(next-count n4 n5), layer: 0
(next-count n5 n6), layer: 0
(next-count n6 n7), layer: 0
(next-count n7 n8), layer: 0
(next-count n8 n9), layer: 0
(next-count n9 n10), layer: 0
