Diameter for move-curb-to-curb: inf
Diameter for move-curb-to-car: inf
Diameter for move-car-to-curb: inf
Diameter for move-car-to-car: inf
Init-to-goal-distance car_00 - car_07: 0
Init-to-goal-distance car_00 - curb_0: inf
Init-to-goal-distance car_01 - car_08: inf
Init-to-goal-distance car_01 - curb_1: inf
Init-to-goal-distance car_02 - car_09: 0
Init-to-goal-distance car_02 - curb_2: inf
Init-to-goal-distance car_03 - car_10: 0
Init-to-goal-distance car_03 - curb_3: 0
Init-to-goal-distance car_04 - car_11: inf
Init-to-goal-distance car_04 - curb_4: inf
Init-to-goal-distance car_05 - curb_5: inf
Init-to-goal-distance car_06 - curb_6: 0
Init-to-goal-distance car_07 - curb_0: inf
Init-to-goal-distance car_08 - curb_1: -1
Init-to-goal-distance car_09 - curb_2: inf
Init-to-goal-distance car_10 - curb_3: 0
Init-to-goal-distance car_11 - curb_4: inf
