(at player-01 pos-6-4), layer: 0
(at stone-01 pos-3-4), layer: 0
(at stone-02 pos-4-4), layer: 0
(at stone-03 pos-5-4), layer: 0
(at-goal stone-01), layer: 0
(at-goal stone-02), layer: 0
(clear pos-1-1), layer: 0
(clear pos-1-7), layer: 0
(clear pos-2-3), layer: 0
(clear pos-2-4), layer: 0
(clear pos-2-5), layer: 0
(clear pos-3-2), layer: 0
(clear pos-3-3), layer: 0
(clear pos-3-5), layer: 0
(clear pos-3-6), layer: 0
(clear pos-4-2), layer: 0
(clear pos-4-3), layer: 0
(clear pos-4-5), layer: 0
(clear pos-4-6), layer: 0
(clear pos-5-3), layer: 0
(clear pos-6-1), layer: 0
(clear pos-6-3), layer: 0
(clear pos-6-6), layer: 0
(clear pos-6-7), layer: 0
(clear pos-7-1), layer: 0
(clear pos-7-6), layer: 0
(clear pos-7-7), layer: 0
(at player-01 pos-6-3), layer: 1
(clear pos-6-4), layer: 1
(at player-01 pos-5-3), layer: 2
(is-goal pos-2-4), layer: 0
(is-goal pos-3-4), layer: 0
(is-goal pos-4-4), layer: 0
(is-nongoal pos-1-1), layer: 0
(is-nongoal pos-1-2), layer: 0
(is-nongoal pos-1-3), layer: 0
(is-nongoal pos-1-4), layer: 0
(is-nongoal pos-1-5), layer: 0
(is-nongoal pos-1-6), layer: 0
(is-nongoal pos-1-7), layer: 0
(is-nongoal pos-2-1), layer: 0
(is-nongoal pos-2-2), layer: 0
(is-nongoal pos-2-3), layer: 0
(is-nongoal pos-2-5), layer: 0
(is-nongoal pos-2-6), layer: 0
(is-nongoal pos-2-7), layer: 0
(is-nongoal pos-3-1), layer: 0
(is-nongoal pos-3-2), layer: 0
(is-nongoal pos-3-3), layer: 0
(is-nongoal pos-3-5), layer: 0
(is-nongoal pos-3-6), layer: 0
(is-nongoal pos-3-7), layer: 0
(is-nongoal pos-4-1), layer: 0
(is-nongoal pos-4-2), layer: 0
(is-nongoal pos-4-3), layer: 0
(is-nongoal pos-4-5), layer: 0
(is-nongoal pos-4-6), layer: 0
(is-nongoal pos-4-7), layer: 0
(is-nongoal pos-5-1), layer: 0
(is-nongoal pos-5-2), layer: 0
(is-nongoal pos-5-3), layer: 0
(is-nongoal pos-5-4), layer: 0
(is-nongoal pos-5-5), layer: 0
(is-nongoal pos-5-6), layer: 0
(is-nongoal pos-5-7), layer: 0
(is-nongoal pos-6-1), layer: 0
(is-nongoal pos-6-2), layer: 0
(is-nongoal pos-6-3), layer: 0
(is-nongoal pos-6-4), layer: 0
(is-nongoal pos-6-5), layer: 0
(is-nongoal pos-6-6), layer: 0
(is-nongoal pos-6-7), layer: 0
(is-nongoal pos-7-1), layer: 0
(is-nongoal pos-7-2), layer: 0
(is-nongoal pos-7-3), layer: 0
(is-nongoal pos-7-4), layer: 0
(is-nongoal pos-7-5), layer: 0
(is-nongoal pos-7-6), layer: 0
(is-nongoal pos-7-7), layer: 0
(move-dir pos-2-3 pos-2-4 dir-down), layer: 0
(move-dir pos-2-3 pos-3-3 dir-right), layer: 0
(move-dir pos-2-4 pos-2-3 dir-up), layer: 0
(move-dir pos-2-4 pos-2-5 dir-down), layer: 0
(move-dir pos-2-4 pos-3-4 dir-right), layer: 0
(move-dir pos-2-5 pos-2-4 dir-up), layer: 0
(move-dir pos-2-5 pos-3-5 dir-right), layer: 0
(move-dir pos-3-2 pos-3-3 dir-down), layer: 0
(move-dir pos-3-2 pos-4-2 dir-right), layer: 0
(move-dir pos-3-3 pos-2-3 dir-left), layer: 0
(move-dir pos-3-3 pos-3-2 dir-up), layer: 0
(move-dir pos-3-3 pos-3-4 dir-down), layer: 0
(move-dir pos-3-3 pos-4-3 dir-right), layer: 0
(move-dir pos-3-4 pos-2-4 dir-left), layer: 0
(move-dir pos-3-4 pos-3-3 dir-up), layer: 0
(move-dir pos-3-4 pos-3-5 dir-down), layer: 0
(move-dir pos-3-4 pos-4-4 dir-right), layer: 0
(move-dir pos-3-5 pos-2-5 dir-left), layer: 0
(move-dir pos-3-5 pos-3-4 dir-up), layer: 0
(move-dir pos-3-5 pos-3-6 dir-down), layer: 0
(move-dir pos-3-5 pos-4-5 dir-right), layer: 0
(move-dir pos-3-6 pos-3-5 dir-up), layer: 0
(move-dir pos-3-6 pos-4-6 dir-right), layer: 0
