(parked pr2), layer: 0
(not-pushing pr2), layer: 0
(base-pos pr2 x0 y0), layer: 0
(cart-pos cart x0 y1), layer: 0
(not-pushed cart), layer: 0
(object-pos object0 x2 y2), layer: 0
(object-pos object1 x2 y3), layer: 0
(object-pos object2 x3 y2), layer: 0
(object-pos object3 x3 y3), layer: 0
(gripper-empty pr2), layer: 0
(gripper-rel pr2 xrel0 yrel0), layer: 0
(NOT-base-obstacle x0 y2), layer: 0
(NOT-base-obstacle x0 y3), layer: 0
(NOT-base-obstacle x0 y4), layer: 0
(NOT-base-obstacle x1 y0), layer: 0
(NOT-base-obstacle x2 y0), layer: 0
(NOT-base-obstacle x2 y2), layer: 0
(NOT-base-obstacle x2 y3), layer: 0
(NOT-base-obstacle x3 y0), layer: 0
(NOT-base-obstacle x3 y2), layer: 0
(NOT-base-obstacle x3 y3), layer: 0
(NOT-base-obstacle x4 y0), layer: 0
(NOT-base-obstacle x4 y2), layer: 0
(NOT-base-obstacle x4 y3), layer: 0
(NOT-object-done pr2), layer: 0
(NOT-object-done cart), layer: 0
(NOT-object-done object0), layer: 0
(NOT-object-done object1), layer: 0
(NOT-object-done object2), layer: 0
(NOT-object-done object3), layer: 0
(NOT-object-done x0), layer: 0
(NOT-object-done x1), layer: 0
(NOT-object-done x2), layer: 0
(NOT-object-done x3), layer: 0
(NOT-object-done x4), layer: 0
(NOT-object-done y0), layer: 0
(NOT-object-done y1), layer: 0
(NOT-object-done y2), layer: 0
(NOT-object-done y3), layer: 0
(NOT-object-done y4), layer: 0
(NOT-object-done xrel-1), layer: 0
(NOT-object-done xrel0), layer: 0
(NOT-object-done xrel1), layer: 0
(NOT-object-done yrel-1), layer: 0
(NOT-object-done yrel0), layer: 0
(NOT-object-done yrel1), layer: 0
(NOT-gripper-obstacle x0 y0), layer: 0
(NOT-gripper-obstacle x1 y0), layer: 0
(NOT-gripper-obstacle x2 y0), layer: 0
(NOT-gripper-obstacle x3 y0), layer: 0
(NOT-gripper-obstacle x4 y0), layer: 0
(NOT-gripper-obstacle x0 y1), layer: 0
(NOT-gripper-obstacle x0 y2), layer: 0
(NOT-gripper-obstacle x4 y2), layer: 0
(NOT-gripper-obstacle x0 y3), layer: 0
(NOT-gripper-obstacle x4 y3), layer: 0
(NOT-gripper-obstacle x0 y4), layer: 0
(NOT-parked pr2), layer: 1
(gripper-rel pr2 xrel1 yrel0), layer: 1
(gripper-rel pr2 xrel0 yrel1), layer: 1
(object-done object0), layer: 1
(object-done object1), layer: 1
(object-done object2), layer: 1
(object-done object3), layer: 1
(base-pos pr2 x1 y0), layer: 2
(pushing pr2 cart), layer: 2
(NOT-base-obstacle x0 y0), layer: 2
(leftof x0 x1), layer: 0
(leftof x1 x2), layer: 0
(leftof x2 x3), layer: 0
(leftof x3 x4), layer: 0
(above y0 y1), layer: 0
(above y1 y2), layer: 0
(above y2 y3), layer: 0
(above y3 y4), layer: 0
(leftof-rel xrel-1 xrel0), layer: 0
(leftof-rel xrel0 xrel1), layer: 0
(above-rel yrel-1 yrel0), layer: 0
(above-rel yrel0 yrel1), layer: 0
(sum-x x0 xrel0 x0), layer: 0
(sum-x x0 xrel1 x1), layer: 0
(sum-x x1 xrel-1 x0), layer: 0
(sum-x x1 xrel0 x1), layer: 0
(sum-x x1 xrel1 x2), layer: 0
(sum-x x2 xrel-1 x1), layer: 0
(sum-x x2 xrel0 x2), layer: 0
(sum-x x2 xrel1 x3), layer: 0
(sum-x x3 xrel-1 x2), layer: 0
(sum-x x3 xrel0 x3), layer: 0
(sum-x x3 xrel1 x4), layer: 0
(sum-x x4 xrel-1 x3), layer: 0
(sum-x x4 xrel0 x4), layer: 0
(sum-y y0 yrel0 y0), layer: 0
(sum-y y0 yrel1 y1), layer: 0
(sum-y y1 yrel-1 y0), layer: 0
(sum-y y1 yrel0 y1), layer: 0
(sum-y y1 yrel1 y2), layer: 0
(sum-y y2 yrel-1 y1), layer: 0
(sum-y y2 yrel0 y2), layer: 0
(sum-y y2 yrel1 y3), layer: 0
(sum-y y3 yrel-1 y2), layer: 0
(sum-y y3 yrel0 y3), layer: 0
(sum-y y3 yrel1 y4), layer: 0
(sum-y y4 yrel-1 y3), layer: 0
(sum-y y4 yrel0 y4), layer: 0
(zerox-rel xrel0), layer: 0
(zeroy-rel yrel0), layer: 0
(object-goal object0 x2 y2), layer: 0
(object-goal object1 x2 y3), layer: 0
(object-goal object2 x3 y2), layer: 0
(object-goal object3 x3 y3), layer: 0
(surface x2 y2), layer: 0
(surface x2 y3), layer: 0
(surface x3 y2), layer: 0
(surface x3 y3), layer: 0
