(at-robot loc-x1-y1), layer: 0
(visited loc-x1-y1), layer: 0
(at-robot loc-x0-y1), layer: 1
(visited loc-x0-y1), layer: 1
(at-robot loc-x1-y0), layer: 1
(visited loc-x1-y0), layer: 1
(at-robot loc-x0-y0), layer: 2
(visited loc-x0-y0), layer: 2
(connected loc-x0-y0 loc-x1-y0), layer: 0
(connected loc-x0-y0 loc-x0-y1), layer: 0
(connected loc-x0-y1 loc-x1-y1), layer: 0
(connected loc-x0-y1 loc-x0-y0), layer: 0
(connected loc-x1-y0 loc-x0-y0), layer: 0
(connected loc-x1-y0 loc-x1-y1), layer: 0
(connected loc-x1-y1 loc-x0-y1), layer: 0
(connected loc-x1-y1 loc-x1-y0), layer: 0
