(at-robot loc-x3-y3), layer: 0
(visited loc-x3-y3), layer: 0
(at-robot loc-x2-y3), layer: 1
(visited loc-x2-y3), layer: 1
(at-robot loc-x3-y2), layer: 1
(visited loc-x3-y2), layer: 1
(at-robot loc-x3-y4), layer: 1
(visited loc-x3-y4), layer: 1
(at-robot loc-x4-y3), layer: 1
(visited loc-x4-y3), layer: 1
(at-robot loc-x1-y3), layer: 2
(visited loc-x1-y3), layer: 2
(at-robot loc-x2-y2), layer: 2
(visited loc-x2-y2), layer: 2
(at-robot loc-x2-y4), layer: 2
(visited loc-x2-y4), layer: 2
(at-robot loc-x3-y1), layer: 2
(visited loc-x3-y1), layer: 2
(at-robot loc-x4-y2), layer: 2
(visited loc-x4-y2), layer: 2
(at-robot loc-x3-y5), layer: 2
(visited loc-x3-y5), layer: 2
(at-robot loc-x4-y4), layer: 2
(visited loc-x4-y4), layer: 2
(at-robot loc-x5-y3), layer: 2
(visited loc-x5-y3), layer: 2
(connected loc-x0-y0 loc-x1-y0), layer: 0
(connected loc-x0-y0 loc-x0-y1), layer: 0
(connected loc-x0-y1 loc-x1-y1), layer: 0
(connected loc-x0-y1 loc-x0-y0), layer: 0
(connected loc-x0-y1 loc-x0-y2), layer: 0
(connected loc-x0-y2 loc-x1-y2), layer: 0
(connected loc-x0-y2 loc-x0-y1), layer: 0
(connected loc-x0-y2 loc-x0-y3), layer: 0
(connected loc-x0-y3 loc-x1-y3), layer: 0
(connected loc-x0-y3 loc-x0-y2), layer: 0
(connected loc-x0-y3 loc-x0-y4), layer: 0
(connected loc-x0-y4 loc-x1-y4), layer: 0
(connected loc-x0-y4 loc-x0-y3), layer: 0
(connected loc-x0-y4 loc-x0-y5), layer: 0
(connected loc-x0-y5 loc-x1-y5), layer: 0
(connected loc-x0-y5 loc-x0-y4), layer: 0
(connected loc-x1-y0 loc-x0-y0), layer: 0
(connected loc-x1-y0 loc-x2-y0), layer: 0
(connected loc-x1-y0 loc-x1-y1), layer: 0
(connected loc-x1-y1 loc-x0-y1), layer: 0
(connected loc-x1-y1 loc-x2-y1), layer: 0
(connected loc-x1-y1 loc-x1-y0), layer: 0
(connected loc-x1-y1 loc-x1-y2), layer: 0
(connected loc-x1-y2 loc-x0-y2), layer: 0
(connected loc-x1-y2 loc-x2-y2), layer: 0
(connected loc-x1-y2 loc-x1-y1), layer: 0
(connected loc-x1-y2 loc-x1-y3), layer: 0
(connected loc-x1-y3 loc-x0-y3), layer: 0
(connected loc-x1-y3 loc-x2-y3), layer: 0
(connected loc-x1-y3 loc-x1-y2), layer: 0
(connected loc-x1-y3 loc-x1-y4), layer: 0
(connected loc-x1-y4 loc-x0-y4), layer: 0
(connected loc-x1-y4 loc-x2-y4), layer: 0
(connected loc-x1-y4 loc-x1-y3), layer: 0
(connected loc-x1-y4 loc-x1-y5), layer: 0
(connected loc-x1-y5 loc-x0-y5), layer: 0
(connected loc-x1-y5 loc-x2-y5), layer: 0
(connected loc-x1-y5 loc-x1-y4), layer: 0
(connected loc-x2-y0 loc-x1-y0), layer: 0
(connected loc-x2-y0 loc-x3-y0), layer: 0
(connected loc-x2-y0 loc-x2-y1), layer: 0
(connected loc-x2-y1 loc-x1-y1), layer: 0
(connected loc-x2-y1 loc-x3-y1), layer: 0
(connected loc-x2-y1 loc-x2-y0), layer: 0
(connected loc-x2-y1 loc-x2-y2), layer: 0
(connected loc-x2-y2 loc-x1-y2), layer: 0
(connected loc-x2-y2 loc-x3-y2), layer: 0
(connected loc-x2-y2 loc-x2-y1), layer: 0
(connected loc-x2-y2 loc-x2-y3), layer: 0
(connected loc-x2-y3 loc-x1-y3), layer: 0
(connected loc-x2-y3 loc-x3-y3), layer: 0
(connected loc-x2-y3 loc-x2-y2), layer: 0
(connected loc-x2-y3 loc-x2-y4), layer: 0
(connected loc-x2-y4 loc-x1-y4), layer: 0
(connected loc-x2-y4 loc-x3-y4), layer: 0
(connected loc-x2-y4 loc-x2-y3), layer: 0
(connected loc-x2-y4 loc-x2-y5), layer: 0
(connected loc-x2-y5 loc-x1-y5), layer: 0
(connected loc-x2-y5 loc-x3-y5), layer: 0
(connected loc-x2-y5 loc-x2-y4), layer: 0
(connected loc-x3-y0 loc-x2-y0), layer: 0
(connected loc-x3-y0 loc-x4-y0), layer: 0
(connected loc-x3-y0 loc-x3-y1), layer: 0
(connected loc-x3-y1 loc-x2-y1), layer: 0
(connected loc-x3-y1 loc-x4-y1), layer: 0
(connected loc-x3-y1 loc-x3-y0), layer: 0
(connected loc-x3-y1 loc-x3-y2), layer: 0
(connected loc-x3-y2 loc-x2-y2), layer: 0
(connected loc-x3-y2 loc-x4-y2), layer: 0
(connected loc-x3-y2 loc-x3-y1), layer: 0
(connected loc-x3-y2 loc-x3-y3), layer: 0
(connected loc-x3-y3 loc-x2-y3), layer: 0
