(empty highspeed-saw0), layer: 0
(unused p0), layer: 0
(unused p1), layer: 0
(unused p2), layer: 0
(unused p3), layer: 0
(unused p4), layer: 0
(unused p5), layer: 0
(available p6), layer: 0
(colour p6 mauve), layer: 0
(wood p6 oak), layer: 0
(surface-condition p6 smooth), layer: 0
(treatment p6 varnished), layer: 0
(boardsize b0 s10), layer: 0
(wood b0 teak), layer: 0
(surface-condition b0 smooth), layer: 0
(available b0), layer: 0
(boardsize b1 s4), layer: 0
(wood b1 teak), layer: 0
(surface-condition b1 rough), layer: 0
(available b1), layer: 0
(boardsize b2 s2), layer: 0
(wood b2 oak), layer: 0
(surface-condition b2 smooth), layer: 0
(available b2), layer: 0
(surface-condition p6 verysmooth), layer: 1
(treatment p6 colourfragments), layer: 1
(colour p6 natural), layer: 1
(treatment p6 untreated), layer: 1
(in-highspeed-saw b0 highspeed-saw0), layer: 1
(in-highspeed-saw b1 highspeed-saw0), layer: 1
(in-highspeed-saw b2 highspeed-saw0), layer: 1
(available p0), layer: 1
(wood p0 teak), layer: 1
(surface-condition p0 smooth), layer: 1
(colour p0 natural), layer: 1
(treatment p0 untreated), layer: 1
(boardsize b0 s9), layer: 1
(available p2), layer: 1
(wood p2 teak), layer: 1
(surface-condition p2 smooth), layer: 1
(colour p2 natural), layer: 1
(treatment p2 untreated), layer: 1
(surface-condition p0 rough), layer: 1
(boardsize b1 s3), layer: 1
(surface-condition p2 rough), layer: 1
(wood p0 oak), layer: 1
(boardsize b2 s1), layer: 1
(wood p2 oak), layer: 1
(available p1), layer: 1
(wood p1 teak), layer: 1
(surface-condition p1 smooth), layer: 1
(colour p1 natural), layer: 1
(treatment p1 untreated), layer: 1
(boardsize b0 s8), layer: 1
(available p3), layer: 1
(wood p3 teak), layer: 1
(surface-condition p3 smooth), layer: 1
(colour p3 natural), layer: 1
(treatment p3 untreated), layer: 1
(surface-condition p1 rough), layer: 1
(boardsize b1 s2), layer: 1
(surface-condition p3 rough), layer: 1
(wood p1 oak), layer: 1
(boardsize b2 s0), layer: 1
(wood p3 oak), layer: 1
(available p4), layer: 1
(wood p4 teak), layer: 1
(surface-condition p4 smooth), layer: 1
(colour p4 natural), layer: 1
(treatment p4 untreated), layer: 1
(boardsize b0 s7), layer: 1
(available p5), layer: 1
(wood p5 teak), layer: 1
(surface-condition p5 smooth), layer: 1
(colour p5 natural), layer: 1
(treatment p5 untreated), layer: 1
(surface-condition p4 rough), layer: 1
(boardsize b1 s1), layer: 1
(surface-condition p5 rough), layer: 1
(treatment p0 varnished), layer: 2
(colour p0 mauve), layer: 2
(treatment p2 varnished), layer: 2
(colour p2 mauve), layer: 2
(treatment p1 varnished), layer: 2
(colour p1 mauve), layer: 2
(treatment p3 varnished), layer: 2
(colour p3 mauve), layer: 2
(treatment p4 varnished), layer: 2
(colour p4 mauve), layer: 2
(treatment p5 varnished), layer: 2
(colour p5 mauve), layer: 2
(treatment p6 glazed), layer: 2
(colour p6 red), layer: 2
(colour p6 blue), layer: 2
(treatment p0 glazed), layer: 2
(colour p0 red), layer: 2
(colour p0 blue), layer: 2
(treatment p2 glazed), layer: 2
(colour p2 red), layer: 2
(colour p2 blue), layer: 2
(treatment p1 glazed), layer: 2
(colour p1 red), layer: 2
(colour p1 blue), layer: 2
(treatment p3 glazed), layer: 2
(colour p3 red), layer: 2
(colour p3 blue), layer: 2
(treatment p4 glazed), layer: 2
(colour p4 red), layer: 2
(colour p4 blue), layer: 2
(treatment p5 glazed), layer: 2
(colour p5 red), layer: 2
(colour p5 blue), layer: 2
(surface-condition p0 verysmooth), layer: 2
(surface-condition p2 verysmooth), layer: 2
(surface-condition p1 verysmooth), layer: 2
(surface-condition p3 verysmooth), layer: 2
(surface-condition p4 verysmooth), layer: 2
(surface-condition p5 verysmooth), layer: 2
(boardsize b0 s6), layer: 2
(boardsize b1 s0), layer: 2
(boardsize b0 s5), layer: 2
(boardsize b0 s4), layer: 2
(grind-treatment-change varnished colourfragments), layer: 0
(grind-treatment-change glazed untreated), layer: 0
(grind-treatment-change untreated untreated), layer: 0
(grind-treatment-change colourfragments untreated), layer: 0
(is-smooth smooth), layer: 0
(is-smooth verysmooth), layer: 0
(boardsize-successor s0 s1), layer: 0
(boardsize-successor s1 s2), layer: 0
(boardsize-successor s2 s3), layer: 0
(boardsize-successor s3 s4), layer: 0
(boardsize-successor s4 s5), layer: 0
(boardsize-successor s5 s6), layer: 0
(boardsize-successor s6 s7), layer: 0
(boardsize-successor s7 s8), layer: 0
(boardsize-successor s8 s9), layer: 0
(boardsize-successor s9 s10), layer: 0
(has-colour glazer0 blue), layer: 0
(has-colour glazer0 mauve), layer: 0
(has-colour glazer0 natural), layer: 0
(has-colour glazer0 red), layer: 0
(has-colour immersion-varnisher0 mauve), layer: 0
(has-colour spray-varnisher0 mauve), layer: 0
(goalsize p0 small), layer: 0
(goalsize p1 medium), layer: 0
(goalsize p2 small), layer: 0
(goalsize p3 medium), layer: 0
(goalsize p4 large), layer: 0
(goalsize p5 large), layer: 0
(goalsize p6 small), layer: 0
