(ontable shaker1), layer: 0
(ontable shot1), layer: 0
(ontable shot2), layer: 0
(ontable shot3), layer: 0
(ontable shot4), layer: 0
(ontable shot5), layer: 0
(clean shaker1), layer: 0
(clean shot1), layer: 0
(clean shot2), layer: 0
(clean shot3), layer: 0
(clean shot4), layer: 0
(clean shot5), layer: 0
(empty shaker1), layer: 0
(empty shot1), layer: 0
(empty shot2), layer: 0
(empty shot3), layer: 0
(empty shot4), layer: 0
(empty shot5), layer: 0
(handempty left), layer: 0
(handempty right), layer: 0
(shaker-level shaker1 l0), layer: 0
(holding left shaker1), layer: 1
(holding left shot1), layer: 1
(holding left shot2), layer: 1
(holding left shot3), layer: 1
(holding left shot4), layer: 1
(holding left shot5), layer: 1
(holding right shaker1), layer: 1
(holding right shot1), layer: 1
(holding right shot2), layer: 1
(holding right shot3), layer: 1
(holding right shot4), layer: 1
(holding right shot5), layer: 1
(contains shot1 ingredient1), layer: 2
(used shot1 ingredient1), layer: 2
(contains shot1 ingredient2), layer: 2
(used shot1 ingredient2), layer: 2
(contains shot1 ingredient3), layer: 2
(used shot1 ingredient3), layer: 2
(contains shot2 ingredient1), layer: 2
(used shot2 ingredient1), layer: 2
(contains shot2 ingredient2), layer: 2
(used shot2 ingredient2), layer: 2
(contains shot2 ingredient3), layer: 2
(used shot2 ingredient3), layer: 2
(contains shot3 ingredient1), layer: 2
(used shot3 ingredient1), layer: 2
(contains shot3 ingredient2), layer: 2
(used shot3 ingredient2), layer: 2
(contains shot3 ingredient3), layer: 2
(used shot3 ingredient3), layer: 2
(contains shot4 ingredient1), layer: 2
(used shot4 ingredient1), layer: 2
(contains shot4 ingredient2), layer: 2
(used shot4 ingredient2), layer: 2
(contains shot4 ingredient3), layer: 2
(used shot4 ingredient3), layer: 2
(contains shot5 ingredient1), layer: 2
(used shot5 ingredient1), layer: 2
(contains shot5 ingredient2), layer: 2
(used shot5 ingredient2), layer: 2
(contains shot5 ingredient3), layer: 2
(used shot5 ingredient3), layer: 2
(dispenses dispenser1 ingredient1), layer: 0
(dispenses dispenser2 ingredient2), layer: 0
(dispenses dispenser3 ingredient3), layer: 0
(shaker-empty-level shaker1 l0), layer: 0
(next l0 l1), layer: 0
(next l1 l2), layer: 0
(cocktail-part1 cocktail1 ingredient3), layer: 0
(cocktail-part2 cocktail1 ingredient1), layer: 0
(cocktail-part1 cocktail2 ingredient2), layer: 0
(cocktail-part2 cocktail2 ingredient3), layer: 0
(cocktail-part1 cocktail3 ingredient3), layer: 0
(cocktail-part2 cocktail3 ingredient2), layer: 0
(cocktail-part1 cocktail4 ingredient3), layer: 0
(cocktail-part2 cocktail4 ingredient1), layer: 0
