(at tray1 kitchen), layer: 0
(at tray2 kitchen), layer: 0
(at_kitchen_bread bread1), layer: 0
(at_kitchen_bread bread2), layer: 0
(at_kitchen_bread bread3), layer: 0
(at_kitchen_bread bread4), layer: 0
(at_kitchen_bread bread5), layer: 0
(at_kitchen_bread bread6), layer: 0
(at_kitchen_content content1), layer: 0
(at_kitchen_content content2), layer: 0
(at_kitchen_content content3), layer: 0
(at_kitchen_content content4), layer: 0
(at_kitchen_content content5), layer: 0
(at_kitchen_content content6), layer: 0
(notexist sandw1), layer: 0
(notexist sandw2), layer: 0
(notexist sandw3), layer: 0
(notexist sandw4), layer: 0
(notexist sandw5), layer: 0
(notexist sandw6), layer: 0
(notexist sandw7), layer: 0
(notexist sandw8), layer: 0
(at_kitchen_sandwich sandw1), layer: 1
(no_gluten_sandwich sandw1), layer: 1
(at_kitchen_sandwich sandw2), layer: 1
(no_gluten_sandwich sandw2), layer: 1
(at_kitchen_sandwich sandw3), layer: 1
(no_gluten_sandwich sandw3), layer: 1
(at_kitchen_sandwich sandw4), layer: 1
(no_gluten_sandwich sandw4), layer: 1
(at_kitchen_sandwich sandw5), layer: 1
(no_gluten_sandwich sandw5), layer: 1
(at_kitchen_sandwich sandw6), layer: 1
(no_gluten_sandwich sandw6), layer: 1
(at_kitchen_sandwich sandw7), layer: 1
(no_gluten_sandwich sandw7), layer: 1
(at_kitchen_sandwich sandw8), layer: 1
(no_gluten_sandwich sandw8), layer: 1
(at tray1 table1), layer: 1
(at tray1 table2), layer: 1
(at tray1 table3), layer: 1
(at tray2 table1), layer: 1
(at tray2 table2), layer: 1
(at tray2 table3), layer: 1
(ontray sandw1 tray1), layer: 2
(ontray sandw1 tray2), layer: 2
(ontray sandw2 tray1), layer: 2
(ontray sandw2 tray2), layer: 2
(ontray sandw3 tray1), layer: 2
(ontray sandw3 tray2), layer: 2
(ontray sandw4 tray1), layer: 2
(ontray sandw4 tray2), layer: 2
(ontray sandw5 tray1), layer: 2
(ontray sandw5 tray2), layer: 2
(ontray sandw6 tray1), layer: 2
(ontray sandw6 tray2), layer: 2
(ontray sandw7 tray1), layer: 2
(ontray sandw7 tray2), layer: 2
(ontray sandw8 tray1), layer: 2
(ontray sandw8 tray2), layer: 2
(no_gluten_bread bread4), layer: 0
(no_gluten_bread bread1), layer: 0
(no_gluten_content content6), layer: 0
(no_gluten_content content5), layer: 0
(allergic_gluten child3), layer: 0
(allergic_gluten child4), layer: 0
(not_allergic_gluten child1), layer: 0
(not_allergic_gluten child2), layer: 0
(not_allergic_gluten child5), layer: 0
(not_allergic_gluten child6), layer: 0
(waiting child1 table1), layer: 0
(waiting child2 table1), layer: 0
(waiting child3 table1), layer: 0
(waiting child4 table3), layer: 0
(waiting child5 table1), layer: 0
(waiting child6 table3), layer: 0
