(at_person guy0 place0), layer: 0
(at_person girl0 place0), layer: 0
(walked couple0 place0), layer: 0
(at_tent tent0 place0), layer: 0
(up tent0), layer: 0
(at_car car0 place0), layer: 0
(at_car car1 place0), layer: 0
(down tent0), layer: 1
(at_person guy0 place1), layer: 1
(at_car car0 place1), layer: 1
(at_person girl0 place1), layer: 1
(at_car car1 place1), layer: 1
(at_person guy0 place2), layer: 1
(at_car car0 place2), layer: 1
(at_person girl0 place2), layer: 1
(at_car car1 place2), layer: 1
(at_tent tent0 place1), layer: 2
(at_tent tent0 place2), layer: 2
(partners couple0 guy0 girl0), layer: 0
(next place0 place1), layer: 0
(next place1 place2), layer: 0
