(today d1), layer: 0
(today d2), layer: 0
(today d3), layer: 0
(today d4), layer: 0
(today d5), layer: 0
(today d6), layer: 0
(today d7), layer: 0
(today d8), layer: 0
(today d9), layer: 0
(today d10), layer: 0
(done ap1), layer: 1
(done ap2), layer: 1
(done ap3), layer: 1
(done ap4), layer: 1
(done ap5), layer: 1
(done ap6), layer: 1
(done ap7), layer: 1
(done ap8), layer: 1
(done ap9), layer: 1
(done ap10), layer: 1
(at ap1 d4 ber), layer: 0
(at ap1 d8 ber), layer: 0
(at ap2 d7 fra), layer: 0
(at ap2 d4 ber), layer: 0
(at ap3 d3 ber), layer: 0
(at ap3 d10 ber), layer: 0
(at ap4 d1 ber), layer: 0
(at ap4 d4 ber), layer: 0
(at ap5 d1 fra), layer: 0
(at ap5 d3 ber), layer: 0
(at ap6 d8 fra), layer: 0
(at ap6 d2 ham), layer: 0
(at ap7 d3 ber), layer: 0
(at ap7 d3 ham), layer: 0
(at ap8 d10 fra), layer: 0
(at ap8 d8 ber), layer: 0
(at ap9 d3 fra), layer: 0
(at ap9 d10 fra), layer: 0
(at ap10 d2 ber), layer: 0
(at ap10 d4 ber), layer: 0
