(at tray1 kitchen), layer: 0
(at tray2 kitchen), layer: 0
(at tray3 kitchen), layer: 0
(at_kitchen_bread bread1), layer: 0
(at_kitchen_bread bread2), layer: 0
(at_kitchen_bread bread3), layer: 0
(at_kitchen_bread bread4), layer: 0
(at_kitchen_bread bread5), layer: 0
(at_kitchen_bread bread6), layer: 0
(at_kitchen_bread bread7), layer: 0
(at_kitchen_bread bread8), layer: 0
(at_kitchen_bread bread9), layer: 0
(at_kitchen_bread bread10), layer: 0
(at_kitchen_bread bread11), layer: 0
(at_kitchen_bread bread12), layer: 0
(at_kitchen_bread bread13), layer: 0
(at_kitchen_bread bread14), layer: 0
(at_kitchen_bread bread15), layer: 0
(at_kitchen_content content1), layer: 0
(at_kitchen_content content2), layer: 0
(at_kitchen_content content3), layer: 0
(at_kitchen_content content4), layer: 0
(at_kitchen_content content5), layer: 0
(at_kitchen_content content6), layer: 0
(at_kitchen_content content7), layer: 0
(at_kitchen_content content8), layer: 0
(at_kitchen_content content9), layer: 0
(at_kitchen_content content10), layer: 0
(at_kitchen_content content11), layer: 0
(at_kitchen_content content12), layer: 0
(at_kitchen_content content13), layer: 0
(at_kitchen_content content14), layer: 0
(at_kitchen_content content15), layer: 0
(notexist sandw1), layer: 0
(notexist sandw2), layer: 0
(notexist sandw3), layer: 0
(notexist sandw4), layer: 0
(notexist sandw5), layer: 0
(notexist sandw6), layer: 0
(notexist sandw7), layer: 0
(notexist sandw8), layer: 0
(notexist sandw9), layer: 0
(notexist sandw10), layer: 0
(notexist sandw11), layer: 0
(notexist sandw12), layer: 0
(notexist sandw13), layer: 0
(notexist sandw14), layer: 0
(notexist sandw15), layer: 0
(notexist sandw16), layer: 0
(notexist sandw17), layer: 0
(notexist sandw18), layer: 0
(notexist sandw19), layer: 0
(notexist sandw20), layer: 0
(at_kitchen_sandwich sandw1), layer: 1
(no_gluten_sandwich sandw1), layer: 1
(at_kitchen_sandwich sandw2), layer: 1
(no_gluten_sandwich sandw2), layer: 1
(at_kitchen_sandwich sandw3), layer: 1
(no_gluten_sandwich sandw3), layer: 1
(at_kitchen_sandwich sandw4), layer: 1
(no_gluten_sandwich sandw4), layer: 1
(at_kitchen_sandwich sandw5), layer: 1
(no_gluten_sandwich sandw5), layer: 1
(at_kitchen_sandwich sandw6), layer: 1
(no_gluten_sandwich sandw6), layer: 1
(at_kitchen_sandwich sandw7), layer: 1
(no_gluten_sandwich sandw7), layer: 1
(at_kitchen_sandwich sandw8), layer: 1
(no_gluten_sandwich sandw8), layer: 1
(at_kitchen_sandwich sandw9), layer: 1
(no_gluten_sandwich sandw9), layer: 1
(at_kitchen_sandwich sandw10), layer: 1
(no_gluten_sandwich sandw10), layer: 1
