(robot-at robot1 tile_0-1), layer: 0
(robot-has robot1 white), layer: 0
(robot-at robot2 tile_2-2), layer: 0
(robot-has robot2 black), layer: 0
(clear tile_0-2), layer: 0
(clear tile_0-3), layer: 0
(clear tile_1-1), layer: 0
(clear tile_1-2), layer: 0
(clear tile_1-3), layer: 0
(clear tile_2-1), layer: 0
(clear tile_2-3), layer: 0
(clear tile_3-1), layer: 0
(clear tile_3-2), layer: 0
(clear tile_3-3), layer: 0
(clear tile_4-1), layer: 0
(clear tile_4-2), layer: 0
(clear tile_4-3), layer: 0
(robot-has robot1 black), layer: 1
(robot-has robot2 white), layer: 1
(painted tile_1-1 white), layer: 1
(painted tile_3-2 black), layer: 1
(painted tile_1-2 black), layer: 1
(robot-at robot1 tile_1-1), layer: 1
(clear tile_0-1), layer: 1
(robot-at robot2 tile_3-2), layer: 1
(clear tile_2-2), layer: 1
(robot-at robot2 tile_1-2), layer: 1
(robot-at robot1 tile_0-2), layer: 1
(robot-at robot2 tile_2-3), layer: 1
(robot-at robot2 tile_2-1), layer: 1
(painted tile_1-2 white), layer: 2
(painted tile_2-1 white), layer: 2
(painted tile_2-2 black), layer: 2
(painted tile_3-1 black), layer: 2
(painted tile_3-3 black), layer: 2
(painted tile_4-2 black), layer: 2
(painted tile_1-1 black), layer: 2
(painted tile_2-1 black), layer: 2
(painted tile_2-2 white), layer: 2
(painted tile_3-1 white), layer: 2
(painted tile_3-2 white), layer: 2
(painted tile_3-3 white), layer: 2
(painted tile_4-2 white), layer: 2
(painted tile_0-1 white), layer: 2
(painted tile_0-2 black), layer: 2
(painted tile_1-3 black), layer: 2
(painted tile_0-1 black), layer: 2
(painted tile_0-2 white), layer: 2
(painted tile_1-3 white), layer: 2
(robot-at robot1 tile_2-1), layer: 2
(robot-at robot2 tile_4-2), layer: 2
(robot-at robot1 tile_1-2), layer: 2
(robot-at robot2 tile_3-3), layer: 2
(robot-at robot2 tile_3-1), layer: 2
(robot-at robot2 tile_0-2), layer: 2
(robot-at robot2 tile_1-3), layer: 2
(robot-at robot2 tile_1-1), layer: 2
(robot-at robot1 tile_0-3), layer: 2
(available-color white), layer: 0
(available-color black), layer: 0
(up tile_1-1 tile_0-1), layer: 0
(up tile_1-2 tile_0-2), layer: 0
(up tile_1-3 tile_0-3), layer: 0
(up tile_2-1 tile_1-1), layer: 0
(up tile_2-2 tile_1-2), layer: 0
(up tile_2-3 tile_1-3), layer: 0
(up tile_3-1 tile_2-1), layer: 0
(up tile_3-2 tile_2-2), layer: 0
(up tile_3-3 tile_2-3), layer: 0
(up tile_4-1 tile_3-1), layer: 0
(up tile_4-2 tile_3-2), layer: 0
(up tile_4-3 tile_3-3), layer: 0
(down tile_0-1 tile_1-1), layer: 0
(down tile_0-2 tile_1-2), layer: 0
(down tile_0-3 tile_1-3), layer: 0
(down tile_1-1 tile_2-1), layer: 0
(down tile_1-2 tile_2-2), layer: 0
(down tile_1-3 tile_2-3), layer: 0
(down tile_2-1 tile_3-1), layer: 0
(down tile_2-2 tile_3-2), layer: 0
(down tile_2-3 tile_3-3), layer: 0
(down tile_3-1 tile_4-1), layer: 0
(down tile_3-2 tile_4-2), layer: 0
(down tile_3-3 tile_4-3), layer: 0
(right tile_0-2 tile_0-1), layer: 0
(right tile_0-3 tile_0-2), layer: 0
(right tile_1-2 tile_1-1), layer: 0
(right tile_1-3 tile_1-2), layer: 0
(right tile_2-2 tile_2-1), layer: 0
(right tile_2-3 tile_2-2), layer: 0
(right tile_3-2 tile_3-1), layer: 0
(right tile_3-3 tile_3-2), layer: 0
(right tile_4-2 tile_4-1), layer: 0
(right tile_4-3 tile_4-2), layer: 0
(left tile_0-1 tile_0-2), layer: 0
(left tile_0-2 tile_0-3), layer: 0
(left tile_1-1 tile_1-2), layer: 0
(left tile_1-2 tile_1-3), layer: 0
(left tile_2-1 tile_2-2), layer: 0
(left tile_2-2 tile_2-3), layer: 0
(left tile_3-1 tile_3-2), layer: 0
(left tile_3-2 tile_3-3), layer: 0
(left tile_4-1 tile_4-2), layer: 0
(left tile_4-2 tile_4-3), layer: 0
