(normal sub4), layer: 0
(normal g11), layer: 0
(normal sub6), layer: 0
(normal sub7), layer: 0
(normal sub3), layer: 0
(normal sub1), layer: 0
(inverted g84), layer: 0
(normal sub5), layer: 0
(normal sub2), layer: 0
(cw sub2 sub4), layer: 0
(cw sub5 sub2), layer: 0
(cw g84 sub5), layer: 0
(cw sub1 g84), layer: 0
(cw sub3 sub1), layer: 0
(cw sub7 sub3), layer: 0
(cw sub6 sub7), layer: 0
(cw g11 sub6), layer: 0
(cw sub4 g11), layer: 0
(idle), layer: 0
(cutting), layer: 1
(cut-point-1 sub2), layer: 1
(last-cut-point sub2), layer: 1
(s-first sub4), layer: 1
(s-last sub4), layer: 1
(cut-point-1 sub5), layer: 1
(last-cut-point sub5), layer: 1
(s-first sub2), layer: 1
(s-last sub2), layer: 1
(cut-point-1 g84), layer: 1
(last-cut-point g84), layer: 1
(s-first sub5), layer: 1
(s-last sub5), layer: 1
(cut-point-1 sub1), layer: 1
(last-cut-point sub1), layer: 1
(s-first g84), layer: 1
(s-last g84), layer: 1
(cut-point-1 sub3), layer: 1
(last-cut-point sub3), layer: 1
(s-first sub1), layer: 1
(s-last sub1), layer: 1
(cut-point-1 sub7), layer: 1
(last-cut-point sub7), layer: 1
(s-first sub3), layer: 1
(s-last sub3), layer: 1
(cut-point-1 sub6), layer: 1
(last-cut-point sub6), layer: 1
(s-first sub7), layer: 1
(s-last sub7), layer: 1
(cut-point-1 g11), layer: 1
(last-cut-point g11), layer: 1
(s-first sub6), layer: 1
(s-last sub6), layer: 1
(cut-point-1 sub4), layer: 1
(last-cut-point sub4), layer: 1
(s-first g11), layer: 1
(s-last g11), layer: 1
(inverted sub4), layer: 1
(inverted g11), layer: 1
(inverted sub6), layer: 1
(inverted sub7), layer: 1
(inverted sub3), layer: 1
(inverted sub1), layer: 1
(inverted sub5), layer: 1
(inverted sub2), layer: 1
(normal g84), layer: 1
(s-next sub4 g11), layer: 2
(s-next sub2 sub4), layer: 2
(s-next sub5 sub2), layer: 2
(s-next g84 sub5), layer: 2
(s-next sub1 g84), layer: 2
(s-next sub3 sub1), layer: 2
(s-next sub7 sub3), layer: 2
(s-next sub6 sub7), layer: 2
(s-next g11 sub6), layer: 2
(cut-point-2 g11), layer: 2
(cut-point-2 sub4), layer: 2
(cut-point-2 sub2), layer: 2
(cut-point-2 sub5), layer: 2
(cut-point-2 g84), layer: 2
(cut-point-2 sub1), layer: 2
(cut-point-2 sub3), layer: 2
(cut-point-2 sub7), layer: 2
(cut-point-2 sub6), layer: 2
(present sub4), layer: 0
(present g11), layer: 0
(present sub6), layer: 0
(present sub7), layer: 0
(present sub3), layer: 0
(present sub1), layer: 0
(present g84), layer: 0
(present sub5), layer: 0
(present sub2), layer: 0
