(at_person guy0 place0), layer: 0
(at_person girl0 place0), layer: 0
(walked couple0 place0), layer: 0
(at_tent tent0 place0), layer: 0
(up tent0), layer: 0
(at_person guy1 place0), layer: 0
(at_person girl1 place0), layer: 0
(walked couple1 place0), layer: 0
(at_tent tent1 place0), layer: 0
(up tent1), layer: 0
(at_car car0 place0), layer: 0
(at_car car1 place0), layer: 0
(at_car car2 place0), layer: 0
(down tent0), layer: 1
(down tent1), layer: 1
(at_person guy0 place1), layer: 1
(at_car car0 place1), layer: 1
(at_person girl0 place1), layer: 1
(at_person guy1 place1), layer: 1
(at_person girl1 place1), layer: 1
(at_car car1 place1), layer: 1
(at_car car2 place1), layer: 1
(at_person guy0 place2), layer: 1
(at_car car0 place2), layer: 1
(at_person girl0 place2), layer: 1
(at_person guy1 place2), layer: 1
(at_person girl1 place2), layer: 1
(at_car car1 place2), layer: 1
(at_car car2 place2), layer: 1
(at_person guy0 place3), layer: 1
(at_car car0 place3), layer: 1
(at_person girl0 place3), layer: 1
(at_person guy1 place3), layer: 1
(at_person girl1 place3), layer: 1
(at_car car1 place3), layer: 1
(at_car car2 place3), layer: 1
(at_person guy0 place4), layer: 1
(at_car car0 place4), layer: 1
(at_person girl0 place4), layer: 1
(at_person guy1 place4), layer: 1
(at_person girl1 place4), layer: 1
(at_car car1 place4), layer: 1
(at_car car2 place4), layer: 1
(at_tent tent0 place1), layer: 2
(at_tent tent1 place1), layer: 2
(at_tent tent0 place2), layer: 2
(at_tent tent1 place2), layer: 2
(at_tent tent0 place3), layer: 2
(at_tent tent1 place3), layer: 2
(at_tent tent0 place4), layer: 2
(at_tent tent1 place4), layer: 2
(partners couple0 guy0 girl0), layer: 0
(partners couple1 guy1 girl1), layer: 0
(next place0 place1), layer: 0
(next place1 place2), layer: 0
(next place2 place3), layer: 0
(next place3 place4), layer: 0
