(stacks-avail n0), layer: 0
(waiting o1), layer: 0
(waiting o2), layer: 0
(waiting o3), layer: 0
(waiting o4), layer: 0
(waiting o5), layer: 0
(waiting o6), layer: 0
(waiting o7), layer: 0
(waiting o8), layer: 0
(waiting o9), layer: 0
(waiting o10), layer: 0
(waiting o11), layer: 0
(waiting o12), layer: 0
(waiting o13), layer: 0
(waiting o14), layer: 0
(waiting o15), layer: 0
(waiting o16), layer: 0
(waiting o17), layer: 0
(waiting o18), layer: 0
(waiting o19), layer: 0
(waiting o20), layer: 0
(waiting o21), layer: 0
(waiting o22), layer: 0
(waiting o23), layer: 0
(waiting o24), layer: 0
(waiting o25), layer: 0
(waiting o26), layer: 0
(waiting o27), layer: 0
(waiting o28), layer: 0
(waiting o29), layer: 0
(waiting o30), layer: 0
(waiting o31), layer: 0
(waiting o32), layer: 0
(waiting o33), layer: 0
(waiting o34), layer: 0
(waiting o35), layer: 0
(NOT-made p1), layer: 0
(NOT-made p2), layer: 0
(NOT-made p3), layer: 0
(NOT-made p4), layer: 0
(NOT-made p5), layer: 0
(NOT-made p6), layer: 0
(NOT-made p7), layer: 0
(NOT-made p8), layer: 0
(NOT-made p9), layer: 0
(NOT-made p10), layer: 0
(NOT-made p11), layer: 0
(NOT-made p12), layer: 0
(NOT-made p13), layer: 0
(NOT-made p14), layer: 0
(NOT-made p15), layer: 0
(NOT-made p16), layer: 0
(NOT-made p17), layer: 0
(NOT-made p18), layer: 0
(NOT-made p19), layer: 0
(NOT-made p20), layer: 0
(NOT-made p21), layer: 0
(NOT-made p22), layer: 0
(NOT-made p23), layer: 0
(NOT-made p24), layer: 0
(NOT-made p25), layer: 0
(NOT-made p26), layer: 0
(NOT-made p27), layer: 0
(NOT-made p28), layer: 0
(NOT-made p29), layer: 0
(NOT-made p30), layer: 0
(NOT-made p31), layer: 0
(NOT-made p32), layer: 0
(NOT-made p33), layer: 0
(NOT-made p34), layer: 0
(NOT-made p35), layer: 0
(stacks-avail n1), layer: 1
(stacks-avail n2), layer: 2
(started o1), layer: 2
(started o2), layer: 2
(started o3), layer: 2
(started o4), layer: 2
(started o5), layer: 2
(started o6), layer: 2
(started o7), layer: 2
(started o8), layer: 2
