Domain: openstacks-sequencedstrips-nonadl
Problem: os-sequencedstrips-p50_3
Require: 200ff
Type[4]:
    [0]: object, parent: -1
    [1]: order, parent: 0
    [2]: product, parent: 0
    [3]: count, parent: 0
Obj-by-Type:
    [0]: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150
    [1]: 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99
    [2]: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
    [3]: 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150
Obj[151]:
    [0]: p1, type: 2, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [1]: p2, type: 2, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [2]: p3, type: 2, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [3]: p4, type: 2, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [4]: p5, type: 2, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [5]: p6, type: 2, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [6]: p7, type: 2, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [7]: p8, type: 2, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [8]: p9, type: 2, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [9]: p10, type: 2, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [10]: p11, type: 2, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [11]: p12, type: 2, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [12]: p13, type: 2, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [13]: p14, type: 2, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [14]: p15, type: 2, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [15]: p16, type: 2, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [16]: p17, type: 2, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [17]: p18, type: 2, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
    [18]: p19, type: 2, is-constant: 1, is-private: 0, owner: -1, is-agent: 0
